Date,a,b,c,d,f,g,l,m,p,s,w
2017-07-19,61.253799,60.794174,66.108269,75.556664,11.536745,28.126675,47.785732,22.275501,9.44,8.41,75.82
2017-07-20,60.854622,61.600521,65.771294,75.527214,11.5565,28.38563,47.676018,22.353014,9.14,8.38,76.75
2017-07-21,61.24382,60.555264,65.414482,76.135757,11.388585,28.49519,47.765785,22.634005,9.47,8.53,76.059998
2017-07-24,61.37355,59.977882,65.513596,75.35054,11.151529,28.544989,47.895447,21.984825,9.64,8.54,76.160004
2017-07-25,60.415527,59.997791,67.426476,75.370186,11.131775,28.624666,48.354252,22.759962,9.83,8.7,76.910004
2017-07-26,59.597214,59.062038,67.376923,75.625374,10.924351,28.813906,47.995186,22.808411,9.75,8.55,79.360001
2017-07-27,59.786819,59.42041,67.00029,75.694084,11.042879,28.774065,47.995186,23.447897,9.65,8.2,77.050003
2017-07-28,59.956474,60.186932,66.831802,75.566483,11.033001,28.734226,48.134823,23.186287,9.47,8.22,78.199997
2017-07-31,59.667068,59.908199,67.842751,75.752968,11.082388,28.883623,48.553734,23.011881,8.95,7.98,76.349998
2017-08-01,59.816757,59.68919,68.982544,75.870758,10.815699,29.02306,49.062408,23.234734,8.65,8.87,75.779999
2017-08-02,60.076225,60.176979,68.804146,76.420395,10.865086,28.754147,48.992592,22.449907,8.38,8.79,73.830002
2017-08-03,60.245876,59.948017,67.838295,76.950409,10.795945,29.86965,48.842983,22.856853,8.37,8.54,77.330002
2017-08-04,60.006371,60.15707,68.684662,76.63633,10.815699,29.24218,49.012543,22.575867,8.48,8.7,80.360001
2017-08-07,60.744846,59.948017,68.744408,76.479286,10.786067,29.351736,48.892849,22.827787,8.6,8.62,80.57
2017-08-08,60.016346,60.127205,68.585083,76.518547,10.756435,29.590773,48.813057,22.78903,8.65,8.4,75.519997
2017-08-09,59.557293,60.167023,68.137016,76.400764,10.786067,29.381618,48.74324,22.314259,8.55,8.22,72.82
2017-08-10,58.449577,58.942577,66.932198,76.381134,10.637907,29.282019,48.453999,20.027603,7.99,8.03,69.010002
2017-08-11,59.208015,58.41497,66.514,75.959084,10.637907,29.202339,48.144798,19.979158,8.08,8.31,69.690002
2017-08-14,59.497417,59.74892,67.599327,76.243721,10.77619,29.311897,48.314354,19.717548,8.07,8.41,70.809998
2017-08-15,59.257912,59.450275,67.678986,76.459656,10.707048,28.435429,48.244537,19.659414,8.4,8.3,70.849998
2017-08-16,62.012238,60.057522,67.420097,76.793365,10.66754,28.594788,48.184692,19.514076,8.67,8.3,70.68
2017-08-17,60.734867,59.291,66.31485,76.675591,10.509501,28.42547,47.306976,19.010239,8.49,8.09,67.07
2017-08-18,61.124065,59.699146,66.294937,77.235046,10.430483,28.375669,47.456589,18.884277,8.27,8.07,66.870003
2017-08-21,61.61306,59.858425,65.667633,77.284126,10.44036,28.305952,47.277054,18.923035,8.1,8.08,66.0
2017-08-22,62.830551,60.816319,66.563782,77.509872,10.519379,28.485229,47.646095,19.785374,8.59,8.22,67.510002
2017-08-23,62.640942,60.197678,66.942154,77.755249,10.578643,28.226273,47.366825,19.862888,8.35,8.29,67.400002
2017-08-24,62.551125,60.018074,67.400185,77.980995,10.578643,28.226273,47.087547,20.046982,8.38,8.42,67.190002
2017-08-25,62.770676,60.437149,67.559494,78.59935,10.687293,28.276072,47.356846,20.45393,8.08,8.43,69.199997
2017-08-28,63.329521,60.487038,67.519669,78.658234,10.657661,28.196392,46.840504,20.502375,8.18,8.29,68.559998
2017-08-29,63.359463,60.886162,67.191086,78.756386,10.707048,28.266111,46.560856,20.289213,8.11,8.27,68.290001
2017-08-30,63.76862,61.624538,67.718819,78.097481,10.805821,28.146593,46.560856,20.182631,8.08,8.25,69.779999
2017-08-31,64.586929,62.382874,67.738724,78.047935,10.894718,28.335831,46.520908,20.124496,8.45,8.25,71.010002
2017-09-01,64.247627,62.442741,68.286377,77.611977,11.210793,28.345789,46.850487,20.744606,8.31,8.27,72.459999
2017-09-05,64.157814,62.263138,66.872459,77.473259,11.220671,28.056953,45.781845,20.357037,8.56,8.18,73.629997
2017-09-06,64.57695,60.437149,67.031769,77.275093,11.358953,27.937435,46.111427,21.480986,8.42,8.13,73.059998
2017-09-07,65.006065,63.131229,65.777161,77.532707,11.26018,28.057211,45.062759,21.04497,8.33,7.97,73.800003
2017-09-08,64.886314,64.807541,65.886688,78.513634,11.220671,27.917473,45.911682,20.657402,8.44,7.74,77.230003
2017-09-11,65.974075,64.358528,67.420097,79.187401,11.270058,28.13706,46.670715,20.812429,8.32,7.61,77.080002
2017-09-12,66.004013,64.139015,68.495476,77.463348,11.44785,28.286779,46.820526,21.52943,8.37,7.9,82.379997
2017-09-13,65.30545,64.458313,69.092903,77.354362,11.477482,28.186966,47.10017,21.946068,8.19,7.85,80.970001
2017-09-14,65.54496,64.907326,68.943542,78.444275,11.418218,28.007303,47.160095,21.678049,8.17,7.75,80.230003
2017-09-15,65.824379,65.665657,68.744408,78.771248,11.477482,28.027267,47.429756,22.249561,8.12,7.69,79.760002
2017-09-18,65.944138,66.962807,70.297722,77.829964,11.487359,28.107117,47.439739,21.776587,8.19,7.68,80.290001
2017-09-19,66.033951,67.222237,70.845375,77.611977,11.576256,28.037249,47.629498,21.461269,8.32,8.2,79.919998
2017-09-20,65.954109,68.419601,71.154045,76.908485,11.566378,28.206928,47.729374,21.165659,8.23,8.03,83.769997
2017-09-21,65.784462,68.459518,71.452759,76.591423,11.576256,28.127079,47.649471,20.850342,8.17,8.03,81.75
2017-09-22,65.644753,68.369713,71.094299,76.333801,11.694783,28.157022,47.549603,21.214928,8.23,8.52,74.589996
2017-09-25,64.596916,68.768837,70.53669,77.304817,11.793556,28.46644,47.729374,21.490829,8.2,7.82,71.230003
2017-09-26,63.978188,68.499428,70.636269,77.493073,11.78368,28.616159,47.81926,21.549952,8.18,7.89,68.440002
2017-09-27,64.257607,70.105896,71.970528,76.07618,11.803434,28.696009,47.779308,21.816,8.07,7.85,70.269997
2017-09-28,63.848454,70.165764,72.338951,76.323891,11.813312,28.576233,47.779308,21.697758,7.69,7.75,70.470001
2017-09-29,64.068001,70.285507,72.428558,76.224808,11.82319,28.696009,47.799286,21.500683,7.7,7.78,67.400002
