Date,AMZN,PCLN
2016-08-30,767.580017,1416.550049
2016-08-31,769.159973,1416.72998
2016-09-01,770.619995,1418.589966
2016-09-02,772.440002,1422.849976
2016-09-06,788.869995,1436.959961
2016-09-07,784.47998,1444.01001
2016-09-08,784.059998,1445.829956
2016-09-09,760.140015,1413.900024
2016-09-12,771.48999,1436.209961
2016-09-13,761.01001,1415.949951
2016-09-14,761.090027,1429.380005
2016-09-15,769.690002,1457.219971
2016-09-16,778.52002,1460.050049
2016-09-19,775.099976,1448.060059
2016-09-20,780.219971,1449.0
2016-09-21,789.73999,1464.0
2016-09-22,804.700012,1465.869995
2016-09-23,805.75,1456.76001
2016-09-26,799.159973,1447.150024
2016-09-27,816.109985,1453.48999
2016-09-28,828.719971,1458.030029
2016-09-29,829.049988,1472.97998
2016-09-30,837.309998,1471.48999
2016-10-03,836.73999,1486.719971
2016-10-04,834.030029,1489.02002
2016-10-05,844.359985,1497.579956
2016-10-06,841.659973,1490.439941
2016-10-07,839.429993,1479.819946
2016-10-10,841.710022,1475.180054
2016-10-11,831.0,1459.02002
2016-10-12,834.090027,1454.839966
2016-10-13,829.280029,1442.52002
2016-10-14,822.960022,1439.569946
2016-10-17,812.950012,1437.650024
2016-10-18,817.650024,1454.969971
2016-10-19,817.690002,1469.199951
2016-10-20,810.320007,1468.290039
2016-10-21,818.98999,1467.390015
2016-10-24,838.090027,1471.800049
2016-10-25,835.179993,1479.030029
2016-10-26,822.590027,1469.160034
2016-10-27,818.359985,1463.02002
2016-10-28,776.320007,1474.819946
2016-10-31,789.820007,1474.22998
2016-11-01,785.409973,1467.0
2016-11-02,765.559998,1445.329956
2016-11-03,767.030029,1438.099976
2016-11-04,755.049988,1424.280029
2016-11-07,784.929993,1480.329956
2016-11-08,787.75,1578.130005
2016-11-09,771.880005,1570.26001
2016-11-10,742.380005,1554.319946
2016-11-11,739.01001,1540.650024
2016-11-14,719.070007,1489.180054
2016-11-15,743.23999,1497.449951
2016-11-16,746.48999,1503.22998
2016-11-17,756.400024,1512.900024
2016-11-18,760.159973,1507.349976
2016-11-21,780.0,1524.180054
2016-11-22,785.330017,1535.420044
2016-11-23,780.119995,1520.98999
2016-11-25,780.369995,1521.680054
2016-11-28,766.77002,1525.069946
2016-11-29,762.52002,1520.27002
2016-11-30,750.570007,1503.680054
2016-12-01,743.650024,1479.660034
2016-12-02,740.340027,1473.0
2016-12-05,759.359985,1499.76001
2016-12-06,764.719971,1504.819946
2016-12-07,770.419983,1527.040039
2016-12-08,767.330017,1548.670044
2016-12-09,768.659973,1557.97998
2016-12-12,760.119995,1536.780029
2016-12-13,774.340027,1540.109985
2016-12-14,768.820007,1528.449951
2016-12-15,761.0,1501.199951
2016-12-16,757.77002,1484.280029
2016-12-19,766.0,1488.829956
2016-12-20,771.219971,1502.25
2016-12-21,770.599976,1505.76001
2016-12-22,766.340027,1481.339966
2016-12-23,760.590027,1486.199951
2016-12-27,771.400024,1493.420044
2016-12-28,772.130005,1480.459961
2016-12-29,765.150024,1480.160034
2016-12-30,749.869995,1466.060059
2017-01-03,753.669983,1477.569946
