Date,AAPL,AMZN,BAC,CA,CHD,MS,MSFT,TSLA
2016-05-25,97.365761,708.349976,14.578461,30.54566,47.587063,27.034061,50.578625,219.580002
2016-05-26,98.137901,714.909973,14.363497,30.776337,47.997669,26.683729,50.355423,225.119995
2016-05-27,98.079239,712.23999,14.539376,30.824394,47.987896,26.790773,50.772713,223.039993
2016-05-31,97.600334,722.789978,14.451435,31.064686,48.139435,26.635069,51.432602,223.229996
2016-06-01,96.232025,719.440002,14.569087,31.21847,48.364292,26.751846,51.287037,219.559998
2016-06-02,95.508759,728.23999,14.64752,31.526041,48.506046,26.547487,50.927979,218.960007
2016-06-03,95.704224,725.539978,14.137702,31.31459,48.334961,25.827358,50.258389,218.990005
2016-06-06,96.398163,726.72998,14.235744,31.439531,48.202976,26.129034,50.588333,220.679993
2016-06-07,96.789108,723.73999,14.069073,31.468376,48.457165,25.807892,50.559216,232.339996
2016-06-08,96.701157,726.640015,14.147505,31.804781,48.330074,25.827358,50.500992,235.520004
2016-06-09,97.395081,727.650024,13.912203,31.650993,48.799347,25.379707,50.09341,229.360001
2016-06-10,96.593636,717.909973,13.559252,31.708664,48.823784,24.85421,49.957554,218.789993
2016-06-13,95.137352,715.23999,13.333755,31.487593,48.462055,24.581728,48.657181,217.869995
2016-06-14,95.254646,719.299988,13.000411,31.285748,48.730907,23.939447,48.35635,214.960007
2016-06-15,94.941887,714.26001,13.078845,31.372257,48.344734,24.056227,48.22049,217.699997
2016-06-16,95.342613,717.51001,13.049432,31.699051,48.589149,24.39683,48.899788,217.929993
2016-06-17,93.172836,706.390015,13.137671,31.439531,48.183426,24.630384,48.64748,215.470001
2016-06-20,92.948044,714.01001,13.274928,31.756721,48.510937,25.204542,48.589252,219.699997
2016-06-21,93.739723,715.820007,13.353363,31.814386,48.72113,25.496485,49.676128,219.610001
2016-06-22,93.387871,710.599976,13.343557,31.929729,48.999763,25.681383,49.482048,196.660004
2016-06-23,93.925415,722.080017,13.765141,32.275745,49.131744,26.55722,50.374836,196.399994
2016-06-24,91.286514,698.960022,12.7455,30.757113,47.992786,23.861599,48.35635,193.149994
2016-06-27,89.957291,691.359985,11.941554,30.045855,48.266525,22.976034,46.997757,198.550003
2016-06-28,91.472214,707.950012,12.451374,30.391872,48.872669,23.949181,47.977886,201.789993
2016-06-29,92.263885,715.599976,12.931781,30.997402,48.843334,24.552532,49.045349,210.190002
2016-06-30,93.436729,715.619995,13.010216,31.554876,50.295143,25.282393,49.656723,212.279999
2016-07-01,93.720169,725.679993,12.843543,31.506815,50.011627,25.224005,49.647018,216.5
2016-07-05,92.840523,728.099976,12.490589,31.554876,50.515118,24.328709,49.656723,213.979996
2016-07-06,93.368317,737.609985,12.608241,31.708664,49.522804,24.47468,49.860512,214.440002
2016-07-07,93.769043,736.570007,12.755305,31.843224,49.20507,25.000183,49.860512,215.940002
2016-07-08,94.492294,745.809998,12.912173,32.45837,49.517918,25.661924,50.753307,216.779999
2016-07-11,94.7855,753.780029,12.951389,32.708267,49.708557,25.749504,51.034729,224.779999
2016-07-12,95.215546,748.210022,13.274928,32.967781,48.672249,26.635069,51.636391,224.649994
2016-07-13,94.678001,742.630005,13.176886,33.006226,48.872669,26.43071,51.927517,222.529999
2016-07-14,96.554558,741.200012,13.382775,32.900497,48.862892,27.248154,52.150719,221.529999
2016-07-15,96.544777,735.440002,13.39258,32.842827,49.0242,27.257885,52.1119,220.399994
2016-07-18,97.571014,736.070007,13.83377,32.852448,48.804234,27.452515,52.364212,226.25
2016-07-19,97.610107,739.950012,13.980833,32.650593,49.234398,27.433054,51.519943,225.259995
2016-07-20,97.698074,745.719971,14.118093,32.93895,48.696697,28.007212,54.256546,228.360001
2016-07-21,97.180069,744.429993,13.990639,32.746712,48.589149,28.094793,54.149796,220.5
2016-07-22,96.42749,744.859985,14.098484,33.0639,49.0242,28.14345,54.897022,222.270004
2016-07-25,95.137352,739.609985,14.088681,33.179237,49.058414,28.347811,55.052292,230.009995
2016-07-26,94.482521,735.590027,14.245548,33.333019,48.315403,28.445124,55.081406,229.509995
2016-07-27,100.620415,736.669983,14.343591,33.208069,47.782593,28.435329,54.528259,228.490005
2016-07-28,101.978951,752.609985,14.392612,33.121567,48.154095,28.278551,54.547668,230.610001
2016-07-29,101.851898,758.809998,14.206331,33.304184,48.02211,28.151171,55.003773,234.789993
2016-08-01,103.650261,767.73999,14.049463,33.496418,48.491383,27.925804,54.906734,230.009995
2016-08-02,102.115791,760.580017,13.853379,32.294968,47.987896,27.435877,54.906734,227.199997
2016-08-03,103.396149,754.640015,14.196526,32.323799,47.719044,27.847418,55.285198,225.789993
