,agg,portfolioreturn,portfoliostandarddeviation,shy,spy,returnoverrisk
232,0.45,0.0349223289653,0.00120870690754,0.22,0.33,28.8923052787
233,0.3,0.0125582076661,0.00310304656888,0.67,0.03,4.04705742802
234,0.4,0.0352583470194,0.00127185088134,0.25,0.35,27.722076178
235,0.07,0.0633153046041,0.000591348749218,0.05,0.88,107.069313477
236,0.35,0.0407881818429,0.00108448642098,0.2,0.45,37.6105971027
237,0.17,0.0516064078611,0.000859650514247,0.16,0.67,60.03184667
238,0.31,0.0250860097207,0.00216228818344,0.47,0.22,11.6016032982
239,0.57,0.0164569086197,0.00198614583302,0.42,0.01,8.28585109217
240,0.06,0.00728928710685,0.00437631879361,0.92,0.02,1.66562068501
241,0.27,0.0249652879064,0.00230146017639,0.5,0.23,10.8475863117
242,0.17,0.0152496904762,0.00336761600328,0.72,0.11,4.52833412757
243,0.51,0.0153019852539,0.00222591165465,0.48,0.01,6.87448004595
244,0.35,0.0193636876696,0.00243882586317,0.53,0.12,7.93975820991
245,0.06,0.0605259089919,0.000641378996724,0.1,0.84,94.3683988734
246,0.67,0.0222771434729,0.00148007039233,0.26,0.07,15.0514080873
247,0.21,0.0153704122905,0.00321390408751,0.69,0.1,4.78247386108
248,0.44,0.0236929811029,0.00186808114055,0.4,0.16,12.6830578119
249,0.55,0.0186688425491,0.00189861172234,0.4,0.05,9.83289122753
250,0.11,0.0218854922643,0.00308994441955,0.66,0.23,7.08281098062
251,0.02,0.0182054259272,0.00370111279362,0.78,0.2,4.91890599999
252,0.43,0.022202039683,0.00199466639754,0.43,0.14,11.1307032145
253,0.12,0.0506439717229,0.00101358113859,0.21,0.67,49.9653849057
254,0.42,0.0388894569555,0.0010823119416,0.18,0.4,35.9318376345
255,0.02,0.0117131549656,0.00419244720815,0.88,0.1,2.79387059254
256,0.69,0.0239605721205,0.00140128674986,0.22,0.09,17.0989785801
257,0.13,0.0164274228542,0.00342570089206,0.73,0.14,4.79534652083
258,0.12,0.0253241149727,0.00279697826874,0.6,0.28,9.05409786545
259,0.38,0.038119508045,0.00116335144715,0.22,0.4,32.7669752236
260,0.46,0.0227795013659,0.00187280533632,0.4,0.14,12.1633043884
261,0.37,0.0229947976057,0.00211981707831,0.46,0.17,10.8475386112
262,0.15,0.0440799353481,0.00134818862707,0.29,0.56,32.6956736342
