Date,AAPL,AMZN,BAC,CA,CHD,MS,TSLA
2016-07-21,99.43,744.429993,14.27,34.07,49.700001,28.870001,220.5
2016-07-22,98.660004,744.859985,14.38,34.400002,50.145,28.92,222.270004
2016-07-25,97.339996,739.609985,14.37,34.52,50.18,29.129999,230.009995
2016-07-26,96.669998,735.590027,14.53,34.68,49.419998,29.23,229.509995
2016-07-27,102.949997,736.669983,14.63,34.549999,48.875,29.02,228.490005
2016-07-28,104.339996,752.609985,14.68,34.459999,49.255001,28.860001,230.610001
2016-07-29,104.209999,758.809998,14.49,34.650002,49.119999,28.73,234.789993
2016-08-01,106.050003,767.73999,14.33,34.849998,49.599998,28.5,230.009995
2016-08-02,104.480003,760.580017,14.13,33.599998,49.084999,28.0,227.199997
2016-08-03,105.790001,754.640015,14.48,33.630001,48.810001,28.42,225.789993
2016-08-04,105.870003,760.77002,14.48,33.740002,50.59,28.280001,230.610001
2016-08-05,107.480003,765.97998,15.05,34.049999,50.259998,29.01,230.029999
2016-08-08,108.370003,766.559998,15.13,33.869999,50.035,29.120001,226.160004
2016-08-09,108.809998,768.309998,15.19,34.029999,50.474998,29.34,229.080002
2016-08-10,108.0,768.559998,14.81,34.220001,50.705002,29.110001,225.649994
2016-08-11,107.93,771.23999,14.88,34.349998,50.16,29.379999,224.910004
2016-08-12,108.18,772.559998,14.91,34.200001,50.240002,29.17,225.610001
2016-08-15,109.480003,768.48999,15.02,34.349998,50.014999,29.66,225.589996
2016-08-16,109.379997,764.039978,15.17,34.16,49.645,30.25,223.610001
2016-08-17,109.220001,764.630005,15.15,33.93,49.615002,30.370001,223.240005
2016-08-18,109.080002,764.460022,15.16,34.029999,49.965,30.549999,223.509995
2016-08-19,109.360001,757.309998,15.22,34.16,49.705002,30.549999,225.0
2016-08-22,108.510002,759.47998,15.18,34.07,49.919998,30.6,222.929993
2016-08-23,108.849998,762.450012,15.35,34.25,49.855,30.719999,224.839996
2016-08-24,108.029999,757.25,15.4,34.110001,49.575001,30.91,222.619995
2016-08-25,107.57,759.219971,15.53,33.91,49.845001,30.969999,220.960007
2016-08-26,106.940002,769.0,15.79,34.080002,49.549999,31.16,219.990005
2016-08-29,106.82,771.289978,15.84,34.290001,50.0,31.41,215.199997
2016-08-30,106.0,767.580017,16.190001,34.279999,49.715,32.189999,211.339996
2016-08-31,106.099998,769.159973,16.139999,33.91,49.709999,32.060001,212.009995
2016-09-01,106.730003,770.619995,15.98,33.91,49.875,31.91,200.770004
2016-09-02,107.730003,772.440002,16.0,34.189999,49.970001,31.889999,197.779999
2016-09-06,107.699997,788.869995,15.78,34.080002,50.310001,31.75,202.830002
2016-09-07,108.360001,784.47998,15.7,34.349998,49.130001,31.690001,201.710007
2016-09-08,105.519997,784.059998,15.86,34.080002,48.5,32.040001,197.360001
2016-09-09,103.129997,760.140015,15.74,33.07,47.389999,31.59,194.470001
2016-09-12,105.440002,771.48999,15.9,33.25,47.540001,32.240002,198.300003
2016-09-13,107.949997,761.01001,15.72,32.130001,46.959999,31.459999,196.050003
2016-09-14,111.769997,761.090027,15.63,32.240002,46.810001,31.559999,196.410004
2016-09-15,115.57,769.690002,15.67,32.470001,47.110001,31.950001,200.419998
2016-09-16,114.919998,778.52002,15.49,31.950001,46.799999,31.59,205.399994
2016-09-19,113.580002,775.099976,15.59,32.130001,46.939999,31.6,206.339996
2016-09-20,113.57,780.219971,15.6,32.32,47.419998,31.700001,204.639999
2016-09-21,113.550003,789.73999,15.65,32.720001,47.849998,31.92,205.220001
2016-09-22,114.620003,804.700012,15.6,32.759998,48.799999,32.240002,206.429993
2016-09-23,112.709999,805.75,15.52,32.630001,48.139999,31.91,207.449997
