Date,BAC,C,JPM,MS
2014-11-14,16.434736,52.203926,55.736656,33.813164
2014-11-17,16.386791,52.389744,55.829124,33.727901
2014-11-18,16.434736,52.624462,55.967808,33.604733
2014-11-19,16.358025,52.477757,56.032528,33.614201
2014-11-20,16.300499,52.340843,55.588715,33.528946
2014-11-21,16.41556,52.477757,55.893848,33.661579
2014-11-24,16.473091,53.201462,56.365406,33.746849
2014-11-25,16.396381,53.133003,55.755146,33.443672
2014-11-26,16.405968,52.937412,55.792133,33.273136
2014-11-28,16.338852,52.780933,55.625698,33.329983
2014-12-01,16.099138,52.174595,55.477753,33.254185
2014-12-02,16.444323,53.162334,56.47636,33.888954
2014-12-03,16.627039,53.993614,56.901688,34.599518
2014-12-04,16.550106,53.964272,56.75375,34.855316
2014-12-05,17.002083,54.844448,57.974262,35.281658
2014-12-08,16.982849,55.128048,57.946518,36.00169
2014-12-09,16.886683,54.619507,57.743103,36.096432
2014-12-10,16.713585,53.269917,56.106503,35.423767
2014-12-11,16.80014,53.309032,56.53183,35.433239
2014-12-12,16.473171,52.223488,55.514751,34.343719
2014-12-15,16.203911,51.626934,54.701069,34.040546
2014-12-16,16.078894,50.042618,54.026096,33.652096
2014-12-17,16.598188,51.294418,55.265095,34.798473
2014-12-18,16.85784,52.90807,56.846207,36.096432
2014-12-19,16.944387,52.820049,57.262295,36.484875
2014-12-22,17.030933,52.771145,57.271534,36.54171
2014-12-23,17.2425,53.221012,57.770836,36.90173
2014-12-24,17.290583,53.338364,57.770836,36.769093
2014-12-26,17.290583,53.230801,57.83556,36.68383
2014-12-29,17.415598,53.524181,58.214661,36.911201
2014-12-30,17.434832,53.631767,58.390343,36.949097
2014-12-31,17.204033,52.917839,57.863304,36.759617
2015-01-02,17.21365,53.064545,58.151787,36.674358
2015-01-05,16.713585,51.392216,56.346466,35.527985
2015-01-06,16.213526,49.582977,54.885452,34.50478
2015-01-07,16.290461,50.042618,54.969208,34.997433
2015-01-08,16.627039,50.795658,56.197571,35.518501
2015-01-09,16.328924,49.661209,55.220459,34.940586
2015-01-12,16.040428,49.270031,54.745872,34.457401
2015-01-13,15.819246,48.917961,54.755173,34.135284
2015-01-14,15.424968,47.96933,52.866104,33.35841
2015-01-15,14.617176,46.189426,51.172447,32.761539
2015-01-16,14.790275,46.561054,52.047195,33.055229
2015-01-20,14.674876,46.218761,51.842472,32.922596
2015-01-21,14.819122,46.688194,52.009972,32.903645
2015-01-22,15.473051,48.477879,53.591953,33.661579
2015-01-23,15.126853,47.548798,52.745129,33.301559
2015-01-26,15.242251,47.812855,52.828876,33.263664
2015-01-27,15.030689,47.24564,52.298454,32.83733
2015-01-28,14.617176,46.072075,50.949116,32.086704
2015-01-29,14.838358,46.580723,51.805248,32.656803
2015-01-30,14.569091,45.925343,50.604801,32.12471
2015-02-02,14.867206,46.678543,51.619129,32.704304
2015-02-03,15.280721,47.813229,52.782352,33.293404
2015-02-04,15.184553,47.3437,52.46595,33.036858
2015-02-05,15.357653,47.480633,52.828876,33.188885
2015-02-06,15.857716,48.067554,53.87112,34.006027
2015-02-09,15.723083,48.136024,53.805988,33.853992
2015-02-10,15.790398,48.312096,54.401546,34.357574
2015-02-11,15.732697,48.59576,54.317806,34.557106
2015-02-12,16.030811,49.779358,55.434494,35.060688
2015-02-13,15.973111,50.082584,55.527554,34.946667
2015-02-17,15.992346,50.56189,55.927696,35.079689
2015-02-18,15.674998,50.297787,55.248386,34.557106
2015-02-19,15.588448,50.004337,55.118099,34.519104
2015-02-20,15.751932,50.649929,55.648529,34.908665
2015-02-23,15.578835,50.199982,55.229767,34.462093
2015-02-24,15.751932,50.767319,56.597725,34.908665
2015-02-25,15.857716,50.953167,56.895504,34.766148
2015-02-26,15.424968,51.266182,57.304955,34.262562
2015-02-27,15.203788,51.275963,57.025784,34.006027
2015-03-02,15.396117,52.322613,57.48177,34.43359
2015-03-03,15.424968,52.557381,57.667885,34.034523
2015-03-04,15.280269,52.498676,57.81678,33.340904
