Date,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,LMT,LPX,LRCX,MASI,MRK,MSFT,RTN,SPY,T,THO
2017-05-04,54.810001,34.32,124.459999,75.0,150.850006,954.719971,42.799999,36.849998,123.949997,270.51001,25.200001,150.610001,88.75,63.380001,68.809998,157.880005,238.759995,38.009998,92.919998
2017-05-05,55.330002,35.299999,122.410004,74.699997,150.240005,950.280029,42.68,36.82,123.510002,273.029999,24.290001,150.309998,88.410004,63.970001,69.0,159.410004,239.699997,38.560001,93.150002
2017-05-08,54.84,35.43,118.360001,73.800003,151.059998,958.690002,42.689999,36.540001,123.25,272.5,24.02,149.119995,85.790001,64.010002,68.940002,159.619995,239.660004,38.57,91.790001
2017-05-09,54.84,35.349998,120.099998,73.949997,150.479996,956.710022,42.91,36.369999,123.209999,273.869995,23.879999,150.539993,85.699997,63.290001,69.040001,160.059998,239.440002,38.220001,91.93
2017-05-10,54.349998,35.009998,119.68,73.5,150.289993,954.840027,43.43,36.009998,122.809998,271.73999,24.219999,149.149994,85.43,63.939999,69.309998,159.199997,239.869995,38.450001,94.370003
2017-05-11,54.110001,35.209999,119.519997,71.800003,150.039993,955.890015,43.57,35.689999,123.199997,272.089996,23.879999,149.919998,85.129997,64.43,68.459999,158.929993,239.380005,38.439999,94.540001
2017-05-12,53.540001,35.389999,119.32,71.300003,150.330002,955.140015,43.73,35.529999,123.639999,271.26001,23.469999,149.580002,84.830002,63.57,68.379997,158.5,238.979996,38.490002,93.989998
2017-05-15,54.0,35.709999,119.040001,72.349998,150.190002,959.219971,44.23,35.630001,126.989998,272.350006,23.74,151.270004,86.07,63.509998,68.43,160.089996,240.300003,38.59,95.010002
2017-05-16,54.5,36.240002,119.360001,71.800003,149.779999,964.609985,44.41,35.82,127.769997,271.649994,23.75,152.559998,85.629997,63.790001,69.410004,159.759995,240.080002,38.189999,96.32
2017-05-17,53.43,36.169998,117.099998,68.300003,144.850006,942.169983,43.099998,35.040001,126.669998,269.23999,22.889999,147.270004,83.669998,63.0,67.480003,157.300003,235.820007,37.459999,92.139999
2017-05-18,53.02,36.509998,117.400002,69.800003,147.660004,950.5,43.119999,35.220001,126.970001,267.320007,22.66,149.809998,84.889999,63.889999,67.709999,157.889999,236.770004,37.950001,93.919998
2017-05-19,53.810001,36.939999,116.93,70.300003,148.059998,954.650024,43.349998,35.400002,127.0,272.790009,22.690001,152.399994,85.669998,63.779999,67.690002,160.279999,238.309998,38.240002,93.290001
2017-05-22,53.860001,36.959999,115.709999,70.900002,148.240005,964.070007,43.400002,35.77,127.260002,277.029999,23.040001,152.910004,85.93,64.040001,68.449997,161.190002,239.520004,38.25,93.699997
2017-05-23,54.130001,36.93,117.309998,69.650002,148.070007,970.549988,43.439999,35.860001,127.519997,278.359985,22.809999,153.429993,85.830002,64.550003,68.68,161.479996,240.050003,38.310001,92.510002
2017-05-24,54.290001,36.900002,117.75,70.050003,150.039993,977.609985,43.27,36.119999,127.510002,280.049988,22.76,152.880005,85.839996,64.93,68.769997,162.139999,240.610001,38.150002,93.059998
2017-05-25,54.5,36.400002,116.739998,70.099998,151.960007,991.859985,43.380001,36.259998,127.529999,282.059998,22.65,153.899994,87.599998,65.040001,69.620003,163.110001,241.759995,38.23,91.980003
2017-05-26,54.07,36.41,116.779999,70.949997,152.130005,993.27002,43.150002,36.259998,126.919998,283.649994,22.58,155.119995,87.440002,64.919998,69.959999,163.300003,241.710007,38.119999,91.400002
2017-05-30,54.380001,36.27,115.129997,69.099998,152.380005,996.169983,43.41,36.18,127.110001,280.089996,22.450001,156.869995,87.010002,64.879997,70.410004,162.839996,241.5,38.549999,90.800003
2017-05-31,54.869999,36.150002,114.410004,67.800003,151.460007,987.090027,43.490002,36.110001,128.25,281.130005,22.280001,155.169998,87.040001,65.110001,69.839996,164.009995,241.440002,38.529999,90.529999
2017-06-01,55.240002,36.240002,116.410004,70.199997,151.529999,988.289978,43.810001,36.119999,128.779999,280.959991,22.73,156.440002,88.400002,65.260002,70.099998,163.229996,243.360001,38.869999,92.510002
2017-06-02,56.25,35.91,118.730003,69.550003,153.610001,996.119995,43.790001,36.32,130.080002,281.76001,22.629999,158.740005,90.5,65.470001,71.760002,163.279999,244.169998,38.869999,93.639999
2017-06-05,56.169998,36.080002,118.099998,69.050003,153.630005,1003.880005,43.91,36.34,130.360001,280.130005,22.77,160.289993,90.870003,65.07,72.279999,161.389999,243.990005,38.810001,94.690002
2017-06-06,55.27,36.240002,116.879997,69.699997,152.809998,996.679993,44.259998,36.130001,130.830002,276.880005,22.9,161.009995,89.089996,64.669998,72.519997,159.789993,243.210007,38.73,104.260002
2017-06-07,55.82,35.419998,117.57,68.5,153.119995,1001.5,44.27,36.259998,130.75,277.380005,22.68,162.300003,91.970001,64.059998,72.389999,160.699997,243.660004,38.759998,102.029999
2017-06-08,56.369999,35.41,117.059998,69.75,154.710007,1004.280029,44.27,36.48,130.550003,277.619995,23.040001,164.970001,91.790001,63.200001,71.949997,160.470001,243.779999,38.5,103.029999
2017-06-09,56.040001,35.830002,118.190002,71.75,149.600006,970.119995,44.209999,35.709999,131.529999,277.0,23.690001,157.779999,88.910004,64.389999,70.32,160.940002,243.410004,38.790001,102.349998
2017-06-12,56.119999,35.810001,119.349998,71.949997,148.440002,961.809998,43.77,35.73,131.820007,276.890015,23.879999,154.509995,89.059998,64.389999,69.779999,160.350006,243.360001,39.07,103.839996
2017-06-13,56.84,36.029999,119.620003,72.550003,150.679993,970.5,43.860001,35.880001,132.020004,278.359985,24.08,155.119995,90.879997,63.27,70.650002,161.380005,244.550003,38.68,105.93
2017-06-14,56.860001,35.369999,121.040001,71.25,150.25,967.929993,43.68,35.529999,132.770004,280.299988,24.15,152.75,90.349998,63.369999,70.269997,162.460007,244.240005,38.720001,105.800003
2017-06-15,56.799999,35.240002,120.610001,70.800003,149.800003,960.179993,43.810001,35.310001,133.039993,280.929993,24.09,148.479996,90.849998,63.189999,69.900002,162.600006,243.770004,38.84,105.589996
2017-06-16,56.740002,36.0,122.360001,71.900002,150.639999,958.619995,44.0,35.209999,134.350006,281.109985,24.139999,148.210007,91.110001,62.970001,70.0,162.559998,242.639999,38.959999,105.129997
2017-06-19,57.52,36.040001,125.160004,72.550003,152.869995,975.219971,44.18,35.509998,134.070007,282.299988,24.360001,151.0,93.080002,63.68,70.870003,164.259995,244.660004,38.91,106.529999
2017-06-20,56.790001,34.98,126.220001,72.5,152.25,968.98999,43.5,34.860001,134.220001,282.890015,24.41,150.110001,92.879997,64.529999,69.910004,163.869995,243.009995,38.66,105.43
2017-06-21,56.450001,34.650002,132.830002,72.099998,153.910004,978.590027,43.470001,34.580002,134.910004,282.98999,24.360001,150.919998,93.480003,65.459999,70.269997,163.490005,242.949997,38.150002,107.029999
2017-06-22,56.27,34.599998,133.679993,71.900002,153.399994,976.619995,43.310001,34.360001,136.050003,280.429993,24.540001,150.039993,93.290001,66.019997,70.260002,161.059998,242.839996,38.099998,107.139999
2017-06-23,56.360001,34.84,134.309998,71.050003,155.070007,986.090027,43.360001,34.189999,136.429993,280.640015,24.51,151.779999,93.940002,66.160004,71.209999,162.360001,243.130005,37.950001,107.940002
2017-06-26,56.75,34.880001,133.850006,71.25,153.589996,972.090027,43.91,34.07,136.339996,279.700012,24.33,148.990005,93.5,65.919998,70.529999,162.059998,243.289993,38.150002,108.800003
2017-06-27,56.279999,35.150002,130.850006,71.800003,150.580002,948.090027,44.110001,33.650002,135.009995,277.829987,23.93,144.619995,92.400002,65.540001,69.209999,161.160004,241.330002,37.700001,107.330002
2017-06-28,56.5,35.27,134.229996,71.300003,153.240005,961.01001,44.650002,34.200001,133.820007,280.019989,24.4,147.830002,94.349998,65.160004,69.800003,162.550003,243.490005,37.939999,108.589996
2017-06-29,55.950001,34.860001,131.699997,70.699997,151.039993,937.820007,46.529999,33.540001,132.639999,276.730011,24.16,142.350006,91.300003,64.339996,68.489998,160.429993,241.350006,37.619999,105.510002
2017-06-30,56.330002,34.650002,129.869995,70.5,150.979996,929.679993,46.389999,33.740002,132.289993,277.609985,24.110001,141.429993,91.18,64.089996,68.93,161.479996,241.800003,37.73,104.519997
2017-07-03,56.549999,35.02,130.179993,71.449997,148.429993,919.460022,47.240002,33.459999,132.899994,278.920013,24.16,139.289993,90.379997,64.269997,68.169998,162.570007,242.210007,38.110001,106.669998
2017-07-05,57.200001,34.419998,133.199997,70.5,150.339996,932.26001,47.150002,34.34,133.639999,282.399994,24.09,142.529999,91.589996,64.160004,69.080002,164.809998,242.770004,38.119999,104.879997
2017-07-06,56.580002,34.439999,131.949997,71.25,148.820007,927.690002,47.009998,33.630001,132.520004,280.959991,23.83,143.889999,88.970001,63.099998,68.57,163.559998,240.550003,37.18,103.129997
2017-07-07,57.25,34.360001,132.559998,71.599998,151.440002,940.809998,46.950001,33.880001,132.539993,285.200012,23.969999,148.130005,91.040001,63.16,69.459999,165.869995,242.110001,36.98,103.150002
2017-07-10,57.200001,34.330002,131.929993,71.699997,153.5,951.0,47.650002,33.650002,131.550003,285.570007,24.5,150.839996,91.279999,62.830002,69.980003,166.039993,242.369995,36.830002,102.970001
2017-07-11,57.139999,34.360001,132.25,71.650002,155.270004,953.530029,47.900002,33.919998,131.229996,286.420013,25.02,153.720001,93.290001,62.34,69.989998,166.550003,242.190002,36.599998,102.650002
2017-07-12,57.470001,34.869999,133.559998,71.949997,158.899994,967.659973,48.18,34.25,132.229996,286.359985,25.360001,154.580002,92.910004,62.779999,71.150002,166.979996,244.009995,36.830002,103.32
2017-07-13,57.48,34.720001,134.470001,71.949997,159.259995,968.849976,48.360001,34.240002,131.860001,286.76001,25.360001,154.940002,92.25,62.889999,71.769997,166.130005,244.419998,36.209999,103.910004
2017-07-14,57.439999,34.950001,134.570007,72.0,159.970001,976.909973,48.209999,34.68,132.600006,288.130005,25.629999,157.300003,94.32,63.060001,72.779999,167.029999,245.559998,36.299999,105.440002
2017-07-17,57.610001,34.919998,134.869995,71.699997,159.729996,975.960022,48.150002,34.470001,132.149994,288.48999,25.67,156.979996,95.599998,62.610001,73.349998,167.009995,245.529999,36.389999,104.879997
2017-07-18,57.310001,34.830002,134.270004,72.800003,162.860001,986.950012,48.060001,34.529999,134.460007,286.790009,25.41,159.350006,95.139999,62.41,73.300003,167.960007,245.660004,35.990002,103.980003
2017-07-19,57.580002,35.029999,135.0,73.699997,164.139999,992.77002,48.110001,34.560001,135.210007,290.670013,25.639999,164.229996,96.07,62.619999,73.860001,168.979996,246.990005,36.130001,104.790001
2017-07-20,56.669998,35.099998,136.309998,74.199997,164.529999,992.190002,48.110001,34.75,136.570007,289.670013,25.08,164.800003,97.269997,62.939999,74.220001,168.779999,247.100006,36.52,105.220001
2017-07-21,55.939999,34.68,137.740005,74.699997,164.429993,993.840027,47.860001,34.73,135.309998,289.119995,25.43,163.529999,96.190002,62.630001,73.790001,169.369995,246.880005,36.509998,104.190002
2017-07-24,55.290001,34.459999,137.839996,75.550003,166.0,998.309998,48.220001,34.5,133.009995,290.279999,25.370001,164.119995,98.360001,62.57,73.599998,169.460007,246.820007,36.23,105.370003
2017-07-25,55.009998,34.900002,136.440002,77.900002,165.279999,969.030029,49.220001,34.669998,131.880005,289.829987,25.18,164.460007,98.769997,62.360001,74.190002,169.589996,247.419998,36.220001,107.099998
2017-07-26,54.189999,34.84,137.75,78.599998,165.610001,965.309998,49.360001,34.75,130.949997,289.850006,25.139999,168.339996,96.860001,61.799999,74.050003,168.880005,247.429993,38.029999,107.169998
2017-07-27,53.91,34.990002,134.149994,79.199997,170.440002,952.51001,49.07,34.970001,130.830002,288.130005,25.18,164.759995,95.529999,63.689999,73.160004,169.529999,247.199997,39.41,106.589996
2017-07-28,54.290001,35.16,134.100006,77.400002,172.449997,958.330017,48.900002,35.310001,131.850006,290.410004,25.049999,161.600006,96.360001,64.110001,73.040001,172.020004,246.910004,39.0,105.389999
2017-07-31,53.549999,35.139999,135.410004,78.650002,169.25,945.5,50.09,35.470001,132.720001,292.130005,25.110001,159.460007,94.599998,63.880001,72.699997,171.770004,246.770004,39.0,105.349998
