Date,MSFT,PCLN
2016-12-29,62.900002,1480.160034
2016-12-30,62.139999,1466.060059
2017-01-03,62.580002,1477.569946
2017-01-04,62.299999,1487.290039
2017-01-05,62.299999,1503.699951
2017-01-06,62.84,1520.569946
2017-01-09,62.639999,1529.640015
2017-01-10,62.619999,1535.25
2017-01-11,63.189999,1536.109985
2017-01-12,62.610001,1538.589966
2017-01-13,62.700001,1545.819946
2017-01-17,62.529999,1540.130005
2017-01-18,62.5,1541.859985
2017-01-19,62.299999,1539.02002
2017-01-20,62.740002,1545.01001
2017-01-23,62.959999,1554.98999
2017-01-24,63.52,1563.329956
2017-01-25,63.68,1578.819946
2017-01-26,64.269997,1581.439941
2017-01-27,65.779999,1602.920044
2017-01-30,65.129997,1602.310059
2017-01-31,64.650002,1575.130005
2017-02-01,63.580002,1575.310059
2017-02-02,63.169998,1574.089966
2017-02-03,63.68,1583.380005
2017-02-06,63.639999,1587.180054
2017-02-07,63.43,1598.699951
2017-02-08,63.34,1601.189941
2017-02-09,64.059998,1611.829956
2017-02-10,64.0,1646.51001
2017-02-13,64.720001,1646.180054
2017-02-14,64.57,1637.290039
2017-02-15,64.529999,1648.959961
2017-02-16,64.519997,1648.880005
2017-02-17,64.620003,1637.400024
2017-02-21,64.489998,1647.0
2017-02-22,64.360001,1651.73999
2017-02-23,64.620003,1637.26001
2017-02-24,64.620003,1631.619995
2017-02-27,64.230003,1632.01001
2017-02-28,63.98,1724.130005
2017-03-01,64.940002,1733.180054
2017-03-02,64.010002,1734.369995
2017-03-03,64.25,1735.099976
2017-03-06,64.269997,1730.209961
2017-03-07,64.400002,1736.459961
2017-03-08,64.989998,1743.48999
2017-03-09,64.730003,1749.420044
2017-03-10,64.93,1754.23999
2017-03-13,64.709999,1767.119995
2017-03-14,64.410004,1769.0
2017-03-15,64.75,1767.97998
2017-03-16,64.639999,1773.97998
2017-03-17,64.870003,1772.630005
2017-03-20,64.93,1765.439941
2017-03-21,64.209999,1747.140015
2017-03-22,65.029999,1751.98999
2017-03-23,64.870003,1748.329956
2017-03-24,64.980003,1753.109985
2017-03-27,65.099998,1772.0
2017-03-28,65.290001,1788.449951
2017-03-29,65.470001,1785.050049
2017-03-30,65.709999,1789.199951
2017-03-31,65.860001,1779.969971
2017-04-03,65.550003,1773.98999
2017-04-04,65.730003,1767.380005
2017-04-05,65.559998,1761.77002
2017-04-06,65.730003,1773.52002
2017-04-07,65.68,1769.560059
2017-04-10,65.529999,1775.969971
2017-04-11,65.480003,1768.400024
2017-04-12,65.230003,1750.01001
2017-04-13,64.949997,1738.77002
2017-04-17,65.480003,1770.609985
2017-04-18,65.389999,1763.310059
2017-04-19,65.040001,1763.199951
2017-04-20,65.5,1760.800049
2017-04-21,66.400002,1752.01001
2017-04-24,67.529999,1798.619995
2017-04-25,67.919998,1799.089966
2017-04-26,67.830002,1804.119995
2017-04-27,68.269997,1835.869995
2017-04-28,68.459999,1846.819946
