,iwm,mdy,portfolioreturn,portfoliostandarddeviation,spy,returnoverrisk
208,0.3,0.42,0.04727172597,0.0063562171029,0.28,7.43708485798
209,0.09,0.2,0.0606892901174,0.00659788075517,0.71,9.19830054066
210,0.38,0.42,0.0457436169022,0.00618498656964,0.2,7.39591208277
211,0.06,0.34,0.0552765178443,0.00681525889043,0.6,8.11069964223
212,0.79,0.15,0.0494561261927,0.00513894211097,0.06,9.62379515565
213,0.57,0.17,0.0528033099617,0.0055372440513,0.26,9.53602721362
214,0.2,0.63,0.0402031425444,0.0068355404911,0.17,5.88148700118
215,0.42,0.17,0.055668514464,0.00583330293967,0.41,9.54322363157
216,0.36,0.51,0.0422776214147,0.00633491327148,0.13,6.67374904799
217,0.24,0.39,0.0497004820224,0.00645425053265,0.37,7.70042652838
218,0.09,0.39,0.0525656865247,0.006799393896,0.52,7.73093709949
219,0.57,0.09,0.0562237746323,0.00546246790427,0.34,10.2927423314
220,0.24,0.7,0.0364461814237,0.0068382298565,0.06,5.3297684033
221,0.18,0.08,0.064100864422,0.00627346256847,0.74,10.217780647
222,0.35,0.21,0.055295377563,0.00602002737738,0.44,9.18523689291
223,0.3,0.12,0.0600984684849,0.00604075924089,0.58,9.94882697495
224,0.2,0.58,0.0423409329636,0.00677187627254,0.22,6.25246700612
225,0.11,0.36,0.0534663335092,0.00671880168184,0.53,7.95771865893
226,0.39,0.3,0.0506833002746,0.00602924673818,0.31,8.40624085819
227,0.46,0.53,0.0395123689122,0.00615346082555,0.01,6.42116201473
228,0.03,0.07,0.0673936270081,0.00661891431764,0.9,10.1819760423
229,0.05,0.22,0.0605982284837,0.00671340776476,0.73,9.02644835635
230,0.49,0.37,0.045780257353,0.00590280153472,0.14,7.75568297252
231,0.48,0.14,0.0558051069145,0.00568278907929,0.38,9.82002079189
232,0.22,0.53,0.0440966961158,0.00666472792382,0.25,6.6164285504
233,0.55,0.22,0.0510475468095,0.00562473677718,0.23,9.07554412441
234,0.27,0.51,0.043996744116,0.00652914283835,0.22,6.73851762862
235,0.24,0.02,0.0655201311241,0.00608427297039,0.74,10.7687691599
236,0.39,0.51,0.0417045805142,0.00627193276235,0.1,6.64939853382
237,0.12,0.68,0.0395934611932,0.00708278502315,0.2,5.5900978307
238,0.77,0.09,0.0524035019626,0.00511599227892,0.14,10.2430768277
239,0.55,0.08,0.0570333599831,0.00549127735667,0.37,10.3861736129
240,0.03,0.27,0.0588424653315,0.00681275659961,0.7,8.6371007787
241,0.63,0.23,0.0490918796578,0.00548642164722,0.14,8.94788676745
242,0.04,0.09,0.066347497207,0.00661280581068,0.87,10.0331839625
243,0.12,0.46,0.0489997390374,0.0068094708511,0.42,7.19582183534
244,0.56,0.28,0.0482911846731,0.00566803882854,0.16,8.51991070172
245,0.06,0.85,0.033471055569,0.00745157246391,0.09,4.49181105479
246,0.3,0.37,0.0494095163892,0.00629900971525,0.33,7.84401336444
247,0.29,0.65,0.0376289036754,0.00666269495371,0.06,5.64770020793
248,0.57,0.41,0.0425419159498,0.00579414581558,0.02,7.34222391079
249,0.14,0.46,0.0486177117705,0.00676298433364,0.4,7.18879556302
250,0.19,0.65,0.0395390400103,0.00688394177881,0.16,5.74366275612
251,0.57,0.16,0.0532308680455,0.00552758670698,0.27,9.63003763981
252,0.55,0.4,0.0433515013006,0.00582045510555,0.05,7.44812914359
253,0.35,0.37,0.0484544482218,0.00619109914115,0.28,7.82646943896
254,0.69,0.2,0.0492284721084,0.00535071922157,0.11,9.20034673281
255,0.68,0.13,0.0524123923287,0.0053008760108,0.19,9.88749637266
256,0.05,0.85,0.0336620692025,0.00747489306197,0.1,4.50335127518
257,0.42,0.54,0.0398488653623,0.00624714771979,0.04,6.37872948578
258,0.19,0.41,0.0498004340222,0.00659000541397,0.4,7.55696405296
259,0.79,0.17,0.048601010025,0.00515778540522,0.04,9.42284453631
260,0.04,0.49,0.0492451738538,0.00703377458159,0.47,7.00124425123
261,0.78,0.2,0.047509349407,0.00520245182855,0.02,9.13210750868
262,0.15,0.5,0.0467164658017,0.00678744794631,0.35,6.88277334444
263,0.47,0.42,0.0440244942008,0.0060002840427,0.11,7.33706836002
264,0.24,0.72,0.035591065256,0.00686504144938,0.04,5.18439189603
265,0.24,0.18,0.0586792017828,0.00623140320366,0.58,9.4166915324
266,0.63,0.15,0.0525123443284,0.00540768783076,0.22,9.71068337742
267,0.49,0.11,0.0568967675325,0.00563488699835,0.4,10.0972331032
268,0.37,0.21,0.0549133502961,0.00597747448277,0.42,9.18671429788
269,0.67,0.29,0.0457624766209,0.00547801238186,0.04,8.35384687564
270,0.48,0.18,0.0540948745792,0.00572139615236,0.34,9.45483814417
271,0.13,0.82,0.0334166343861,0.00724854626776,0.05,4.61011534612
272,0.24,0.36,0.0509831562739,0.0064204605698,0.4,7.94073193343
273,0.05,0.51,0.0481990440527,0.00703376150193,0.44,6.85252749037
274,0.62,0.06,0.0565513807164,0.00534398769658,0.32,10.5822438088
275,0.42,0.28,0.0509653755418,0.00594546725886,0.3,8.57213963559
276,0.26,0.29,0.0535940355937,0.0062994342725,0.45,8.50775375619
277,0.13,0.33,0.0543669804937,0.00663904534022,0.54,8.18897562943
278,0.14,0.45,0.0490452698543,0.00675125862309,0.41,7.26461132545
279,0.57,0.15,0.0536584261294,0.00551801711539,0.28,9.72422248922
280,0.23,0.08,0.0631457962546,0.00615954673992,0.69,10.2516952823
281,0.18,0.64,0.0401576117276,0.00689358573662,0.18,5.8253590021
282,0.14,0.28,0.0563137572794,0.00656218809711,0.58,8.58155183089
283,0.24,0.61,0.0402942041782,0.00672050807981,0.15,5.99570801785
284,0.26,0.71,0.0356365960729,0.00680766830789,0.03,5.23477268004
285,0.35,0.11,0.0595709584013,0.0059232814366,0.54,10.0570872816
286,0.36,0.24,0.0538216896781,0.00602928549818,0.4,8.92671108281
287,0.2,0.16,0.0602983724844,0.00630248285403,0.64,9.56739968691
288,0.54,0.21,0.0516661185268,0.00563378199571,0.25,9.17076993148
289,0.25,0.6,0.0405307486285,0.00668559075195,0.15,6.06240347821
290,0.16,0.52,0.0456703360005,0.00678864078035,0.32,6.7274639325
291,0.27,0.46,0.0461345345352,0.00646895987075,0.27,7.13167734179
292,0.18,0.76,0.0350269147216,0.00705283157126,0.06,4.96636200195
293,0.54,0.28,0.04867321194,0.00570622657246,0.18,8.52984215085
294,0.22,0.31,0.05350297396,0.00641057394873,0.47,8.34605050779
295,0.03,0.8,0.0361818868886,0.00745302198642,0.17,4.8546598889
296,0.53,0.3,0.0480091094058,0.00574694681998,0.17,8.35384612207
297,0.28,0.43,0.0472261951532,0.00641163425939,0.29,7.36570322676
298,0.45,0.52,0.0401309406295,0.00616115383042,0.03,6.51354303659
299,0.16,0.09,0.0640553336052,0.00632873328918,0.75,10.1213514108
300,0.68,0.31,0.0447163468198,0.00548212060078,0.01,8.15676087341
301,0.66,0.25,0.0476637225897,0.00545349538049,0.09,8.74003171622
302,0.42,0.43,0.0445520042844,0.00611354050111,0.15,7.28743095368
303,0.18,0.22,0.0581150512484,0.0064076572464,0.6,9.06962545182
304,0.18,0.76,0.0350269147216,0.00705283157126,0.06,4.96636200195
305,0.57,0.04,0.0583615650515,0.00541867320988,0.39,10.7704529856
306,0.33,0.02,0.0638010084228,0.00588619167508,0.65,10.8390980017
307,0.06,0.03,0.068530818443,0.00651134420242,0.91,10.5248342451
308,0.05,0.52,0.0477714859688,0.00704577787755,0.43,6.7801578192
309,0.29,0.54,0.0423320425976,0.00652227254222,0.17,6.49038235117
310,0.61,0.18,0.0516116973439,0.00547282130941,0.21,9.43054677396
311,0.65,0.34,0.0440067134687,0.00556779700866,0.01,7.90379272093
312,0.25,0.11,0.0614810947362,0.0061420975773,0.64,10.0097880183
313,0.49,0.17,0.0543314190296,0.00569174734245,0.34,9.54564842054
314,0.17,0.52,0.045479322367,0.00676573773056,0.31,6.72200492809
315,0.39,0.58,0.0387116739274,0.00635967255997,0.03,6.08705457118
316,0.01,0.37,0.0549489117602,0.00696847019636,0.62,7.88536224046
317,0.44,0.33,0.0484455578557,0.00595859909609,0.23,8.13036035392
318,0.08,0.65,0.0416401899786,0.00713687355229,0.27,5.83451418517
319,0.22,0.68,0.0376833248583,0.00685601034002,0.1,5.4963926525
320,0.37,0.03,0.062609395805,0.00580936168471,0.6,10.7773279068
321,0.1,0.68,0.0399754884601,0.00712909202869,0.22,5.60737444534
322,0.2,0.77,0.0342173293708,0.00702167212603,0.03,4.87310269644
323,0.08,0.28,0.0574598390803,0.00670339791342,0.64,8.57174821224
324,0.22,0.54,0.0436691380319,0.00667704516904,0.24,6.54018909958
325,0.22,0.54,0.0436691380319,0.00667704516904,0.24,6.54018909958
326,0.34,0.37,0.0486454618552,0.00621248357402,0.29,7.83027613283
327,0.78,0.03,0.0547778368321,0.00504950417055,0.19,10.8481615188
328,0.04,0.29,0.0577963355304,0.00680959618231,0.67,8.48748354279
329,0.65,0.34,0.0440067134687,0.00556779700866,0.01,7.90379272093
330,0.3,0.57,0.0408583547126,0.00653809281953,0.13,6.24927724956
331,0.41,0.45,0.0438879017502,0.00615781999005,0.14,7.12718166838
332,0.4,0.48,0.0427962411322,0.0062145315918,0.12,6.88647897272
333,0.36,0.43,0.0456980860853,0.0062388854707,0.21,7.32471950317
334,0.03,0.5,0.0490086294035,0.00706957928866,0.47,6.93232615441
335,0.08,0.46,0.0497637935714,0.00690338191837,0.46,7.20861081711
336,0.37,0.44,0.045079514368,0.0062295028654,0.19,7.23645455215
337,0.08,0.42,0.0514740259067,0.00685708724895,0.5,7.50668965377
338,0.07,0.31,0.0563681784623,0.00675900198013,0.62,8.33971918162
339,0.33,0.6,0.0390026395606,0.00651173099973,0.07,5.98959624749
340,0.24,0.68,0.0373012975914,0.00681165184748,0.08,5.47610160157
341,0.18,0.74,0.0358820308893,0.0070257193272,0.08,5.1072394467
342,0.17,0.79,0.0339352541036,0.00711641043188,0.04,4.76859147297
343,0.49,0.17,0.0543314190296,0.00569174734245,0.34,9.54564842054
344,0.12,0.81,0.0340352061034,0.00725756503901,0.07,4.68961778785
345,0.67,0.26,0.0470451508724,0.00544633568687,0.07,8.63794550633
346,0.49,0.16,0.0547589771134,0.00568205605525,0.35,9.63717650459
347,0.33,0.14,0.0586703114168,0.00599441787863,0.53,9.7874910633
348,0.19,0.16,0.0604893861179,0.00632535240459,0.65,9.56300649336
349,0.08,0.21,0.0604527456671,0.00663161989209,0.71,9.11583393663
350,0.31,0.14,0.0590523386838,0.00603779382814,0.55,9.78044967494
351,0.36,0.52,0.0418500633308,0.00634722402087,0.12,6.59344355788
352,0.33,0.59,0.0394301976445,0.00649892380141,0.08,6.06718879146
353,0.31,0.19,0.0569145482646,0.00608637821939,0.5,9.35113563651
354,0.21,0.17,0.0596798007671,0.00628941001974,0.62,9.48893466634
355,0.6,0.17,0.0522302690612,0.00548143348347,0.23,9.52857846742
356,0.35,0.44,0.0454615416349,0.00627189057562,0.21,7.24845899124
357,0.05,0.46,0.0503368344718,0.00697461111052,0.49,7.21715285256
358,0.13,0.77,0.0355544248052,0.00717987831188,0.1,4.95195367676
359,0.29,0.16,0.0585792497831,0.00610076552223,0.55,9.60195070105
360,0.63,0.22,0.0495194377416,0.00547627275329,0.15,9.04254407561
361,0.24,0.62,0.0398666460943,0.00673334686225,0.14,5.92077712762
362,0.77,0.05,0.054113734298,0.00508168645434,0.18,10.6487747294
363,0.08,0.86,0.0326614702182,0.0074191248211,0.06,4.40233464266
364,0.42,0.54,0.0398488653623,0.00624714771979,0.04,6.37872948578
365,0.11,0.54,0.0457702880003,0.00692870854633,0.35,6.60589021665
366,0.01,0.6,0.0451150758321,0.00723946781357,0.39,6.2318221441
367,0.02,0.46,0.0509098753723,0.00704649952757,0.52,7.22484620528
368,0.63,0.32,0.0452438569033,0.00558158837904,0.05,8.10591068902
369,0.25,0.09,0.0623362109038,0.0061237001959,0.66,10.1795007773
370,0.64,0.28,0.0467630756052,0.00552047295572,0.08,8.47084588228
371,0.48,0.44,0.0429783643997,0.00600388573388,0.08,7.15842477766
372,0.67,0.12,0.053030964046,0.0053089665557,0.21,9.98894294956
373,0.18,0.15,0.0611079578352,0.00633868325426,0.67,9.64048137193
374,0.09,0.25,0.0585514996983,0.00664846307038,0.66,8.80677219359
375,0.44,0.02,0.0616998584544,0.00565568533236,0.54,10.9093513568
