Date,AAPL,AMZN,BAC,CA,CHD,MS,MSFT,TSLA
2015-06-19,126.599998,434.920013,17.17,30.48,41.794998,39.369999,46.099998,262.51001
2015-06-22,127.610001,436.290009,17.469999,30.66,41.915001,39.849998,46.23,259.790009
2015-06-23,127.029999,445.98999,17.67,30.84,41.639999,40.209999,45.91,267.670013
2015-06-24,128.110001,440.839996,17.49,30.67,41.32,39.639999,45.639999,265.170013
2015-06-25,127.5,440.100006,17.370001,30.18,41.404999,39.220001,45.650002,268.790009
2015-06-26,126.75,438.100006,17.41,29.889999,41.41,39.5,45.259998,267.089996
2015-06-29,124.529999,429.859985,16.889999,29.07,40.52,38.310001,44.369999,262.019989
2015-06-30,125.43,434.089996,17.02,29.290001,40.564999,38.790001,44.150002,268.26001
2015-07-01,126.599998,437.390015,17.219999,29.51,41.369999,39.360001,44.450001,269.149994
2015-07-02,126.440002,437.709991,17.030001,29.530001,41.060001,39.0,44.400002,280.019989
2015-07-06,126.0,436.040009,16.940001,29.52,40.904999,38.849998,44.389999,279.720001
2015-07-07,125.690002,436.720001,16.690001,30.08,41.775002,38.619999,44.299999,267.880005
2015-07-08,122.57,429.700012,16.25,29.83,41.790001,37.790001,44.240002,254.960007
2015-07-09,120.07,434.390015,16.48,29.99,41.59,38.099998,44.52,257.920013
2015-07-10,123.279999,443.51001,16.700001,30.34,42.055,38.639999,44.610001,259.149994
2015-07-13,125.660004,455.570007,17.02,30.66,42.435001,39.32,45.540001,262.160004
2015-07-14,125.610001,465.570007,17.129999,30.5,42.41,39.709999,45.619999,265.649994
2015-07-15,126.82,461.190002,17.68,30.52,42.400002,39.700001,45.759998,263.140015
2015-07-16,128.509995,475.480011,17.950001,30.709999,42.904999,39.91,46.66,266.679993
2015-07-17,129.619995,483.01001,18.1,30.530001,42.485001,40.200001,46.619999,274.660004
2015-07-20,132.070007,488.100006,18.120001,30.49,42.849998,40.040001,46.919998,282.26001
2015-07-21,130.75,488.0,18.08,30.59,42.360001,40.080002,47.279999,266.769989
2015-07-22,125.220001,488.269989,18.450001,30.139999,42.555,40.540001,45.540001,267.869995
2015-07-23,125.160004,482.179993,18.18,29.9,42.389999,39.939999,46.110001,267.200012
