,USD,GOOGL,AAPL,ACN,XLV,EWO,ICLR,MSFT,PPA,SONVY,PCLN,AMT,GRMN,SAFM,IAI,INTC,LPX,PYPL,IXG,AMGN,ANTM,FXI,EWT,RHHBY,EZU,EBAY,UL,SH
IXG,0.464488663139,0.342757130593,0.389577075196,0.310170325,0.427140181246,0.649432395292,0.118877818603,0.439258431889,0.635381883534,0.125961222395,0.397951682432,-0.0378214834189,0.404089999329,0.162749540907,0.852943880977,0.384079215397,0.282677226758,0.301600021461,1.0,0.389315497335,0.289577261658,0.529330727504,0.399561249385,0.111558362229,0.720465366082,0.258577280201,0.273572670162,-0.791093586932
AMGN,0.270746752708,0.32695796785,0.314015811008,0.171748170074,0.707432011679,0.206425850811,0.0436626157051,0.294780132032,0.288495349385,0.0543971344891,0.294284530549,-0.00758752449632,0.18966277228,0.0196632774817,0.413061126494,0.207002269366,0.241178662531,0.199409119313,0.389315497335,1.0,0.258716395597,0.272732479845,0.288108311695,0.060842452199,0.30919469066,0.242340898312,0.185366955799,-0.492723279741
ANTM,0.194435677814,0.303723133676,0.291990111508,0.145574728051,0.451009589862,0.136793532041,0.0559293712774,0.239830612118,0.378900345825,0.0632271450839,0.142326149676,0.123660923137,0.283563427771,-0.0549457926694,0.327262660257,0.137255980771,0.179086186213,0.146790698315,0.289577261658,0.258716395597,1.0,0.264782131549,0.232133505136,-0.0488083272931,0.16041497612,0.18098570693,0.1668532605,-0.429909588592
FXI,0.491718827389,0.379626643286,0.500080578701,0.269008534379,0.408192003703,0.415359201663,0.217242384632,0.475478734103,0.459221400003,0.111527047792,0.31555945081,0.132706998593,0.251916274736,0.0440919011873,0.416127036992,0.260014979876,0.169858834729,0.279664373286,0.529330727504,0.272732479845,0.264782131549,1.0,0.757910842367,0.0500435163797,0.449473058773,0.434444132949,0.346960500287,-0.607899762381
EWT,0.432430692743,0.40250845181,0.526911821513,0.160100604587,0.420678920991,0.399100805678,0.262915692777,0.453635243911,0.35833042582,0.143080494951,0.367447103379,0.122584015799,0.227697895276,0.0300248403565,0.278539386987,0.247249547725,0.120205046851,0.328750118019,0.399561249385,0.288108311695,0.232133505136,0.757910842367,1.0,-0.0382458416275,0.423717630129,0.422625826473,0.3605055508,-0.532802965179
RHHBY,0.119908226919,0.161015971688,0.100563219313,0.157550821368,0.179088710693,0.229374152576,0.0578906537484,0.100499001328,0.160893958882,0.281131630124,0.17639656923,0.206123108225,-0.0305239573729,-0.00887076482874,-0.0202488666722,0.203112219417,-0.00787553036183,0.210895809084,0.111558362229,0.060842452199,-0.0488083272931,0.0500435163797,-0.0382458416275,1.0,0.333997018724,0.15281074501,0.198492363122,-0.178206236136
EZU,0.440531814596,0.363655191319,0.358212565905,0.285515702399,0.4559034421,0.820420168018,0.0729648348533,0.47378681479,0.481654335782,0.432149873245,0.413653774272,0.165301173418,0.300170614506,0.138463665837,0.447631545769,0.382954564157,0.16863676573,0.319039357139,0.720465366082,0.30919469066,0.16041497612,0.449473058773,0.423717630129,0.333997018724,1.0,0.321038425759,0.553516239047,-0.62418407455
EBAY,0.542398273848,0.553322546966,0.486377391436,0.222598949503,0.414370118187,0.271803469135,0.139977895217,0.585573195259,0.387488248219,0.18402217366,0.415566732894,0.109401988953,0.187979223511,0.0839558420499,0.216241808426,0.32000668916,0.181326366561,0.459727103879,0.258577280201,0.242340898312,0.18098570693,0.434444132949,0.422625826473,0.15281074501,0.321038425759,1.0,0.302356679326,-0.493721441105
UL,0.323628818138,0.27384301204,0.318374611466,0.276337788314,0.388141204626,0.482075361491,0.092655652162,0.378349203467,0.269026906042,0.3152286523,0.22917792436,0.275906704014,0.153981015215,-0.0463819658463,0.118499864558,0.280956509561,0.101413246722,0.296156524089,0.273572670162,0.185366955799,0.1668532605,0.346960500287,0.3605055508,0.198492363122,0.553516239047,0.302356679326,1.0,-0.434931557071
SH,-0.667496476528,-0.577727580295,-0.609271325718,-0.460394714175,-0.683972093526,-0.513133677883,-0.274992729144,-0.676421286829,-0.773356113447,-0.174388858955,-0.473860448176,-0.123242154477,-0.537726974479,-0.213125488867,-0.737273780119,-0.506356672756,-0.395568276802,-0.503551579229,-0.791093586932,-0.492723279741,-0.429909588592,-0.607899762381,-0.532802965179,-0.178206236136,-0.62418407455,-0.493721441105,-0.434931557071,1.0
