,ALGN,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,JPM,LMT,LPX,LRCX,MASI,MRK,MRO,MSFT,RTN,T,THO,WFC,WMT,WRK,XOM,portfolioreturn,portfoliostandarddeviation,returnoverrisk
439,0.05,0.11,0.04,0.01,0.02,0.01,0.03,0.08,0.01,0.02,0.04,0.05,0.03,0.09,0.04,0.02,0.06,0.03,0.01,0.01,0.03,0.11,0.05,0.03,0.02,0.148142780283,0.00608115906221,24.3609448081
440,0.1,0.01,0.06,0.01,0.03,0.08,0.03,0.02,0.07,0.1,0.01,0.04,0.08,0.02,0.02,0.01,0.05,0.06,0.04,0.07,0.02,0.02,0.03,0.01,0.01,0.173239829863,0.00573179591776,30.2243541725
441,0.03,0.02,0.22,0.07,0.02,0.04,0.01,0.04,0.01,0.05,0.06,0.09,0.01,0.01,0.03,0.07,0.05,0.02,0.02,0.04,0.02,0.01,0.04,0.01,0.01,0.121230548259,0.00639315738106,18.9625471474
442,0.09,0.12,0.01,0.05,0.02,0.02,0.03,0.13,0.04,0.01,0.01,0.03,0.02,0.01,0.09,0.01,0.02,0.03,0.01,0.07,0.02,0.07,0.01,0.04,0.04,0.155731844599,0.00569046320074,27.3671648695
443,0.03,0.01,0.07,0.05,0.06,0.02,0.1,0.01,0.06,0.02,0.02,0.07,0.05,0.07,0.01,0.06,0.05,0.03,0.02,0.03,0.05,0.03,0.01,0.02,0.05,0.119943120738,0.00589092625183,20.3606556271
444,0.08,0.13,0.03,0.02,0.05,0.04,0.01,0.02,0.05,0.06,0.01,0.02,0.04,0.03,0.01,0.02,0.04,0.03,0.02,0.01,0.03,0.03,0.08,0.06,0.08,0.160721962321,0.00598092593463,26.8724214407
445,0.01,0.03,0.01,0.05,0.01,0.08,0.01,0.04,0.09,0.11,0.02,0.07,0.06,0.04,0.04,0.02,0.01,0.03,0.13,0.01,0.01,0.03,0.03,0.01,0.05,0.1418552767,0.00545007330442,26.02814105
446,0.06,0.04,0.11,0.02,0.01,0.04,0.01,0.03,0.03,0.03,0.01,0.1,0.03,0.03,0.02,0.06,0.05,0.01,0.01,0.11,0.01,0.05,0.09,0.03,0.01,0.133515462132,0.00571521989208,23.3613867275
447,0.01,0.01,0.01,0.02,0.05,0.06,0.05,0.02,0.08,0.01,0.05,0.07,0.03,0.01,0.04,0.03,0.05,0.02,0.1,0.07,0.03,0.03,0.12,0.01,0.02,0.0937294498106,0.00539161018643,17.3843149949
448,0.03,0.03,0.03,0.04,0.06,0.03,0.05,0.01,0.01,0.04,0.02,0.04,0.04,0.06,0.01,0.07,0.02,0.12,0.03,0.09,0.01,0.04,0.04,0.06,0.02,0.129866247054,0.00566733790663,22.9148586503
449,0.11,0.01,0.03,0.05,0.01,0.02,0.08,0.01,0.03,0.02,0.02,0.02,0.05,0.1,0.01,0.14,0.02,0.02,0.02,0.03,0.02,0.01,0.07,0.03,0.07,0.200186560514,0.00622458425128,32.160631527
450,0.06,0.02,0.06,0.04,0.03,0.01,0.07,0.12,0.01,0.02,0.08,0.06,0.01,0.02,0.13,0.03,0.01,0.02,0.01,0.01,0.01,0.04,0.03,0.05,0.05,0.137972619366,0.00614666043965,22.4467612487
451,0.01,0.01,0.02,0.02,0.03,0.03,0.05,0.12,0.02,0.04,0.07,0.04,0.25,0.03,0.01,0.01,0.01,0.11,0.02,0.01,0.04,0.01,0.01,0.02,0.01,0.15614841982,0.00715420258386,21.8261110151
452,0.01,0.01,0.03,0.02,0.01,0.05,0.11,0.01,0.12,0.01,0.06,0.02,0.04,0.06,0.01,0.09,0.05,0.05,0.02,0.01,0.01,0.02,0.12,0.04,0.02,0.114853568915,0.00610690036563,18.8071790988
453,0.05,0.07,0.01,0.11,0.01,0.03,0.12,0.01,0.01,0.01,0.09,0.01,0.02,0.04,0.01,0.07,0.04,0.04,0.01,0.05,0.08,0.05,0.01,0.03,0.02,0.128551571286,0.00595447088615,21.5890838571
454,0.03,0.06,0.01,0.05,0.04,0.01,0.09,0.05,0.01,0.01,0.02,0.08,0.01,0.02,0.16,0.03,0.08,0.01,0.01,0.02,0.01,0.04,0.01,0.11,0.03,0.0820989104983,0.00564366113769,14.5471013399
455,0.04,0.04,0.04,0.03,0.05,0.06,0.01,0.03,0.07,0.03,0.04,0.02,0.01,0.07,0.07,0.02,0.02,0.06,0.02,0.07,0.03,0.08,0.03,0.05,0.01,0.126052085908,0.00555899598713,22.6753331356
456,0.03,0.01,0.01,0.02,0.02,0.03,0.19,0.01,0.04,0.01,0.07,0.03,0.06,0.01,0.01,0.01,0.07,0.02,0.04,0.02,0.02,0.13,0.02,0.06,0.06,0.0866342332028,0.0055708150929,15.5514465582
457,0.08,0.02,0.04,0.05,0.02,0.03,0.05,0.03,0.16,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.03,0.01,0.05,0.02,0.08,0.04,0.02,0.03,0.14,0.131254450973,0.00542252556013,24.2054093646
458,0.12,0.06,0.04,0.02,0.04,0.08,0.03,0.03,0.02,0.01,0.08,0.01,0.01,0.11,0.02,0.01,0.02,0.07,0.01,0.02,0.05,0.02,0.07,0.04,0.01,0.2314728398,0.00636600820819,36.3607510752
459,0.02,0.09,0.03,0.06,0.05,0.02,0.01,0.05,0.04,0.02,0.02,0.01,0.05,0.06,0.01,0.04,0.07,0.03,0.04,0.02,0.02,0.09,0.01,0.08,0.06,0.107501785039,0.00604791223189,17.7750239947
460,0.06,0.01,0.04,0.01,0.01,0.01,0.01,0.1,0.03,0.01,0.04,0.04,0.01,0.01,0.24,0.04,0.01,0.03,0.08,0.01,0.02,0.08,0.04,0.04,0.02,0.115643115837,0.00546062650708,21.1776278211
461,0.02,0.01,0.02,0.03,0.03,0.01,0.04,0.02,0.03,0.02,0.06,0.14,0.05,0.01,0.04,0.01,0.08,0.01,0.04,0.11,0.11,0.04,0.04,0.01,0.02,0.0731181002847,0.00581618955852,12.5714782073
462,0.01,0.07,0.05,0.03,0.07,0.04,0.05,0.01,0.06,0.03,0.05,0.01,0.04,0.01,0.01,0.03,0.01,0.06,0.08,0.09,0.07,0.04,0.02,0.01,0.05,0.0941449127424,0.00559608130097,16.8233640076
463,0.07,0.01,0.01,0.07,0.03,0.03,0.02,0.04,0.16,0.06,0.02,0.04,0.01,0.02,0.01,0.01,0.06,0.02,0.02,0.01,0.07,0.04,0.12,0.01,0.04,0.134097068998,0.00578944588455,23.1623322286
464,0.01,0.02,0.04,0.03,0.01,0.01,0.03,0.12,0.07,0.02,0.01,0.12,0.09,0.01,0.01,0.05,0.04,0.05,0.1,0.03,0.01,0.06,0.03,0.01,0.02,0.123552475837,0.00595088688846,20.7620272664
465,0.05,0.03,0.07,0.08,0.01,0.02,0.02,0.02,0.11,0.02,0.01,0.07,0.01,0.02,0.02,0.12,0.01,0.03,0.01,0.08,0.01,0.02,0.13,0.02,0.01,0.131395296666,0.00585232050254,22.451828571
466,0.02,0.02,0.01,0.01,0.03,0.02,0.04,0.07,0.09,0.02,0.02,0.02,0.01,0.05,0.09,0.03,0.05,0.03,0.04,0.05,0.11,0.04,0.01,0.02,0.1,0.0838031898979,0.00551175686484,15.2044424224
467,0.11,0.03,0.06,0.03,0.01,0.04,0.03,0.04,0.01,0.05,0.03,0.02,0.04,0.06,0.1,0.01,0.1,0.02,0.01,0.04,0.01,0.03,0.01,0.01,0.1,0.154810427687,0.00567559942164,27.2764894394
468,0.05,0.05,0.01,0.05,0.01,0.05,0.01,0.01,0.04,0.02,0.08,0.04,0.03,0.06,0.02,0.05,0.11,0.01,0.01,0.01,0.1,0.02,0.11,0.01,0.04,0.122272123556,0.00665082142757,18.3845145878
469,0.06,0.01,0.01,0.06,0.01,0.01,0.04,0.08,0.01,0.02,0.03,0.01,0.06,0.04,0.08,0.04,0.03,0.02,0.08,0.06,0.11,0.03,0.04,0.05,0.01,0.142639746166,0.00561941000906,25.3834025166
470,0.01,0.04,0.07,0.02,0.04,0.17,0.01,0.03,0.08,0.02,0.04,0.03,0.04,0.02,0.04,0.04,0.01,0.02,0.05,0.03,0.02,0.03,0.01,0.05,0.08,0.122225455851,0.00584033235655,20.9278254026
471,0.09,0.01,0.1,0.02,0.01,0.04,0.06,0.09,0.03,0.02,0.02,0.02,0.01,0.03,0.02,0.08,0.04,0.01,0.02,0.05,0.12,0.01,0.07,0.01,0.02,0.164304707004,0.00630557750866,26.0570434315
472,0.02,0.02,0.1,0.02,0.04,0.09,0.05,0.02,0.05,0.03,0.02,0.07,0.04,0.02,0.01,0.01,0.07,0.01,0.01,0.02,0.06,0.02,0.01,0.05,0.14,0.0990169180165,0.0057857595362,17.1139013637
473,0.03,0.06,0.05,0.02,0.02,0.03,0.15,0.02,0.03,0.03,0.02,0.03,0.06,0.05,0.06,0.04,0.01,0.08,0.03,0.01,0.07,0.02,0.04,0.03,0.01,0.143124649808,0.00547431653384,26.1447523035
474,0.02,0.01,0.01,0.06,0.1,0.07,0.07,0.02,0.06,0.01,0.01,0.05,0.03,0.04,0.06,0.02,0.03,0.02,0.03,0.01,0.01,0.03,0.03,0.06,0.14,0.102953515644,0.00531998648095,19.3522137721
475,0.01,0.05,0.01,0.05,0.06,0.03,0.01,0.05,0.04,0.04,0.07,0.05,0.01,0.02,0.03,0.02,0.24,0.03,0.03,0.04,0.03,0.01,0.04,0.02,0.01,0.0382689175559,0.00795956483557,4.80791580274
476,0.02,0.07,0.05,0.01,0.09,0.02,0.08,0.03,0.08,0.08,0.03,0.03,0.01,0.05,0.04,0.03,0.01,0.01,0.01,0.02,0.01,0.09,0.04,0.05,0.04,0.103042048486,0.0059160074649,17.4174980504
477,0.01,0.01,0.06,0.08,0.07,0.01,0.01,0.06,0.06,0.07,0.04,0.05,0.05,0.01,0.08,0.01,0.03,0.02,0.04,0.07,0.04,0.04,0.05,0.02,0.01,0.0861402853113,0.00562016513324,15.3270025469
478,0.01,0.01,0.11,0.06,0.04,0.01,0.07,0.02,0.02,0.01,0.01,0.05,0.01,0.01,0.1,0.01,0.02,0.01,0.18,0.02,0.02,0.01,0.01,0.14,0.04,0.109590013429,0.00547627852202,20.0117676608
479,0.04,0.01,0.02,0.04,0.01,0.01,0.04,0.03,0.05,0.05,0.05,0.03,0.12,0.03,0.05,0.03,0.02,0.02,0.02,0.04,0.04,0.04,0.15,0.01,0.05,0.129671370078,0.00567546899921,22.8476924279
480,0.01,0.01,0.08,0.06,0.04,0.01,0.01,0.03,0.09,0.02,0.01,0.13,0.05,0.03,0.02,0.01,0.04,0.03,0.01,0.03,0.03,0.03,0.03,0.17,0.02,0.106451206181,0.0063052113161,16.8830513117
481,0.08,0.13,0.01,0.02,0.03,0.08,0.02,0.04,0.03,0.03,0.07,0.06,0.01,0.03,0.03,0.01,0.04,0.07,0.03,0.05,0.02,0.06,0.03,0.01,0.01,0.166402166576,0.00584242259343,28.4817066747
482,0.02,0.01,0.02,0.14,0.04,0.02,0.03,0.09,0.01,0.01,0.02,0.02,0.03,0.12,0.01,0.06,0.07,0.03,0.13,0.03,0.01,0.02,0.02,0.02,0.02,0.158362904994,0.00620699031313,25.5136381732
483,0.04,0.1,0.02,0.03,0.05,0.1,0.1,0.06,0.02,0.03,0.01,0.02,0.01,0.05,0.01,0.01,0.08,0.02,0.04,0.01,0.03,0.02,0.01,0.05,0.08,0.140768329659,0.0058812313343,23.9351798386
484,0.04,0.01,0.01,0.01,0.07,0.05,0.02,0.07,0.02,0.07,0.01,0.15,0.06,0.08,0.06,0.01,0.01,0.04,0.06,0.05,0.02,0.01,0.03,0.01,0.03,0.16536093446,0.0057701964993,28.6577648577
485,0.03,0.04,0.01,0.08,0.03,0.02,0.03,0.02,0.07,0.08,0.01,0.09,0.01,0.03,0.02,0.07,0.02,0.05,0.04,0.01,0.04,0.02,0.02,0.12,0.04,0.127056719469,0.00593810188838,21.3968574231
486,0.01,0.01,0.04,0.01,0.02,0.1,0.03,0.01,0.05,0.02,0.02,0.03,0.02,0.06,0.03,0.07,0.02,0.03,0.06,0.01,0.04,0.02,0.05,0.08,0.16,0.118454093484,0.00562269489305,21.0671387541
487,0.01,0.02,0.03,0.09,0.05,0.07,0.05,0.01,0.01,0.04,0.01,0.11,0.02,0.02,0.05,0.04,0.03,0.06,0.01,0.05,0.03,0.02,0.03,0.08,0.06,0.105090298054,0.00534240150622,19.6709846558
488,0.06,0.07,0.03,0.08,0.04,0.04,0.02,0.04,0.04,0.05,0.05,0.03,0.02,0.01,0.06,0.04,0.01,0.04,0.02,0.01,0.08,0.04,0.06,0.02,0.04,0.139797124746,0.0057226841248,24.428593593
489,0.08,0.05,0.03,0.03,0.01,0.01,0.01,0.03,0.02,0.15,0.01,0.02,0.02,0.02,0.06,0.01,0.09,0.04,0.02,0.04,0.04,0.04,0.01,0.06,0.1,0.119782176768,0.00579593218551,20.6665939032
