Date,aap,adsk,avgo,bud,chtr,cmcsa,crc,dltr,dspg,fb,goog,lbrdk,low,lsxma,lyb,mar,mgm,mpc,pcln,px,sbac,stz,unp,wlk
2017-05-05,144.979996,93.239998,226.449997,120.580002,334.779999,39.009998,12.46,82.0,12.4,150.240005,927.130005,87.75,86.0,37.689999,84.160004,97.050003,30.85,50.66,1903.650024,129.479996,129.619995,178.509995,110.720001,62.130001
2017-05-08,146.970001,93.389999,225.080002,119.110001,323.809998,39.200001,13.27,82.290001,12.45,151.059998,934.299988,85.970001,86.0,37.290001,80.779999,96.370003,30.42,51.34,1903.910034,129.089996,131.419998,179.520004,110.019997,60.09
2017-05-09,146.119995,94.739998,228.460007,119.110001,325.519989,39.080002,13.08,82.779999,12.4,150.479996,932.169983,85.989998,85.849998,37.330002,81.910004,102.5,30.959999,51.459999,1911.130005,128.619995,129.75,177.770004,109.959999,60.349998
2017-05-10,146.160004,95.870003,231.330002,118.989998,325.579987,39.099998,13.79,83.019997,12.35,150.289993,928.780029,85.559998,86.059998,36.889999,82.459999,103.239998,31.23,52.34,1824.77002,129.169998,129.190002,177.570007,109.32,61.630001
2017-05-11,145.949997,95.410004,231.089996,118.889999,324.609985,39.259998,13.48,81.489998,12.25,150.039993,930.599976,85.410004,84.699997,37.029999,81.970001,102.82,30.98,52.509998,1813.560059,129.089996,127.720001,178.289993,110.099998,60.84
2017-05-12,145.020004,95.389999,235.960007,119.830002,322.0,38.98,12.9,81.290001,12.05,150.330002,932.219971,84.879997,84.82,36.599998,81.040001,102.449997,31.15,52.669998,1818.180054,129.720001,127.529999,178.570007,110.480003,61.720001
2017-05-15,145.850006,96.629997,239.029999,119.620003,321.070007,38.970001,12.76,80.940002,12.3,150.190002,937.080017,84.529999,85.190002,36.630001,82.529999,104.059998,31.68,52.990002,1813.810059,130.169998,130.410004,180.279999,111.279999,63.439999
2017-05-16,145.25,98.029999,240.679993,120.449997,320.01001,38.82,12.51,79.099998,12.35,149.779999,943.0,84.230003,85.360001,36.720001,83.059998,103.989998,32.200001,52.48,1829.800049,131.029999,130.770004,182.210007,111.0,63.709999
2017-05-17,144.559998,93.970001,231.179993,119.510002,313.109985,38.099998,12.09,78.080002,12.15,144.850006,919.619995,82.919998,83.75,36.43,79.980003,102.110001,31.15,52.049999,1795.689941,128.820007,134.080002,180.679993,106.559998,61.049999
2017-05-18,148.509995,95.830002,237.660004,117.0,315.880005,38.669998,12.06,79.0,12.25,147.660004,930.23999,83.709999,84.050003,37.98,80.410004,102.529999,30.959999,51.939999,1796.030029,128.369995,132.0,180.839996,107.139999,61.529999
2017-05-19,151.470001,109.910004,234.100006,118.010002,315.779999,38.849998,12.67,79.68,12.3,148.059998,934.01001,83.690002,84.589996,38.630001,81.099998,102.82,31.25,52.779999,1808.280029,129.229996,132.800003,182.940002,107.050003,62.880001
2017-05-22,147.369995,113.360001,238.380005,118.419998,316.420013,39.490002,12.14,80.919998,12.3,148.240005,941.859985,84.07,84.050003,38.75,80.300003,104.220001,31.57,52.98,1828.420044,129.820007,133.830002,184.139999,107.830002,63.240002
2017-05-23,140.660004,112.970001,236.539993,118.589996,318.790009,39.779999,12.26,78.849998,12.2,148.070007,948.820007,84.419998,82.339996,39.290001,80.57,105.489998,31.299999,53.080002,1827.939941,129.970001,134.309998,180.860001,108.0,63.049999
2017-05-24,133.020004,112.480003,239.600006,118.529999,329.040009,40.330002,12.2,78.080002,12.1,150.039993,954.960022,86.190002,79.849998,40.200001,81.629997,105.879997,31.190001,53.130001,1848.73999,132.270004,134.070007,178.830002,108.050003,62.84
2017-05-25,131.970001,113.889999,240.860001,118.360001,333.76001,40.34,11.53,78.800003,12.2,151.960007,969.539978,87.050003,81.330002,40.549999,80.669998,106.529999,31.6,52.450001,1860.430054,131.929993,135.550003,180.139999,109.699997,62.330002
2017-05-26,134.160004,113.029999,241.210007,118.489998,337.440002,40.91,11.85,78.279999,12.15,152.130005,971.469971,87.650002,80.910004,41.779999,80.730003,106.900002,31.82,52.82,1863.900024,131.970001,136.020004,180.929993,110.57,62.540001
2017-05-30,132.990005,113.160004,239.820007,116.699997,338.920013,41.099998,11.12,78.169998,11.95,152.380005,975.880005,88.18,79.410004,41.279999,80.559998,106.739998,31.870001,52.419998,1857.449951,131.589996,137.979996,180.509995,110.809998,61.919998
2017-05-31,133.630005,111.769997,239.479996,116.949997,345.549988,41.689999,10.89,77.699997,11.85,151.460007,964.859985,89.169998,78.769997,41.669998,80.519997,107.650002,31.719999,52.040001,1877.089966,132.289993,138.179993,182.75,110.300003,61.459999
2017-06-01,137.100006,113.029999,234.589996,117.370003,346.390015,41.66,10.89,80.559998,12.2,151.529999,966.950012,90.129997,80.43,43.009998,80.550003,108.68,32.259998,53.130001,1890.819946,134.089996,138.25,184.690002,110.589996,62.43
2017-06-02,137.800003,112.910004,254.529999,118.209999,353.029999,41.990002,10.3,80.43,12.25,153.610001,975.599976,91.82,80.220001,42.900002,80.040001,110.059998,32.52,52.700001,1895.959961,136.619995,138.690002,184.770004,111.199997,62.93
2017-06-05,135.570007,110.879997,252.210007,118.400002,344.429993,41.790001,10.19,79.279999,12.35,153.630005,983.679993,89.480003,79.440002,42.040001,78.910004,108.190002,32.189999,52.799999,1891.579956,133.419998,137.929993,184.509995,110.190002,62.900002
2017-06-06,131.300003,111.449997,253.860001,118.019997,342.829987,41.720001,11.14,76.879997,12.2,152.809998,976.570007,89.410004,78.699997,41.639999,79.139999,104.989998,32.490002,53.09,1889.859985,133.289993,136.990005,185.830002,108.959999,62.43
2017-06-07,130.619995,111.169998,254.279999,117.150002,345.880005,41.889999,10.79,75.410004,12.05,153.119995,980.940002,89.910004,77.790001,41.540001,79.239998,105.120003,32.759998,52.970001,1890.369995,133.080002,135.899994,184.539993,109.110001,62.110001
2017-06-08,125.919998,111.120003,254.949997,114.480003,337.450012,40.939999,10.6,74.839996,12.1,154.710007,983.409973,88.160004,77.639999,41.830002,79.480003,105.080002,32.77,53.43,1892.380005,132.979996,134.270004,183.449997,109.839996,63.549999
2017-06-09,128.360001,105.949997,243.339996,113.5,332.839996,40.689999,10.79,75.379997,12.5,149.600006,949.830017,86.82,78.650002,40.25,81.879997,102.419998,31.98,54.709999,1842.119995,136.190002,134.300003,181.0,109.75,65.690002
2017-06-12,130.949997,107.440002,242.669998,112.959999,338.649994,40.970001,11.16,75.349998,12.3,148.440002,942.900024,88.010002,79.029999,39.970001,81.779999,102.07,31.59,54.470001,1812.98999,134.970001,132.419998,179.139999,110.129997,65.040001
2017-06-13,131.630005,107.550003,242.940002,113.879997,341.809998,41.220001,11.83,75.5,12.25,150.679993,953.400024,89.150002,79.650002,40.52,82.949997,103.879997,32.09,55.029999,1843.52002,136.279999,132.050003,179.550003,111.540001,65.970001
2017-06-14,130.589996,106.199997,240.539993,113.980003,338.329987,41.09,10.81,75.269997,12.15,150.25,950.76001,87.889999,80.559998,39.740002,80.93,103.910004,32.349998,53.349998,1831.609985,135.190002,132.910004,179.899994,109.800003,63.59
2017-06-15,131.149994,105.580002,237.990005,113.209999,338.339996,41.439999,10.27,72.730003,12.15,149.800003,942.309998,87.559998,80.389999,39.950001,80.139999,104.739998,32.580002,52.990002,1809.199951,134.860001,132.220001,180.300003,110.669998,62.509998
2017-06-16,130.160004,104.879997,236.25,113.900002,340.220001,41.279999,10.36,70.07,11.65,150.639999,939.780029,88.019997,79.800003,39.990002,80.879997,104.5,32.610001,53.77,1802.609985,136.0,133.050003,180.880005,111.379997,63.650002
2017-06-19,129.600006,106.160004,241.149994,114.150002,340.26001,41.799999,9.92,70.550003,11.9,152.869995,957.369995,88.440002,81.080002,40.130001,81.300003,105.93,33.150002,54.290001,1851.599976,136.460007,132.960007,183.279999,111.830002,64.550003
2017-06-20,123.580002,104.93,239.990005,114.18,333.609985,40.389999,8.7,68.940002,11.7,152.25,950.630005,86.269997,80.459999,39.709999,80.099998,104.190002,33.18,52.849998,1850.640015,134.759995,131.559998,184.550003,108.349998,63.75
2017-06-21,120.110001,105.690002,245.119995,113.82,333.880005,40.279999,8.01,68.050003,11.6,153.910004,959.450012,86.269997,79.139999,40.240002,79.57,104.129997,32.959999,51.73,1867.780029,132.860001,131.080002,184.5,107.620003,62.740002
2017-06-22,120.699997,106.779999,244.039993,113.349998,334.130005,39.939999,8.42,67.68,11.7,153.399994,957.090027,85.919998,78.339996,40.040001,80.010002,103.889999,33.25,51.169998,1862.930054,132.470001,131.240005,184.110001,107.389999,63.200001
2017-06-23,119.739998,107.75,245.259995,113.300003,330.799988,39.5,9.23,66.599998,11.9,155.070007,965.590027,85.720001,76.07,40.830002,80.169998,104.059998,34.16,51.5,1874.280029,132.800003,131.910004,184.570007,108.099998,62.34
2017-06-26,121.790001,106.120003,242.75,113.919998,332.649994,39.59,9.34,68.489998,11.7,153.589996,952.27002,85.970001,76.699997,40.790001,80.889999,103.93,33.849998,51.330002,1876.339966,132.880005,132.800003,182.470001,108.029999,62.580002
2017-06-27,121.959999,102.919998,235.330002,113.620003,329.869995,39.25,9.25,69.220001,11.6,150.580002,927.330017,85.209999,76.330002,40.73,82.07,101.029999,33.73,51.849998,1858.25,132.229996,135.740005,182.279999,107.349998,63.16
2017-06-28,116.709999,104.279999,241.050003,113.699997,340.299988,39.860001,9.48,69.970001,11.75,153.240005,940.48999,87.5,77.019997,41.439999,83.800003,101.980003,33.700001,52.619999,1890.209961,133.639999,134.350006,183.679993,108.769997,65.260002
2017-06-29,116.050003,101.389999,234.039993,110.660004,335.73999,38.869999,9.38,69.730003,11.45,151.039993,917.789978,86.739998,76.599998,41.389999,83.769997,100.209999,32.889999,51.810001,1876.98999,131.669998,134.520004,192.789993,107.889999,65.099998
2017-06-30,116.589996,100.82,233.050003,110.360001,336.850006,38.919998,8.55,69.919998,11.6,150.979996,908.72998,86.75,77.529999,41.98,84.389999,100.309998,31.290001,52.330002,1870.52002,132.550003,134.899994,193.729996,108.910004,66.209999
2017-07-03,118.410004,99.360001,229.759995,110.419998,328.670013,38.360001,8.79,69.889999,11.5,148.429993,898.700012,84.879997,78.260002,41.299999,85.360001,100.110001,30.559999,53.099998,1843.130005,134.179993,134.279999,191.729996,110.040001,66.949997
2017-07-05,105.209999,102.599998,231.610001,110.0,335.109985,38.709999,8.15,68.209999,11.1,150.339996,911.710022,86.0,77.370003,41.279999,83.360001,101.169998,30.98,52.900002,1866.01001,132.660004,134.410004,193.919998,108.25,66.0
