Date,AAL,DAL,JBLU
2015-05-05,45.98682,42.237652,21.4
2015-05-06,46.025951,42.478676,21.17
2015-05-07,47.992207,43.732014,21.49
2015-05-08,47.972645,44.512943,21.76
2015-05-11,48.569366,45.129971,21.83
2015-05-12,47.786777,44.445457,21.709999
2015-05-13,47.434612,45.101048,21.42
2015-05-14,47.757431,45.698799,21.48
2015-05-15,47.610695,45.313152,21.42
2015-05-18,47.933514,45.66988,21.83
2015-05-19,46.808544,44.551506,21.75
2015-05-20,42.122799,42.054462,20.24
2015-05-21,41.545639,42.179802,20.18
2015-05-22,41.68259,41.630253,20.450001
2015-05-26,40.655441,40.347984,19.559999
2015-05-27,41.320644,41.003582,20.18
2015-05-28,41.056515,40.733631,19.92
2015-05-29,41.447811,41.379581,20.16
2015-06-01,43.218422,42.758263,20.700001
2015-06-02,42.827126,41.659184,20.6
2015-06-03,42.191277,41.688107,20.719999
2015-06-04,41.252171,41.379581,20.379999
2015-06-05,40.811966,41.36031,20.49
2015-06-08,38.992447,39.287468,19.01
2015-06-09,39.452225,39.258549,18.870001
2015-06-10,39.550037,39.586346,19.15
2015-06-11,39.148964,39.33567,19.27
2015-06-12,39.823948,39.663475,19.52
2015-06-15,39.197876,39.239262,19.540001
2015-06-16,38.620712,39.113926,19.549999
2015-06-17,39.012009,39.33567,19.540001
2015-06-18,39.109833,39.865936,19.959999
2015-06-19,40.655441,40.482964,20.23
2015-06-22,42.093452,41.389229,21.209999
2015-06-23,41.799984,41.55312,21.15
2015-06-24,41.320644,41.128918,20.9
2015-06-25,41.320644,41.071072,21.17
2015-06-26,40.538059,40.830044,20.790001
2015-06-29,38.884846,39.644192,20.200001
2015-06-30,39.070705,39.605625,20.76
2015-07-01,37.955517,38.824699,20.059999
2015-07-02,38.180508,38.564388,20.629999
2015-07-06,38.865276,39.027161,20.75
2015-07-07,39.784813,39.702038,21.02
2015-07-08,38.454414,38.728287,20.67
2015-07-09,38.806583,39.094646,20.9
2015-07-10,40.313061,40.9361,21.719999
2015-07-13,41.496727,41.813438,21.99
2015-07-14,41.144566,42.093029,22.450001
2015-07-15,40.63588,42.411186,22.290001
2015-07-16,40.489147,42.873962,22.74
2015-07-17,40.498928,43.327091,22.940001
2015-07-20,39.667431,42.507595,22.879999
2015-07-21,40.009811,43.047497,23.209999
2015-07-22,40.528275,43.597042,23.52
2015-07-23,41.68259,43.539192,23.219999
2015-07-24,38.767456,42.517239,22.73
2015-07-27,39.26635,42.353336,22.35
2015-07-28,40.27393,43.298161,22.82
2015-07-29,39.843513,42.594364,22.93
2015-07-30,39.39352,42.449745,22.860001
2015-07-31,39.227219,42.748623,22.98
2015-08-03,40.802174,44.088734,23.59
2015-08-04,41.809757,44.686481,23.85
2015-08-05,42.024975,44.768673,23.68
2015-08-06,41.358223,44.517277,23.27
2015-08-07,40.681664,44.817017,23.299999
2015-08-10,40.867966,44.78801,23.27
2015-08-11,41.868092,45.542206,23.59
2015-08-12,41.691597,45.058746,23.15
2015-08-13,41.838665,45.880638,23.82
2015-08-14,42.044586,46.054688,24.0
2015-08-17,43.093739,46.402771,24.4
2015-08-18,42.779972,45.793617,24.040001
2015-08-19,42.681919,45.522877,23.940001
2015-08-20,41.162125,44.198189,22.969999
2015-08-21,38.975567,42.15797,21.67
2015-08-24,36.887062,40.755936,21.219999
2015-08-25,36.769402,40.001728,21.48
2015-08-26,38.093094,42.254662,22.209999
2015-08-27,38.269592,42.40937,22.379999
2015-08-28,37.86758,42.486725,22.299999
2015-08-31,38.22057,42.332016,22.32
2015-09-01,38.436283,42.322353,22.110001
2015-09-02,40.701275,44.468929,23.530001
2015-09-03,40.093353,43.569687,23.42
2015-09-04,39.809002,43.898441,23.719999
2015-09-08,40.005104,45.04908,24.870001
2015-09-09,40.201214,44.488262,24.879999
2015-09-10,40.407124,44.952389,25.379999
2015-09-11,41.328808,45.368164,25.68
2015-09-14,41.46608,45.339161,26.33
2015-09-15,41.809265,45.339161,26.370001
2015-09-16,42.221081,45.532547,26.65
2015-09-17,43.132965,45.919315,27.02
2015-09-18,42.642704,45.126427,26.91
2015-09-21,42.387764,45.687256,26.84
2015-09-22,40.387508,44.923374,26.34
2015-09-23,40.436535,45.04908,26.620001
2015-09-24,39.465828,44.391571,26.389999
2015-09-25,39.45602,44.517277,26.66
2015-09-28,38.318623,43.182915,25.48
2015-09-29,38.416672,42.583416,25.190001
2015-09-30,38.073494,43.385967,25.77
2015-10-01,38.436283,43.908108,26.23
2015-10-02,37.877384,43.385967,26.219999
2015-10-05,39.406986,45.406845,26.49
2015-10-06,37.387127,43.598694,25.5
2015-10-07,38.544136,44.468929,25.629999
2015-10-08,38.965767,44.439919,25.26
2015-10-09,41.593536,45.648575,26.1
2015-10-12,42.985882,46.895916,26.860001
2015-10-13,42.564262,46.151379,24.75
2015-10-14,42.946659,46.982929,24.32
2015-10-15,43.5938,47.311687,24.379999
2015-10-16,42.85841,47.495403,24.1
2015-10-19,43.584,48.607368,24.68
2015-10-20,43.917374,48.491341,24.57
2015-10-21,43.446724,47.804821,24.26
2015-10-22,45.093994,49.129509,24.620001
2015-10-23,44.780224,49.313221,24.969999
2015-10-26,45.564648,49.622643,26.209999
2015-10-27,45.554832,49.187527,25.360001
2015-10-28,44.96653,48.481667,24.639999
2015-10-29,44.96653,48.829762,24.93
2015-10-30,45.319515,49.15852,24.84
2015-11-02,45.564648,49.023144,25.719999
2015-11-03,45.692379,49.313221,25.41
2015-11-04,44.837498,49.114471,25.030001
2015-11-05,44.808014,48.998138,25.74
2015-11-06,44.552528,49.638004,26.09
2015-11-09,43.874516,49.0854,25.75
2015-11-10,43.717297,48.765457,26.34
2015-11-11,43.619026,48.455223,26.360001
2015-11-12,43.137539,48.455223,25.76
2015-11-13,42.695358,47.49543,25.200001
2015-11-16,42.086124,46.467766,25.02
2015-11-17,41.565327,46.312645,24.950001
2015-11-18,41.024883,46.293255,25.469999
2015-11-19,41.565327,47.030071,25.67
2015-11-20,41.467064,47.272442,25.85
2015-11-23,41.565327,47.253056,25.790001
2015-11-24,40.513905,45.798817,25.34
2015-11-25,40.592525,45.440098,25.08
2015-11-27,40.965919,45.701866,25.219999
2015-11-30,40.543396,45.042606,24.74
2015-12-01,42.508656,46.215691,25.540001
2015-12-02,43.058929,46.855568,25.59
2015-12-03,42.518482,46.748913,24.700001
2015-12-04,44.188957,48.261326,25.48
2015-12-07,44.984886,50.200306,26.49
2015-12-08,43.776249,48.736382,26.1
2015-12-09,42.891888,47.999557,25.33
2015-12-10,43.324242,49.715561,25.440001
2015-12-11,41.358974,47.776581,23.440001
2015-12-14,41.044529,48.64912,23.120001
2015-12-15,41.860119,49.589527,23.200001
2015-12-16,42.449699,50.529934,23.18
2015-12-17,41.722546,49.473186,22.75
2015-12-18,40.376347,48.435833,22.559999
2015-12-21,41.663597,49.890068,23.309999
2015-12-22,42.154907,50.171227,23.370001
2015-12-23,42.538136,50.161533,23.309999
2015-12-24,43.049103,50.665665,23.33
2015-12-28,42.479176,50.36512,23.290001
2015-12-29,42.744488,50.578411,23.42
2015-12-30,42.056644,49.608917,23.01
2015-12-31,41.614456,49.143559,22.65
2016-01-04,40.199471,47.175491,21.879999
2016-01-05,39.816242,47.088234,21.790001
2016-01-06,40.513905,47.437256,21.85
2016-01-07,39.747463,45.566139,20.780001
2016-01-08,39.66885,45.188038,20.280001
2016-01-11,40.36652,45.314072,20.49
2016-01-12,41.270538,45.527355,20.879999
2016-01-13,39.403534,43.568981,19.99
2016-01-14,39.845722,43.956779,20.68
2016-01-15,38.086807,43.142406,20.690001
2016-01-19,38.185081,44.557861,20.26
2016-01-20,38.381603,44.296097,20.83
2016-01-21,39.098927,45.10078,20.82
2016-01-22,39.462498,45.333454,21.51
2016-01-25,38.204727,44.538479,21.57
2016-01-26,38.951527,44.703289,21.58
2016-01-27,39.000656,43.355694,21.25
2016-01-28,37.477581,41.882065,19.92
2016-01-29,38.312824,42.938812,21.309999
2016-02-01,38.696045,43.830746,22.379999
2016-02-02,36.386856,42.279552,21.290001
2016-02-03,36.858521,42.463757,20.84
2016-02-04,37.54636,42.696438,20.76
2016-02-05,36.111725,40.728363,19.700001
2016-02-08,35.027874,39.526196,19.34
2016-02-09,35.658474,40.699287,20.08
2016-02-10,36.57481,41.949932,20.129999
2016-02-11,35.954079,41.397324,20.49
2016-02-12,37.264534,41.810661,21.25
2016-02-16,38.042934,43.357044,21.440001
2016-02-17,38.762215,44.835342,21.48
2016-02-18,38.959278,45.185471,21.299999
2016-02-19,39.176041,45.438335,21.360001
2016-02-22,40.240181,47.480728,22.389999
2016-02-23,39.786945,47.607159,22.530001
2016-02-24,40.062824,47.597439,23.370001
2016-02-25,40.752544,47.850304,23.200001
2016-02-26,40.269737,46.547066,22.299999
2016-02-29,40.397831,46.916637,22.0
2016-03-01,41.215641,47.558537,22.299999
2016-03-02,40.979172,47.218132,22.4
2016-03-03,41.264908,47.451553,22.25
2016-03-04,41.018581,47.334839,21.98
2016-03-07,41.511234,47.062519,21.9
2016-03-08,40.171211,44.952053,19.91
2016-03-09,41.038288,45.457787,20.09
2016-03-10,41.018581,45.710655,20.0
2016-03-11,41.846245,46.381721,20.16
2016-03-14,41.964481,46.576237,20.110001
2016-03-15,41.491531,46.449806,20.26
2016-03-16,41.688595,47.432098,20.26
2016-03-17,41.481674,47.286217,19.870001
2016-03-18,42.801994,48.676983,20.309999
2016-03-21,42.831554,48.745064,20.17
2016-03-22,42.131981,48.035091,20.129999
2016-03-23,41.304314,47.568253,20.57
2016-03-24,39.905178,46.527607,20.24
2016-03-28,40.309151,46.877735,20.790001
2016-03-29,40.742691,47.782227,21.040001
2016-03-30,40.772251,47.976742,21.280001
2016-03-31,40.407681,47.344566,21.120001
