Date,AAL,DAL,JBLU,LUV
2011-08-05,5.350885,6.60439,4.18,8.112608
2011-08-08,4.817736,6.272749,4.02,7.739066
2011-08-09,5.612615,6.708621,4.32,8.083874
2011-08-10,5.157014,6.329602,3.87,7.825265
2011-08-11,5.312112,6.60439,4.17,7.940205
2011-08-12,5.360579,6.60439,4.09,7.959359
2011-08-15,5.699857,6.93603,4.46,8.141343
2011-08-16,5.787099,7.258197,4.41,8.170074
2011-08-17,5.515678,7.390853,4.4,8.112608
2011-08-18,5.186094,7.002359,4.14,7.700753
2011-08-19,4.982528,6.831801,4.13,7.557081
2011-08-22,4.953448,6.841276,4.0,7.518769
2011-08-23,5.166707,6.879179,4.12,7.676909
2011-08-24,5.137625,6.869702,4.28,7.868593
2011-08-25,4.924365,6.471733,3.97,7.782334
2011-08-26,5.098852,6.746521,4.07,7.859007
2011-08-29,5.379967,7.106588,4.36,8.319046
2011-08-30,5.350885,7.21082,4.37,8.184869
2011-08-31,5.418742,7.135015,4.35,8.261541
2011-09-01,5.127932,7.030785,4.2,8.079445
2011-09-02,5.060077,6.888653,4.08,7.906927
2011-09-06,4.885592,6.755997,4.05,7.724828
2011-09-07,5.050383,7.078162,4.17,8.002769
2011-09-08,4.982528,6.926556,4.05,7.791919
2011-09-09,4.866204,6.803375,4.01,7.724828
2011-09-12,4.701413,6.992884,4.16,7.628987
2011-09-13,5.46721,7.570888,4.36,7.964434
2011-09-14,5.564147,7.949905,4.4,8.146531
2011-09-15,5.680469,8.016232,4.5,8.242374
2011-09-16,5.728938,7.959379,4.5,8.596984
2011-09-19,5.622307,7.874101,4.45,8.30946
2011-09-20,5.787099,7.930954,4.35,8.136948
2011-09-21,5.670776,7.580362,4.16,7.954849
2011-09-22,5.554451,7.182394,4.11,7.696074
2011-09-23,5.942198,7.741446,4.2,8.031524
2011-09-26,6.233007,7.864625,4.42,8.347799
2011-09-27,5.922811,7.71302,4.23,8.175282
2011-09-28,5.932504,7.684592,4.1,8.175282
2011-09-29,5.913116,7.532985,4.26,8.271126
2011-09-30,5.331499,7.106588,4.09,7.70566
2011-10-03,4.488152,6.301176,3.49,7.044353
2011-10-04,4.846817,6.907605,3.77,7.188117
2011-10-05,5.011609,7.040261,3.79,7.255205
2011-10-06,5.186094,7.371902,3.86,7.533146
2011-10-07,5.050383,7.390853,3.87,7.370216
2011-10-10,5.166707,7.62774,4.0,7.63857
2011-10-11,5.661083,7.779346,4.28,7.811086
2011-10-12,6.039135,7.978331,4.52,7.9836
2011-10-13,6.106989,8.224693,4.57,8.251957
2011-10-14,5.854954,8.120463,4.59,8.251957
2011-10-17,5.670776,7.959379,4.45,8.251957
2011-10-18,5.835567,8.253119,4.63,8.453223
2011-10-19,5.583533,8.054134,4.32,8.347799
2011-10-20,5.825874,8.243644,4.36,8.721581
2011-10-21,5.690163,8.205742,4.32,8.501145
2011-10-24,5.767712,8.433152,4.55,8.683247
2011-10-25,5.428434,7.997282,4.36,8.357384
2011-10-26,5.486597,8.110988,4.42,8.271126
2011-10-27,5.651388,8.18679,4.66,8.481978
2011-10-28,5.758018,8.06361,4.55,8.414887
2011-10-31,5.593227,8.073085,4.48,8.194453
2011-11-01,5.331499,7.893052,4.3,8.108193
2011-11-02,5.118239,7.817249,4.29,8.127362
2011-11-03,5.438128,7.864625,4.45,8.232791
2011-11-04,5.331499,7.912002,4.39,8.175282
2011-11-07,5.22487,7.874101,4.29,8.069859
2011-11-08,5.050383,7.76987,4.33,8.117781
2011-11-09,4.895285,7.580362,4.12,7.830254
2011-11-10,4.701413,7.220294,4.11,7.77275
2011-11-11,4.85651,7.532985,4.12,7.868593
2011-11-14,4.827429,7.637216,4.02,7.849422
2011-11-15,4.633556,7.580362,3.96,7.859007
2011-11-16,4.362135,7.182394,3.85,7.715245
2011-11-17,4.265199,6.89813,3.7,7.456473
2011-11-18,4.284586,6.973932,3.7,7.485225
2011-11-21,4.119794,6.831801,3.59,7.408551
2011-11-22,3.925922,6.89813,3.49,7.331878
2011-11-23,3.877453,6.746521,3.4,7.092275
2011-11-25,3.896841,6.746521,3.48,7.188117
2011-11-28,4.139181,7.040261,3.68,7.542729
2011-11-29,4.323361,7.390853,4.06,7.600235
2011-11-30,4.575395,7.694067,4.12,8.031524
2011-12-01,4.788655,8.073085,4.3,7.9836
2011-12-02,4.691719,7.968855,4.44,7.935681
2011-12-05,4.96314,8.158363,4.7,8.117781
2011-12-06,5.089158,8.025709,4.71,8.189705
2011-12-07,5.418742,8.110988,4.95,8.228066
2011-12-08,5.176402,7.75092,4.75,7.930779
2011-12-09,5.447823,8.054134,5.05,8.093804
2011-12-12,5.457516,8.054134,5.09,8.084214
2011-12-13,5.030997,7.570888,4.92,7.825289
2011-12-14,5.418742,7.722493,5.12,7.834881
2011-12-15,5.535066,8.139415,5.26,8.074624
2011-12-16,5.990666,8.546858,5.57,8.352731
2011-12-19,5.651388,8.06361,5.17,7.959547
2011-12-20,5.758018,8.177316,5.34,8.132164
2011-12-21,5.593227,8.025709,5.37,8.026676
2011-12-22,5.525371,7.921477,5.29,8.055445
2011-12-23,5.447823,7.893052,5.34,8.228066
2011-12-27,5.234562,7.75092,5.32,8.160934
2011-12-28,5.030997,7.694067,5.16,8.055445
2011-12-29,5.06977,7.665642,5.26,8.247242
2011-12-30,4.914673,7.665642,5.2,8.208885
2012-01-03,4.96314,7.618264,5.12,8.065034
2012-01-04,4.875898,7.589838,5.23,8.247242
2012-01-05,5.302417,7.893052,5.42,8.266421
2012-01-06,5.428434,7.883575,5.45,8.170523
2012-01-09,5.544758,7.845675,5.53,8.237653
2012-01-10,5.544758,7.836201,5.92,8.352731
2012-01-11,5.728938,8.158363,5.68,8.515756
2012-01-12,5.86465,8.404727,5.58,8.602065
2012-01-13,5.787099,8.385777,5.49,8.477398
2012-01-17,5.699857,8.272069,5.26,8.573297
2012-01-18,5.854954,8.452104,5.38,8.650012
2012-01-19,6.068215,8.840596,5.54,8.918529
2012-01-20,6.174844,8.916402,5.44,9.014427
2012-01-23,6.068215,8.802696,5.42,8.899348
2012-01-24,6.213619,8.887974,5.5,8.784272
2012-01-25,7.289613,9.437551,5.57,9.119916
2012-01-26,7.609502,9.636536,5.8,8.995248
2012-01-27,7.929394,9.844995,5.81,9.225405
2012-01-30,8.258977,10.205064,5.92,8.995248
2012-01-31,8.181427,9.996604,5.92,9.187042
2012-02-01,8.627335,10.328243,6.07,9.340479
2012-02-02,8.840594,10.517752,6.09,9.35007
2012-02-03,9.344664,10.70726,6.23,9.628176
2012-02-06,8.869674,10.413523,6.14,9.35007
2012-02-07,8.956917,10.394571,5.95,9.244584
2012-02-08,8.821207,10.413523,5.98,9.234993
2012-02-09,8.685496,10.536703,5.94,9.378838
2012-02-10,8.578866,10.318769,5.86,9.225405
2012-02-13,8.898759,10.565128,5.92,9.321301
2012-02-14,8.72427,10.366145,5.86,9.196633
2012-02-15,8.617639,10.261913,5.83,9.139096
2012-02-16,8.821207,10.35667,5.92,9.196633
2012-02-17,8.627335,10.261913,5.81,9.043194
2012-02-21,7.648277,9.522829,5.3,8.726735
2012-02-22,7.464097,9.409124,5.14,8.650012
2012-02-23,7.037578,9.181713,5.02,8.506165
2012-02-24,6.775849,9.030105,4.81,8.323959
2012-02-27,6.785543,9.153286,5.16,8.458219
2012-02-28,7.182983,9.380698,5.19,8.587755
2012-02-29,7.182983,9.29542,5.1,8.616541
2012-03-01,7.182983,9.134336,5.19,8.520586
2012-03-02,7.396242,9.257519,5.11,8.59735
2012-03-05,6.775849,9.162762,5.01,8.386255
2012-03-06,6.66922,8.869024,4.96,8.251921
2012-03-07,6.698301,8.8785,4.99,8.146372
2012-03-08,6.746769,8.973253,4.99,8.155967
2012-03-09,6.814625,8.8785,4.98,8.136777
2012-03-12,6.678914,8.70794,4.91,7.94487
2012-03-13,6.746769,8.821647,5.08,8.069609
2012-03-14,6.872787,8.812171,5.07,7.84892
2012-03-15,7.347775,9.12486,5.37,8.107992
2012-03-16,6.930948,8.726892,5.15,7.973656
2012-03-19,6.969723,8.821647,5.16,8.069609
2012-03-20,7.444711,9.030105,5.19,8.050419
2012-03-21,7.396242,9.229092,5.13,7.983252
2012-03-22,7.105433,9.030105,5.07,7.858513
2012-03-23,7.318694,9.115387,5.1,7.896894
2012-03-26,7.493179,9.361748,5.21,8.012037
2012-03-27,7.328388,9.29542,5.07,7.896894
2012-03-28,7.551341,9.475452,5.22,8.021635
2012-03-29,7.648277,9.54178,5.0,8.060015
2012-03-30,7.357468,9.39965,4.89,7.906492
2012-04-02,7.241143,9.484927,4.85,7.925684
2012-04-03,7.502873,9.778666,4.91,7.86811
2012-04-04,7.619196,9.930273,4.89,8.040824
2012-04-05,7.541647,9.826046,4.84,7.973656
2012-04-09,7.512568,9.750239,4.78,7.887299
2012-04-10,7.241143,9.29542,4.61,7.589846
2012-04-11,7.386549,9.390174,4.71,7.628228
2012-04-12,7.648277,9.721813,4.93,7.810537
2012-04-13,7.599808,9.598633,4.78,7.618633
2012-04-16,7.880925,9.712338,4.84,7.666609
2012-04-17,7.929394,9.892373,4.89,7.752967
2012-04-18,7.948779,9.977652,4.75,7.570657
2012-04-19,9.218647,10.252439,4.84,7.896894
2012-04-20,9.053855,10.186112,4.78,7.589846
2012-04-23,8.753351,9.844995,4.62,7.561062
2012-04-24,9.024775,9.930273,4.66,7.695395
