Date,MSFT,PCLN
2016-09-15,55.844593,1457.219971
2016-09-16,55.903187,1460.050049
2016-09-19,55.59071,1448.060059
2016-09-20,55.473537,1449.0
2016-09-21,56.401176,1464.0
2016-09-22,56.45977,1465.869995
2016-09-23,56.078945,1456.76001
2016-09-26,55.561417,1447.150024
2016-09-27,56.586712,1453.48999
2016-09-28,56.664833,1458.030029
2016-09-29,56.049652,1472.97998
2016-09-30,56.244946,1471.48999
2016-10-03,56.069183,1486.719971
2016-10-04,55.893414,1489.02002
2016-10-05,56.284008,1497.579956
2016-10-06,56.38166,1490.439941
2016-10-07,56.440243,1479.819946
2016-10-10,56.674595,1475.180054
2016-10-11,55.844593,1459.02002
2016-10-12,55.766476,1454.839966
2016-10-13,55.58094,1442.52002
2016-10-14,56.069183,1439.569946
2016-10-17,55.87389,1437.650024
2016-10-18,56.303535,1454.969971
2016-10-19,56.176594,1469.199951
2016-10-20,55.903187,1468.290039
2016-10-21,58.256485,1467.390015
2016-10-24,59.564964,1471.800049
2016-10-25,59.555199,1479.030029
2016-10-26,59.203667,1469.160034
2016-10-27,58.686134,1463.02002
2016-10-28,58.461548,1474.819946
2016-10-31,58.510365,1474.22998
2016-11-01,58.393192,1467.0
2016-11-02,58.031898,1445.329956
2016-11-03,57.81707,1438.099976
2016-11-04,57.328835,1424.280029
2016-11-07,58.998608,1480.329956
2016-11-08,59.047428,1578.130005
2016-11-09,58.754486,1570.26001
2016-11-10,57.319069,1554.319946
2016-11-11,57.631542,1540.650024
2016-11-14,56.752712,1489.180054
2016-11-15,57.873413,1497.449951
2016-11-16,58.640213,1503.22998
2016-11-17,59.613453,1512.900024
2016-11-18,59.328362,1507.349976
2016-11-21,59.829727,1524.180054
2016-11-22,60.085323,1535.420044
2016-11-23,59.377514,1520.98999
2016-11-25,59.50531,1521.680054
2016-11-28,59.583958,1525.069946
2016-11-29,60.055836,1520.27002
2016-11-30,59.239883,1503.680054
2016-12-01,58.197826,1479.660034
2016-12-02,58.246979,1473.0
2016-12-05,59.200565,1499.76001
2016-12-06,58.935135,1504.819946
2016-12-07,60.331097,1527.040039
2016-12-08,59.977184,1548.670044
2016-12-09,60.92094,1557.97998
2016-12-12,61.11755,1536.780029
2016-12-13,61.913837,1540.109985
2016-12-14,61.618916,1528.449951
2016-12-15,61.520611,1501.199951
2016-12-16,61.24535,1484.280029
2016-12-19,62.543003,1488.829956
2016-12-20,62.464359,1502.25
2016-12-21,62.464359,1505.76001
2016-12-22,62.474186,1481.339966
2016-12-23,62.169441,1486.199951
2016-12-27,62.208755,1493.420044
2016-12-28,61.923668,1480.459961
2016-12-29,61.835197,1480.160034
2016-12-30,61.088055,1466.060059
2017-01-03,61.520611,1477.569946
2017-01-04,61.24535,1487.290039
2017-01-05,61.24535,1503.699951
2017-01-06,61.776207,1520.569946
2017-01-09,61.579594,1529.640015
2017-01-10,61.559933,1535.25
2017-01-11,62.120285,1536.109985
2017-01-12,61.550102,1538.589966
2017-01-13,61.63858,1545.819946
2017-01-17,61.471455,1540.130005
2017-01-18,61.441967,1541.859985
2017-01-19,61.24535,1539.02002
2017-01-20,61.677898,1545.01001
2017-01-23,61.894176,1554.98999
2017-01-24,62.444698,1563.329956
2017-01-25,62.601986,1578.819946
2017-01-26,63.181995,1581.439941
2017-01-27,64.666435,1602.920044
2017-01-30,64.027435,1602.310059
2017-01-31,63.555569,1575.130005
2017-02-01,62.503681,1575.310059
2017-02-02,62.10062,1574.089966
2017-02-03,62.601986,1583.380005
2017-02-06,62.562668,1587.180054
2017-02-07,62.35622,1598.699951
2017-02-08,62.267746,1601.189941
2017-02-09,62.975552,1611.829956
2017-02-10,62.916569,1646.51001
2017-02-13,63.624386,1646.180054
2017-02-14,63.861748,1637.290039
2017-02-15,63.822189,1648.959961
2017-02-16,63.812298,1648.880005
2017-02-17,63.911205,1637.400024
2017-02-21,63.782627,1647.0
2017-02-22,63.654053,1651.73999
2017-02-23,63.911205,1637.26001
2017-02-24,63.911205,1631.619995
2017-02-27,63.525482,1632.01001
2017-02-28,63.278221,1724.130005
2017-03-01,64.227699,1733.180054
2017-03-02,63.307896,1734.369995
2017-03-03,63.545258,1735.099976
2017-03-06,63.565041,1730.209961
2017-03-07,63.693615,1736.459961
2017-03-08,64.277138,1743.48999
2017-03-09,64.020004,1749.420044
2017-03-10,64.217804,1754.23999
2017-03-13,64.000214,1767.119995
2017-03-14,63.70351,1769.0
2017-03-15,64.03978,1767.97998
2017-03-16,63.930984,1773.97998
2017-03-17,64.158463,1772.630005
2017-03-20,64.217804,1765.439941
2017-03-21,63.505699,1747.140015
2017-03-22,64.316704,1751.98999
2017-03-23,64.158463,1748.329956
2017-03-24,64.267258,1753.109985
2017-03-27,64.385933,1772.0
2017-03-28,64.573853,1788.449951
2017-03-29,64.751884,1785.050049
2017-03-30,64.98925,1789.199951
2017-03-31,65.137604,1779.969971
2017-04-03,64.831001,1773.98999
2017-04-04,65.009033,1767.380005
2017-04-05,64.840889,1761.77002
2017-04-06,65.009033,1773.52002
2017-04-07,64.959579,1769.560059
2017-04-10,64.811218,1775.969971
2017-04-11,64.761772,1768.400024
2017-04-12,64.514511,1750.01001
2017-04-13,64.237579,1738.77002
2017-04-17,64.761772,1770.609985
2017-04-18,64.67276,1763.310059
2017-04-19,64.326599,1763.199951
2017-04-20,64.781548,1760.800049
2017-04-21,65.671677,1752.01001
2017-04-24,66.789284,1798.619995
2017-04-25,67.175003,1799.089966
2017-04-26,67.085999,1804.119995
2017-04-27,67.521164,1835.869995
2017-04-28,67.709076,1846.819946
2017-05-01,68.648666,1869.920044
2017-05-02,68.539871,1880.52002
2017-05-03,68.322281,1876.790039
2017-05-04,68.055244,1910.410034
2017-05-05,68.243156,1903.650024
2017-05-08,68.183823,1903.910034
2017-05-09,68.282722,1911.130005
2017-05-10,68.549751,1824.77002
2017-05-11,67.709076,1813.560059
2017-05-12,67.629959,1818.180054
2017-05-15,67.679413,1813.810059
2017-05-16,69.04216,1829.800049
2017-05-17,67.122383,1795.689941
2017-05-18,67.351158,1796.030029
2017-05-19,67.331268,1808.280029
2017-05-22,68.087234,1828.420044
2017-05-23,68.316025,1827.939941
2017-05-24,68.40554,1848.73999
2017-05-25,69.251045,1860.430054
2017-05-26,69.589233,1863.900024
2017-05-30,70.036858,1857.449951
2017-05-31,69.469872,1877.089966
2017-06-01,69.728493,1890.819946
2017-06-02,71.3797,1895.959961
2017-06-05,71.896942,1891.579956
2017-06-06,72.135666,1889.859985
2017-06-07,72.006363,1890.369995
2017-06-08,71.568687,1892.380005
2017-06-09,69.947327,1842.119995
2017-06-12,69.410194,1812.98999
2017-06-13,70.275581,1843.52002
2017-06-14,69.897591,1831.609985
2017-06-15,69.529556,1809.199951
2017-06-16,69.629028,1802.609985
2017-06-19,70.494415,1851.599976
2017-06-20,69.539505,1850.640015
2017-06-21,69.897591,1867.780029
2017-06-22,69.88765,1862.930054
2017-06-23,70.832611,1874.280029
2017-06-26,70.156219,1876.339966
2017-06-27,68.843208,1858.25
2017-06-28,69.430092,1890.209961
2017-06-29,68.127029,1876.98999
2017-06-30,68.564697,1870.52002
2017-07-03,67.808723,1843.130005
2017-07-05,68.713905,1866.01001
2017-07-06,68.206604,1872.300049
2017-07-07,69.091888,1918.5
2017-07-10,69.609138,1921.819946
2017-07-11,69.61908,1929.150024
2017-07-12,70.772934,1946.180054
2017-07-13,71.389641,1940.699951
2017-07-14,72.394295,1950.869995
2017-07-17,72.961273,1945.459961
2017-07-18,72.911537,1976.23999
2017-07-19,73.468567,1992.099976
2017-07-20,73.82666,1999.219971
2017-07-21,73.398941,1994.890015
2017-07-24,73.209946,2002.01001
2017-07-25,73.796822,2016.910034
2017-07-26,73.657562,2033.209961
2017-07-27,72.772285,2025.089966
2017-07-28,72.652916,2024.060059
2017-07-31,72.314713,2028.5
2017-08-01,72.195358,2024.589966
2017-08-02,71.877052,2021.369995
2017-08-03,71.767632,2027.97998
2017-08-04,72.294823,2032.77002
2017-08-07,72.016312,2042.640015
2017-08-08,72.404243,2049.0
2017-08-09,72.085938,1906.800049
2017-08-10,71.031555,1849.619995
2017-08-11,72.115776,1854.170044
2017-08-14,73.199997,1873.949951
2017-08-15,73.220001,1860.839966
2017-08-16,73.650002,1855.719971
2017-08-17,72.400002,1812.969971
2017-08-18,72.489998,1810.0
2017-08-21,72.150002,1801.540039
2017-08-22,73.160004,1818.199951
2017-08-23,72.720001,1813.02002
2017-08-24,72.690002,1815.51001
2017-08-25,72.82,1793.47998
2017-08-28,72.830002,1789.910034
2017-08-29,73.050003,1807.060059
2017-08-30,74.010002,1813.0
2017-08-31,74.769997,1852.079956
2017-09-01,73.940002,1850.819946
2017-09-05,73.610001,1842.890015
2017-09-06,73.400002,1842.449951
2017-09-07,74.339996,1845.369995
