,Adj Close,Close,Date,Ticker
203,135.160004,135.160004,2017-10-04,ACN
204,147.949997,147.949997,2017-10-04,ADBE
205,87.0,87.0,2017-10-04,ADI
206,43.029999,43.029999,2017-10-04,ADM
207,111.400002,111.400002,2017-10-04,ADP
208,225.710007,225.710007,2017-10-04,ADS
209,114.050003,114.050003,2017-10-04,ADSK
210,58.549999,58.549999,2017-10-04,AEE
211,71.519997,71.519997,2017-10-04,AEP
212,11.28,11.28,2017-10-04,AES
213,163.210007,163.210007,2017-10-04,AET
214,82.120003,82.120003,2017-10-04,AFL
215,208.389999,208.389999,2017-10-04,AGN
216,61.580002,61.580002,2017-10-04,AIG
217,44.450001,44.450001,2017-10-04,AIV
218,95.290001,95.290001,2017-10-04,AIZ
219,61.599998,61.599998,2017-10-04,AJG
220,50.5,50.5,2017-10-04,AKAM
221,138.220001,138.220001,2017-10-04,ALB
222,185.979996,185.979996,2017-10-04,ALGN
223,80.839996,80.839996,2017-10-04,ALK
224,92.860001,92.860001,2017-10-04,ALL
225,86.730003,86.730003,2017-10-04,ALLE
226,141.929993,141.929993,2017-10-04,ALXN
227,51.599998,51.599998,2017-10-04,AMAT
228,13.31,13.31,2017-10-04,AMD
229,66.949997,66.949997,2017-10-04,AME
230,195.080002,195.080002,2017-10-04,AMG
231,188.589996,188.589996,2017-10-04,AMGN
232,149.869995,149.869995,2017-10-04,AMP
233,138.839996,138.839996,2017-10-04,AMT
234,965.450012,965.450012,2017-10-04,AMZN
235,105.120003,105.120003,2017-10-04,ANDV
236,124.550003,124.550003,2017-10-04,ANSS
237,193.419998,193.419998,2017-10-04,ANTM
238,146.649994,146.649994,2017-10-04,AON
239,60.860001,60.860001,2017-10-04,AOS
240,45.139999,45.139999,2017-10-04,APA
241,49.419998,49.419998,2017-10-04,APC
242,151.95253,152.899994,2017-10-04,APD
243,85.760002,85.760002,2017-10-04,APH
244,120.010002,120.010002,2017-10-04,ARE
245,26.77,26.77,2017-10-04,ARNC
246,62.630001,62.630001,2017-10-04,ATVI
247,180.0,180.0,2017-10-04,AVB
248,242.0,242.0,2017-10-04,AVGO
249,99.709999,99.709999,2017-10-04,AVY
250,82.510002,82.510002,2017-10-04,AWK
251,90.660004,91.010002,2017-10-04,AXP
252,178.330002,178.330002,2017-10-04,AYI
253,595.23999,595.23999,2017-10-04,AZO
254,255.759995,255.759995,2017-10-04,BA
255,25.709999,25.709999,2017-10-04,BAC
256,62.900002,62.900002,2017-10-04,BAX
257,46.369999,46.369999,2017-10-04,BBT
258,57.150002,57.150002,2017-10-04,BBY
259,320.059998,320.059998,2017-10-04,BCR
260,195.0,195.0,2017-10-04,BDX
261,44.869999,44.869999,2017-10-04,BEN
262,59.48,59.48,2017-10-04,BHF
263,36.709999,36.709999,2017-10-04,BHGE
264,314.920013,314.920013,2017-10-04,BIIB
265,53.799999,53.799999,2017-10-04,BK
266,457.910004,457.910004,2017-10-04,BLK
267,41.759998,41.759998,2017-10-04,BLL
268,64.349998,64.739998,2017-10-04,BMY
269,29.24,29.24,2017-10-04,BSX
270,52.450001,52.450001,2017-10-04,BWA
271,123.699997,123.699997,2017-10-04,BXP
272,74.059998,74.059998,2017-10-04,C
273,33.66,33.66,2017-10-04,CA
274,33.959999,33.959999,2017-10-04,CAG
275,67.519997,67.519997,2017-10-04,CAH
276,126.739998,126.739998,2017-10-04,CAT
277,144.75,144.75,2017-10-04,CB
278,38.630001,38.630001,2017-10-04,CBG
279,109.339996,109.339996,2017-10-04,CBOE
280,59.970001,59.970001,2017-10-04,CBS
281,101.889999,101.889999,2017-10-04,CCI
282,65.190002,65.190002,2017-10-04,CCL
283,40.25,40.25,2017-10-04,CDNS
284,146.520004,146.520004,2017-10-04,CELG
285,71.790001,71.790001,2017-10-04,CERN
286,35.099998,35.099998,2017-10-04,CF
287,36.57,36.57,2017-10-04,CFG
288,47.639999,47.639999,2017-10-04,CHD
289,4.27,4.27,2017-10-04,CHK
290,75.019997,75.019997,2017-10-04,CHRW
291,108.82,108.82,2017-10-04,MAR
292,119.209999,119.75,2017-10-04,MON
293,35.23,35.23,2017-10-04,NOV
294,65.150002,65.150002,2017-10-03,A
295,50.509998,50.509998,2017-10-03,AAL
