,lsxma,chtr,lyb,sbac,adsk,cmcsa,avgo,dspg,px,pcln,low,goog,lbrdk,mar,mpc,mgm,fb,bud,unp,dltr,crc,wlk,aap,stz
low,1.30125986506e-05,3.4578632613e-05,5.03552440122e-05,6.41817511509e-06,5.34206978297e-05,3.00677152914e-05,1.80790812037e-05,7.20153163648e-05,3.64120501034e-05,7.08580293327e-06,0.00020681178735,1.35740302682e-05,2.76719631877e-05,4.44638216701e-05,5.33613040025e-05,2.64812450901e-05,1.77473190318e-05,2.77040890581e-05,4.77492822736e-05,6.5247118795e-05,0.000129726590355,8.74378250212e-05,0.000138392431383,1.2570740452e-05
goog,2.89168271167e-05,1.46665945015e-05,2.879747167e-06,1.17837239792e-06,7.88691788858e-05,1.9907123655e-05,8.13025670748e-05,2.84624436042e-05,2.17976582042e-05,5.89901156742e-05,1.35740302682e-05,0.00010000204551,2.04841408655e-05,3.91200156962e-05,1.81605488596e-05,6.59500995768e-05,7.14261112983e-05,2.19866239146e-05,2.88399768708e-05,-6.27449362102e-08,-5.93479204471e-06,1.66588899856e-05,-2.7856008646e-05,9.12770557569e-06
lbrdk,6.32064354988e-05,0.000154635883942,4.43996121032e-05,7.84105590733e-06,3.83930598671e-05,7.98436098986e-05,4.37111139753e-05,2.70192122933e-05,1.81695016649e-05,2.08109333758e-05,2.76719631877e-05,2.04841408655e-05,0.00013925758512,3.40000294892e-05,1.65092189108e-05,3.76255424305e-05,4.07667733717e-05,2.94099287084e-05,2.54744805958e-05,2.72982207968e-05,5.95735019938e-05,4.04207461708e-05,4.19836254653e-05,1.05526202055e-05
mar,4.85142398952e-05,3.87291805382e-05,3.76565077628e-05,-4.20349085214e-06,9.01252334363e-05,4.18341653562e-05,6.8235103887e-05,4.16670855048e-05,3.02413560024e-05,5.01573722996e-05,4.44638216701e-05,3.91200156962e-05,3.40000294892e-05,0.000144961639221,4.5834443378e-05,6.10183584055e-05,4.89190577234e-05,2.50129512258e-05,3.72057489059e-05,3.36845386732e-05,3.7635146247e-05,4.48252039493e-05,2.21058570542e-05,-4.1574199413e-07
mpc,4.47545423875e-05,1.42214414391e-05,7.4412042207e-05,8.40727729029e-06,5.982794431e-05,3.3436769556e-05,3.15408365054e-05,5.69552349335e-05,5.08400828217e-05,3.56747518726e-05,5.33613040025e-05,1.81605488596e-05,1.65092189108e-05,4.5834443378e-05,0.000195868734094,4.94818276746e-05,2.3466175731e-05,1.32025322647e-05,4.7309455486e-05,4.86216601694e-05,0.000261848873782,0.000109147831504,3.44869837939e-05,2.53845419158e-06
mgm,3.39724014109e-05,4.2282041821e-05,5.28769881722e-05,-8.40802278805e-06,9.82003267602e-05,4.54062481856e-05,7.16108529184e-05,4.82487646263e-05,4.47039681347e-05,6.23170149821e-05,2.64812450901e-05,6.59500995768e-05,3.76255424305e-05,6.10183584055e-05,4.94818276746e-05,0.000221043890849,6.42281085131e-05,2.64649073832e-05,5.11502643147e-05,3.32553595853e-05,0.000150228135791,5.2163215953e-05,-4.38826574805e-05,2.39105735972e-05
fb,5.8227686423e-05,4.00186376709e-05,2.10186590269e-05,-2.77472291871e-06,7.26613287899e-05,2.7987851793e-05,8.95158311175e-05,3.40089518304e-05,1.82569668896e-05,5.83665052097e-05,1.77473190318e-05,7.14261112983e-05,4.07667733717e-05,4.89190577234e-05,2.3466175731e-05,6.42281085131e-05,9.57015148134e-05,2.74320872766e-05,2.87386226151e-05,1.04408325394e-05,1.98496068366e-05,3.54320086071e-05,-2.01924186817e-05,1.18736242322e-05
bud,4.34345057103e-05,3.16015546054e-05,1.83628682296e-05,8.63018929974e-06,2.76121232527e-05,-1.28627172484e-06,1.63535900869e-05,3.56143183567e-05,1.99337845369e-05,3.61706066328e-05,2.77040890581e-05,2.19866239146e-05,2.94099287084e-05,2.50129512258e-05,1.32025322647e-05,2.64649073832e-05,2.74320872766e-05,0.000135900518199,1.95419857655e-07,2.42483927392e-05,1.37566742958e-05,9.51459275449e-06,2.05759768129e-05,2.12223058151e-05
unp,1.93678705763e-05,2.26299710235e-05,7.15422207143e-05,3.76480384609e-06,4.9437671536e-05,3.3988187774e-05,5.72593116965e-05,4.48127203797e-05,4.84894632148e-05,2.46555635186e-05,4.77492822736e-05,2.88399768708e-05,2.54744805958e-05,3.72057489059e-05,4.7309455486e-05,5.11502643147e-05,2.87386226151e-05,1.95419857655e-07,0.000109764036445,2.51055020571e-05,0.00013706123961,7.08963513013e-05,2.05419734716e-05,7.42295681938e-07
dltr,2.45993005803e-05,1.90738633599e-05,3.47395302845e-05,1.42425319319e-05,4.27644420085e-05,2.01101547941e-05,6.80543377736e-06,5.00755079909e-05,2.64066586256e-05,2.72515340887e-05,6.5247118795e-05,-6.27449362102e-08,2.72982207968e-05,3.36845386732e-05,4.86216601694e-05,3.32553595853e-05,1.04408325394e-05,2.42483927392e-05,2.51055020571e-05,0.000181067080906,8.39512303544e-05,4.61748460636e-05,0.000129685025867,1.12676597925e-05
crc,0.000101653652598,7.36215907798e-05,0.000267415540873,1.80309679695e-05,0.000151382639597,0.000105787912568,1.58559436565e-05,0.000110239867969,0.000141846762391,-1.65143622162e-05,0.000129726590355,-5.93479204471e-06,5.95735019938e-05,3.7635146247e-05,0.000261848873782,0.000150228135791,1.98496068366e-05,1.37566742958e-05,0.00013706123961,8.39512303544e-05,0.00234225211229,0.000298169541426,0.00018991765191,-3.73149216764e-06
wlk,3.82789254551e-05,4.28469369277e-05,0.000142266793608,9.35945437202e-06,8.71807732778e-05,4.60682231152e-05,7.84580897749e-05,8.95810231485e-05,7.16616146675e-05,1.35273017459e-05,8.74378250212e-05,1.66588899856e-05,4.04207461708e-05,4.48252039493e-05,0.000109147831504,5.2163215953e-05,3.54320086071e-05,9.51459275449e-06,7.08963513013e-05,4.61748460636e-05,0.000298169541426,0.000239183180373,4.77010610547e-05,2.08089745384e-05
aap,3.77198281812e-05,2.58269694346e-05,2.54619287597e-05,2.07618020764e-05,2.0998348931e-05,3.63176504846e-05,-3.27141946469e-05,0.000109181575184,1.50679565347e-05,-1.49419310201e-05,0.000138392431383,-2.7856008646e-05,4.19836254653e-05,2.21058570542e-05,3.44869837939e-05,-4.38826574805e-05,-2.01924186817e-05,2.05759768129e-05,2.05419734716e-05,0.000129685025867,0.00018991765191,4.77010610547e-05,0.000645092388873,-2.35062717917e-06
stz,1.03202047583e-05,9.68709849269e-06,8.37804577862e-06,1.72517926313e-05,3.93893406323e-05,1.0895717269e-05,1.17824190833e-05,4.03965755073e-06,7.01173895228e-06,1.83855791521e-05,1.2570740452e-05,9.12770557569e-06,1.05526202055e-05,-4.1574199413e-07,2.53845419158e-06,2.39105735972e-05,1.18736242322e-05,2.12223058151e-05,7.42295681938e-07,1.12676597925e-05,-3.73149216764e-06,2.08089745384e-05,-2.35062717917e-06,9.18264198042e-05
