Date,AAL,ADM,AES,AGN,ALKS
2017-09-08,43.504742,42.029251,11.084748,232.60527,50.560001
2017-09-11,45.759804,42.445873,11.262737,231.440018,52.439999
2017-09-12,46.188866,42.862495,11.114413,230.27475,53.389999
2017-09-13,46.897312,42.941853,11.104525,225.553909,52.290001
2017-09-14,46.089081,43.100567,11.134191,222.79512,52.330002
2017-09-15,45.899498,43.487431,11.223185,219.398911,52.02
2017-09-18,45.211006,43.73542,11.144078,220.643845,52.02
2017-09-19,44.283039,43.537025,11.203407,214.13031,50.540001
2017-09-20,45.320763,42.971611,11.153966,209.150528,50.66
2017-09-21,46.188866,42.941853,11.005643,201.840225,50.34
2017-09-22,46.957184,43.031128,10.985866,203.822174,50.369999
2017-09-25,47.595787,43.219601,11.084748,210.754028,51.779999
2017-09-26,47.476048,43.170002,11.035307,208.602753,51.459999
2017-09-27,46.747639,42.703781,11.005643,207.457413,51.32
2017-09-28,47.386246,42.406197,10.956201,203.254486,51.82
2017-09-29,47.386246,42.168125,10.896872,204.120956,50.84
