Date,AAL,DAL,JBLU
2015-04-16,48.240002,44.990002,19.559999
2015-04-17,48.189999,44.759998,19.42
2015-04-20,49.759998,45.73,19.57
2015-04-21,51.360001,46.23,19.83
2015-04-22,51.400002,46.529999,19.67
2015-04-23,51.450001,46.43,19.75
2015-04-24,52.709999,46.98,19.889999
2015-04-27,51.869999,46.450001,19.709999
2015-04-28,51.189999,46.200001,21.02
2015-04-29,48.880001,45.029999,20.73
2015-04-30,48.290001,44.639999,20.530001
2015-05-01,49.389999,45.66,21.559999
2015-05-04,48.950001,45.290001,21.58
2015-05-05,47.009998,43.900002,21.4
2015-05-06,47.049999,44.060001,21.17
2015-05-07,49.060001,45.360001,21.49
2015-05-08,49.040001,46.169998,21.76
2015-05-11,49.650002,46.810001,21.83
2015-05-12,48.849998,46.099998,21.709999
2015-05-13,48.490002,46.779999,21.42
2015-05-14,48.82,47.400002,21.48
2015-05-15,48.669998,47.0,21.42
2015-05-18,49.0,47.369999,21.83
2015-05-19,47.849998,46.209999,21.75
2015-05-20,43.060001,43.619999,20.24
2015-05-21,42.470001,43.75,20.18
2015-05-22,42.610001,43.18,20.450001
2015-05-26,41.560001,41.849998,19.559999
2015-05-27,42.240002,42.529999,20.18
2015-05-28,41.970001,42.25,19.92
2015-05-29,42.369999,42.919998,20.16
2015-06-01,44.18,44.349998,20.700001
2015-06-02,43.779999,43.209999,20.6
2015-06-03,43.130001,43.240002,20.719999
2015-06-04,42.169998,42.919998,20.379999
2015-06-05,41.720001,42.900002,20.49
2015-06-08,39.860001,40.75,19.01
2015-06-09,40.330002,40.720001,18.870001
2015-06-10,40.43,41.060001,19.15
2015-06-11,40.02,40.799999,19.27
2015-06-12,40.709999,41.139999,19.52
2015-06-15,40.07,40.700001,19.540001
2015-06-16,39.48,40.57,19.549999
2015-06-17,39.880001,40.799999,19.540001
2015-06-18,39.98,41.349998,19.959999
2015-06-19,41.560001,41.990002,20.23
2015-06-22,43.029999,42.93,21.209999
2015-06-23,42.73,43.099998,21.15
2015-06-24,42.240002,42.66,20.9
2015-06-25,42.240002,42.599998,21.17
2015-06-26,41.439999,42.349998,20.790001
2015-06-29,39.75,41.119999,20.200001
2015-06-30,39.939999,41.080002,20.76
2015-07-01,38.799999,40.27,20.059999
2015-07-02,39.029999,40.0,20.629999
2015-07-06,39.73,40.48,20.75
2015-07-07,40.669998,41.18,21.02
2015-07-08,39.310001,40.169998,20.67
2015-07-09,39.669998,40.549999,20.9
2015-07-10,41.209999,42.459999,21.719999
2015-07-13,42.419998,43.369999,21.99
2015-07-14,42.060001,43.66,22.450001
2015-07-15,41.540001,43.990002,22.290001
2015-07-16,41.389999,44.470001,22.74
2015-07-17,41.400002,44.939999,22.940001
2015-07-20,40.549999,44.09,22.879999
2015-07-21,40.900002,44.650002,23.209999
2015-07-22,41.43,45.220001,23.52
2015-07-23,42.610001,45.16,23.219999
2015-07-24,39.630001,44.099998,22.73
2015-07-27,40.139999,43.93,22.35
2015-07-28,41.169998,44.91,22.82
2015-07-29,40.73,44.18,22.93
2015-07-30,40.27,44.029999,22.860001
2015-07-31,40.099998,44.34,22.98
2015-08-03,41.709999,45.73,23.59
2015-08-04,42.740002,46.349998,23.85
2015-08-05,42.959999,46.299999,23.68
2015-08-06,42.18,46.040001,23.27
2015-08-07,41.490002,46.349998,23.299999
2015-08-10,41.68,46.32,23.27
2015-08-11,42.700001,47.099998,23.59
2015-08-12,42.52,46.599998,23.15
2015-08-13,42.669998,47.450001,23.82
2015-08-14,42.880001,47.630001,24.0
2015-08-17,43.950001,47.990002,24.4
2015-08-18,43.630001,47.360001,24.040001
2015-08-19,43.529999,47.080002,23.940001
2015-08-20,41.98,45.709999,22.969999
2015-08-21,39.75,43.599998,21.67
2015-08-24,37.619999,42.150002,21.219999
2015-08-25,37.5,41.369999,21.48
2015-08-26,38.849998,43.700001,22.209999
2015-08-27,39.029999,43.860001,22.379999
