Date,AAPL,AMZN,BAC,CA,CHD,MS,TSLA
2015-10-28,114.749161,617.099976,16.773211,25.97049,42.267941,32.174446,212.960007
2015-10-29,115.961411,626.549988,16.588781,25.914337,41.775166,32.27066,211.630005
2015-10-30,114.970459,625.900024,16.287872,25.933056,41.591583,31.722229,206.929993
2015-11-02,116.586769,628.349976,16.559664,25.802032,41.258228,32.212929,213.789993
2015-11-03,117.924095,625.309998,16.676144,26.073435,40.63501,32.030121,208.350006
2015-11-04,117.375694,640.950012,16.511129,25.839466,40.514225,32.135956,231.630005
2015-11-05,116.834602,655.650024,16.802328,25.68037,40.10358,32.59779,231.770004
2015-11-06,116.969872,659.369995,17.423561,25.642933,39.722797,34.069889,232.360001
2015-11-09,116.496429,655.48999,17.161482,25.334097,39.446304,33.781242,225.330002
2015-11-10,112.824814,659.679993,17.32649,25.324738,40.377644,33.906326,216.5
2015-11-11,112.187119,673.25,17.229425,25.455757,40.479507,33.694649,219.080002
2015-11-12,111.810295,665.599976,16.860573,25.072052,40.062347,32.934544,212.940002
2015-11-13,108.544479,642.349976,16.695557,24.828726,40.033241,32.645901,207.190002
2015-11-16,110.322327,647.809998,16.918812,25.146921,40.53772,32.76136,214.309998
2015-11-17,109.848885,643.299988,16.909105,25.411427,40.489216,32.318768,214.0
2015-11-18,113.327248,663.539978,17.316786,26.488342,41.158619,32.953785,221.070007
2015-11-19,114.766914,661.27002,17.171188,26.771742,41.546677,32.876816,221.800003
2015-11-20,115.269348,668.450012,17.13236,26.715057,41.58548,32.626659,220.009995
2015-11-23,113.771706,678.98999,16.957638,26.620594,41.861977,32.366879,217.75
2015-11-24,114.863525,671.150024,16.957638,26.639488,42.022053,32.318768,218.25
2015-11-25,114.042252,675.340027,16.928518,26.526131,42.172432,32.338009,229.639999
2015-11-27,113.829681,673.26001,16.967344,26.639488,42.254887,32.501575,231.610001
2015-11-30,114.303123,664.799988,16.918812,26.55447,41.604885,33.001896,230.259995
2015-12-01,113.375557,679.059998,17.287664,26.630039,42.133621,33.935184,237.190002
2015-12-02,112.351372,676.01001,17.151392,26.488342,41.600037,33.569569,231.990005
2015-12-03,111.307861,666.25,16.839899,26.715057,41.338097,33.146225,232.710007
2015-12-04,115.008461,672.640015,17.326603,27.395218,42.075409,33.983295,230.380005
2015-12-07,114.283798,669.830017,17.073519,26.866207,42.235481,33.367519,231.130005
2015-12-08,114.235489,677.330017,16.732826,26.393875,42.153027,32.770985,226.720001
2015-12-09,111.713676,664.789978,16.64522,26.044352,41.692196,32.107094,224.520004
2015-12-10,112.245087,662.320007,16.742561,26.157709,41.202282,32.155197,227.070007
2015-12-11,109.356125,640.150024,16.285061,25.647591,40.673542,30.865915,217.020004
2015-12-14,108.679771,657.909973,16.353197,26.204943,40.741455,30.673481,218.580002
2015-12-15,106.756989,658.640015,16.956711,26.57336,40.998539,31.597153,221.089996
2015-12-16,107.57827,675.77002,17.277935,27.017353,41.493313,32.338009,234.509995
2015-12-17,105.298019,670.650024,16.839899,26.922886,41.347797,31.154564,233.389999
2015-12-18,102.44767,664.140015,16.314266,26.658381,40.367943,30.105814,230.460007
2015-12-21,103.703766,664.51001,16.518677,26.545021,40.809364,30.481052,232.559998
2015-12-22,103.607155,663.150024,16.625755,27.074032,41.391457,31.000618,229.949997
2015-12-23,104.940506,663.700012,16.878838,27.565258,42.104511,31.366228,229.699997
2015-12-24,104.380112,662.789978,16.810701,27.366877,41.92989,31.250776,230.570007
2015-12-28,103.210999,675.200012,16.674419,27.338539,41.40115,30.952507,228.949997
2015-12-29,105.066116,693.969971,16.820433,27.725851,41.847424,31.318127,237.190002
2015-12-30,103.694107,689.070007,16.596548,27.499132,41.779514,31.010237,238.089996
2015-12-31,101.703697,675.890015,16.382401,26.979568,41.173164,30.606134,240.009995
2016-01-04,101.790649,636.98999,15.993037,26.601702,40.508621,30.28862,223.410004
2016-01-05,99.239845,633.789978,15.993037,26.337194,40.164219,30.096193,223.429993
2016-01-06,97.29776,632.650024,15.652348,25.760952,39.975033,29.345711,219.039993
2016-01-07,93.191338,607.940002,15.087772,24.9202,39.329884,27.883236,215.649994
2016-01-08,93.68412,607.049988,14.795751,24.891863,39.805256,27.305943,211.0
2016-01-11,95.201073,617.73999,14.902827,24.750162,40.0769,27.382912,207.850006
2016-01-12,96.582756,617.890015,14.902827,25.288622,40.615337,27.382912,209.970001
2016-01-13,94.099594,581.809998,14.50373,24.891863,38.151157,25.872334,200.309998
2016-01-14,96.157608,593.0,14.591336,25.562572,37.947418,26.122492,206.179993
2016-01-15,93.848373,570.179993,14.075431,25.061903,38.286976,24.98715,204.990005
2016-01-19,93.394257,574.47998,13.861282,24.655697,38.301525,25.266172,204.720001
2016-01-20,93.519867,571.77002,13.32591,24.400639,38.088085,24.284777,198.699997
2016-01-21,93.046417,575.02002,13.004685,24.721823,38.422794,23.84219,199.970001
2016-01-22,97.993423,596.380005,13.199368,25.250832,39.325035,24.640779,202.550003
2016-01-25,96.080322,596.530029,12.615324,24.797398,38.539207,24.034618,196.380005
2016-01-26,96.61174,601.25,12.956017,25.364193,38.956375,24.525314,193.559998
2016-01-27,90.263725,583.349976,13.004685,26.195498,39.053394,24.554354,188.070007
2016-01-28,90.911087,635.349976,13.170165,26.639488,39.577274,24.360783,189.699997
2016-01-29,94.05127,587.0,13.763942,27.14016,40.746307,25.047955,191.199997
2016-02-01,93.172028,574.809998,13.58873,26.885099,41.265331,24.883421,196.940002
2016-02-02,91.28791,552.099976,12.878142,26.10103,41.609737,23.71232,182.779999
2016-02-03,93.094734,531.070007,12.683462,26.327751,42.235481,23.538109,173.479996
2016-02-04,93.842743,536.26001,12.897613,26.592255,42.075409,24.205925,175.330002
2016-02-05,91.336388,502.130005,12.605591,26.752848,42.153027,23.567144,162.600006
2016-02-08,92.298134,488.100006,11.943675,25.93099,42.3228,21.941154,147.990005
2016-02-09,92.278694,482.070007,11.875538,26.044352,42.924294,22.192799,148.25
2016-02-10,91.579254,490.480011,11.661387,26.176603,42.890339,21.970192,143.669998
2016-02-11,91.025528,503.820007,10.863195,25.647591,42.186573,20.992664,150.470001
2016-02-12,91.307251,507.079987,11.632184,26.167156,43.141159,22.347652,151.039993
2016-02-16,93.881607,521.099976,11.924208,27.03463,43.657413,22.957399,155.169998
2016-02-17,95.319359,534.099976,12.225964,27.463598,43.774292,23.451004,168.679993
2016-02-18,93.512459,525.0,11.914473,27.806774,43.594097,23.189684,166.770004
2016-02-19,93.298737,534.900024,11.807399,28.607517,43.545391,23.228395,166.580002
2016-02-22,94.114754,559.5,12.206494,28.149948,43.915535,23.751038,177.740005
2016-02-23,91.987267,552.940002,11.836602,27.863974,44.280804,22.947718,177.210007
2016-02-24,93.357018,554.039978,11.807399,28.130884,44.621731,22.947718,179.0
2016-02-25,93.998184,555.150024,11.992347,28.388268,44.909073,23.838142,187.429993
2016-02-26,94.143906,555.22998,12.362239,28.006958,44.660686,24.351103,190.339996
2016-02-29,93.930183,552.52002,12.187027,27.921169,44.202885,23.905893,191.929993
2016-03-01,97.660561,579.039978,12.839206,28.664715,44.310036,25.251205,186.350006
2016-03-02,97.874298,580.210022,13.103025,28.226213,44.490227,25.270561,188.339996
2016-03-03,98.602882,577.48999,13.190966,28.416864,44.685043,25.299597,195.740005
2016-03-04,100.069786,575.140015,13.230051,28.178547,44.699654,25.289917,201.039993
2016-03-07,98.962318,562.799988,13.22028,28.378735,44.149311,25.251205,205.289993
2016-03-08,98.146294,560.26001,12.761041,28.216679,44.285675,24.205925,202.600006
2016-03-09,98.233734,559.469971,12.839207,28.664715,43.915535,23.818785,208.720001
2016-03-10,98.282295,558.929993,12.966232,28.588453,43.978851,23.8575,205.179993
2016-03-11,99.341187,569.609985,13.474329,29.112749,44.310036,25.164097,207.5
2016-03-14,99.593773,573.369995,13.327763,28.903034,44.124962,25.076992,215.149994
2016-03-15,101.594978,577.02002,13.259365,28.864901,44.568157,24.612421,218.339996
2016-03-16,102.945305,574.27002,13.005316,29.265272,44.758099,24.351103,221.929993
2016-03-17,102.780144,559.440002,13.093257,29.474991,44.801929,25.018921,226.380005
2016-03-18,102.896729,552.080017,13.474329,29.303402,44.675304,25.435097,232.740005
2016-03-21,102.887009,553.97998,13.523183,29.627514,44.806797,25.106026,238.320007
2016-03-22,103.673882,560.47998,13.445016,29.656113,44.553543,25.009241,234.240005
2016-03-23,103.100731,569.630005,13.308221,29.169947,44.597374,24.457565,222.580002
2016-03-24,102.653854,582.950012,13.366846,29.293869,44.538933,24.1285,227.75
2016-03-28,102.187561,579.869995,13.308221,29.293869,44.797062,23.925247,230.259995
2016-03-29,104.606491,593.859985,13.112799,29.274803,44.94804,23.98332,230.130005
2016-03-30,106.432831,598.690002,13.171423,29.446392,44.865246,24.263996,226.889999
2016-03-31,105.879097,593.640015,13.210509,29.351065,44.894466,24.205925,229.770004
2016-04-01,106.850548,598.5,13.249593,29.541719,45.634754,24.709209,237.589996
2016-04-04,107.948303,593.190002,13.200739,29.284336,45.069798,24.234961,246.990005
2016-04-05,106.675682,586.140015,12.888062,28.931629,45.75164,23.596182,255.470001
2016-04-06,107.79287,602.080017,12.966232,29.065086,45.985405,23.634893,265.420013
2016-04-07,105.441956,591.429993,12.555846,28.664715,45.741898,22.957399,257.200012
2016-04-08,105.558517,594.599976,12.585159,28.636116,45.834435,22.986433,250.070007
2016-04-11,105.908234,595.929993,12.673099,28.674246,45.512993,23.33486,249.919998
2016-04-12,107.287712,603.169983,12.966232,28.588453,45.654224,23.789751,247.820007
2016-04-13,108.842041,614.820007,13.474329,28.864901,45.527607,25.047955,254.529999
2016-04-14,108.900322,620.75,13.816317,28.645647,45.308441,25.32863,251.860001
2016-04-15,106.714546,625.890015,13.679521,28.731443,45.737034,24.93181,254.509995
2016-04-18,104.412193,635.349976,13.845629,28.979292,45.430199,24.902777,253.880005
