,ALGN,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,JPM,LMT,LPX,LRCX,MASI,MRK,MRO,MSFT,RTN,T,THO,WFC,WMT,WRK,XOM,portfolioreturn,portfoliostandarddeviation,returnoverrisk
10,0.04,0.05,0.03,0.02,0.01,0.04,0.06,0.07,0.03,0.04,0.01,0.17,0.03,0.02,0.01,0.02,0.06,0.02,0.03,0.05,0.09,0.05,0.02,0.01,0.02,0.130804882464,0.00582335970405,22.4620990478
11,0.07,0.01,0.04,0.02,0.02,0.01,0.05,0.03,0.02,0.03,0.03,0.01,0.01,0.01,0.17,0.02,0.08,0.02,0.09,0.05,0.01,0.03,0.12,0.03,0.02,0.110945018879,0.00507025181847,21.8815599009
12,0.01,0.06,0.08,0.01,0.01,0.01,0.02,0.03,0.01,0.15,0.09,0.08,0.12,0.04,0.01,0.03,0.08,0.02,0.04,0.01,0.02,0.02,0.02,0.01,0.02,0.115445970961,0.00688099378509,16.7775142031
13,0.02,0.02,0.02,0.06,0.03,0.01,0.12,0.05,0.01,0.06,0.03,0.04,0.01,0.01,0.08,0.01,0.02,0.09,0.06,0.01,0.06,0.01,0.02,0.02,0.13,0.109679962474,0.00492086647665,22.2887499577
14,0.03,0.01,0.03,0.12,0.03,0.06,0.01,0.06,0.11,0.01,0.01,0.08,0.04,0.05,0.01,0.01,0.01,0.03,0.01,0.01,0.03,0.06,0.05,0.08,0.05,0.148323373145,0.00568486511566,26.0909221464
15,0.01,0.05,0.06,0.07,0.02,0.02,0.03,0.02,0.02,0.01,0.15,0.04,0.02,0.01,0.01,0.01,0.03,0.14,0.01,0.04,0.08,0.09,0.02,0.02,0.02,0.0968253480604,0.00603986017833,16.0310578725
16,0.01,0.04,0.03,0.05,0.03,0.19,0.04,0.08,0.03,0.04,0.02,0.03,0.04,0.02,0.01,0.06,0.01,0.03,0.02,0.03,0.1,0.05,0.01,0.02,0.01,0.140089737062,0.00620895657687,22.5625248506
17,0.02,0.04,0.03,0.06,0.05,0.07,0.08,0.01,0.01,0.05,0.04,0.01,0.01,0.02,0.01,0.14,0.08,0.04,0.02,0.04,0.01,0.02,0.03,0.05,0.06,0.0900377482089,0.00648658747261,13.8806034127
18,0.03,0.05,0.02,0.05,0.01,0.01,0.04,0.02,0.03,0.08,0.07,0.05,0.03,0.08,0.01,0.06,0.02,0.04,0.02,0.11,0.01,0.09,0.04,0.01,0.02,0.123773028106,0.00577942165917,21.4161615824
19,0.01,0.06,0.01,0.05,0.13,0.14,0.01,0.01,0.03,0.01,0.01,0.02,0.03,0.03,0.06,0.03,0.02,0.02,0.09,0.02,0.07,0.02,0.05,0.02,0.05,0.117026979955,0.00583980453951,20.0395371391
20,0.03,0.02,0.06,0.05,0.07,0.01,0.05,0.01,0.05,0.02,0.03,0.04,0.05,0.01,0.01,0.02,0.01,0.02,0.11,0.02,0.02,0.2,0.04,0.02,0.03,0.100341505317,0.00515393707378,19.468903846
21,0.02,0.01,0.02,0.04,0.02,0.07,0.02,0.09,0.04,0.02,0.03,0.02,0.11,0.01,0.01,0.02,0.07,0.09,0.08,0.03,0.02,0.08,0.02,0.03,0.03,0.121585660252,0.00585417145868,20.769063754
22,0.05,0.02,0.01,0.06,0.03,0.13,0.02,0.09,0.01,0.01,0.01,0.03,0.04,0.06,0.01,0.01,0.03,0.05,0.03,0.08,0.01,0.01,0.02,0.04,0.14,0.168308249359,0.00551485989646,30.5190435513
23,0.01,0.02,0.02,0.06,0.01,0.09,0.03,0.01,0.01,0.02,0.03,0.04,0.09,0.08,0.02,0.01,0.01,0.01,0.06,0.08,0.1,0.08,0.01,0.06,0.04,0.131575459019,0.00550843999475,23.8861563609
24,0.02,0.06,0.02,0.06,0.07,0.01,0.01,0.06,0.05,0.02,0.06,0.04,0.03,0.05,0.05,0.03,0.03,0.02,0.02,0.02,0.01,0.08,0.04,0.08,0.06,0.106782227201,0.00593674570376,17.9866601214
25,0.01,0.06,0.07,0.03,0.02,0.04,0.06,0.08,0.09,0.01,0.03,0.01,0.01,0.01,0.03,0.03,0.02,0.11,0.01,0.01,0.06,0.04,0.11,0.02,0.03,0.118883438466,0.00568102495968,20.9264066449
26,0.08,0.05,0.03,0.09,0.01,0.02,0.01,0.12,0.02,0.01,0.07,0.01,0.12,0.06,0.01,0.02,0.03,0.03,0.01,0.02,0.03,0.03,0.04,0.05,0.03,0.19635497693,0.00665743216177,29.4941010526
27,0.04,0.06,0.06,0.02,0.05,0.03,0.01,0.03,0.04,0.02,0.01,0.02,0.03,0.01,0.04,0.07,0.13,0.04,0.03,0.02,0.11,0.01,0.05,0.03,0.04,0.0854815844351,0.00671939542858,12.7216183872
28,0.01,0.01,0.01,0.11,0.09,0.03,0.1,0.06,0.01,0.03,0.07,0.03,0.01,0.01,0.01,0.11,0.02,0.04,0.05,0.02,0.02,0.02,0.01,0.01,0.11,0.0969660256447,0.00611937675856,15.845735517
29,0.02,0.02,0.08,0.01,0.07,0.02,0.09,0.01,0.11,0.01,0.06,0.06,0.13,0.04,0.04,0.01,0.01,0.02,0.01,0.03,0.02,0.02,0.05,0.03,0.03,0.11977848807,0.00610575779829,19.6173009194
30,0.01,0.06,0.05,0.04,0.05,0.02,0.05,0.09,0.03,0.01,0.02,0.03,0.04,0.01,0.02,0.08,0.01,0.02,0.06,0.1,0.03,0.01,0.09,0.06,0.01,0.11246115156,0.00596636804034,18.8491810763
31,0.03,0.02,0.06,0.02,0.06,0.05,0.05,0.03,0.03,0.01,0.06,0.05,0.04,0.02,0.01,0.09,0.02,0.02,0.09,0.07,0.05,0.05,0.02,0.04,0.01,0.116316913468,0.00605763483658,19.2017043955
32,0.02,0.04,0.04,0.02,0.07,0.03,0.02,0.03,0.05,0.1,0.01,0.06,0.08,0.02,0.07,0.07,0.03,0.01,0.02,0.06,0.04,0.04,0.01,0.05,0.01,0.0930640450139,0.00610063150657,15.2548215564
33,0.03,0.04,0.03,0.04,0.01,0.07,0.07,0.05,0.04,0.02,0.1,0.02,0.08,0.02,0.03,0.03,0.03,0.01,0.06,0.01,0.04,0.03,0.01,0.11,0.02,0.136035591665,0.00643088652565,21.1534741163
34,0.03,0.09,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.08,0.02,0.01,0.06,0.03,0.01,0.05,0.2,0.15,0.03,0.04,0.01,0.01,0.06,0.01,0.01,0.0893249434531,0.00740526534236,12.0623555434
35,0.04,0.04,0.06,0.02,0.06,0.08,0.04,0.06,0.01,0.01,0.06,0.03,0.04,0.02,0.05,0.01,0.12,0.01,0.04,0.01,0.01,0.02,0.04,0.05,0.07,0.109488568589,0.00629315362376,17.3980447856
36,0.02,0.04,0.01,0.04,0.03,0.01,0.1,0.09,0.11,0.04,0.02,0.01,0.01,0.03,0.08,0.04,0.03,0.05,0.02,0.02,0.06,0.05,0.05,0.03,0.01,0.105059911575,0.0056531058143,18.5844587076
37,0.14,0.03,0.01,0.01,0.01,0.01,0.03,0.02,0.01,0.06,0.04,0.02,0.01,0.06,0.1,0.03,0.06,0.03,0.01,0.03,0.14,0.06,0.05,0.02,0.01,0.175946885766,0.00582601512692,30.2002109389
38,0.08,0.01,0.05,0.01,0.02,0.04,0.06,0.02,0.01,0.01,0.02,0.01,0.01,0.05,0.07,0.08,0.03,0.01,0.11,0.03,0.02,0.17,0.04,0.02,0.02,0.141082476046,0.00520813665243,27.0888583501
39,0.06,0.01,0.08,0.04,0.19,0.03,0.03,0.04,0.01,0.01,0.01,0.02,0.04,0.01,0.02,0.02,0.12,0.01,0.02,0.04,0.02,0.03,0.01,0.07,0.06,0.0878741943813,0.00691189223666,12.7134786499
40,0.01,0.05,0.04,0.11,0.04,0.04,0.06,0.06,0.02,0.01,0.06,0.01,0.02,0.04,0.02,0.02,0.08,0.01,0.01,0.04,0.03,0.02,0.13,0.06,0.01,0.110100813844,0.00614251766386,17.9243788734
41,0.01,0.03,0.13,0.03,0.01,0.01,0.02,0.04,0.01,0.1,0.04,0.01,0.03,0.02,0.01,0.05,0.11,0.05,0.06,0.04,0.03,0.06,0.05,0.04,0.01,0.0851030898302,0.00624027257157,13.637719964
42,0.04,0.04,0.05,0.08,0.02,0.02,0.01,0.02,0.03,0.07,0.01,0.02,0.02,0.05,0.08,0.08,0.01,0.04,0.01,0.06,0.01,0.15,0.04,0.03,0.01,0.110874988847,0.00530896423713,20.8844859176
43,0.01,0.06,0.03,0.04,0.08,0.02,0.13,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.07,0.02,0.21,0.01,0.03,0.02,0.03,0.05,0.0848096665634,0.00538714688523,15.7429653155
44,0.06,0.03,0.04,0.02,0.04,0.04,0.01,0.01,0.03,0.01,0.09,0.01,0.01,0.04,0.08,0.01,0.02,0.11,0.03,0.04,0.05,0.11,0.04,0.04,0.03,0.127746557657,0.00548113197443,23.3066013103
45,0.02,0.01,0.01,0.02,0.05,0.08,0.02,0.03,0.02,0.03,0.01,0.06,0.03,0.02,0.14,0.01,0.02,0.02,0.03,0.06,0.07,0.04,0.07,0.04,0.09,0.0921635609274,0.00495450062634,18.6019879456
46,0.02,0.03,0.01,0.01,0.09,0.04,0.22,0.09,0.02,0.03,0.01,0.01,0.01,0.06,0.04,0.01,0.02,0.02,0.08,0.01,0.01,0.02,0.04,0.05,0.05,0.140617681356,0.0056041866882,25.0915412315
47,0.03,0.01,0.01,0.1,0.02,0.05,0.03,0.11,0.02,0.06,0.04,0.01,0.01,0.14,0.06,0.02,0.02,0.01,0.04,0.03,0.01,0.07,0.04,0.04,0.02,0.172432624245,0.00601281725266,28.6775095599
48,0.1,0.07,0.01,0.03,0.02,0.01,0.03,0.01,0.01,0.01,0.05,0.02,0.01,0.03,0.04,0.06,0.05,0.06,0.01,0.07,0.01,0.05,0.02,0.1,0.12,0.140997023066,0.00568063529075,24.8206434402
49,0.03,0.01,0.02,0.01,0.04,0.06,0.03,0.01,0.02,0.01,0.01,0.1,0.06,0.03,0.03,0.02,0.02,0.08,0.03,0.06,0.11,0.03,0.05,0.08,0.05,0.125727477111,0.00545317786444,23.055818137
50,0.02,0.01,0.06,0.01,0.02,0.04,0.08,0.01,0.03,0.04,0.01,0.07,0.01,0.09,0.03,0.02,0.02,0.09,0.03,0.03,0.01,0.03,0.08,0.01,0.15,0.139608281396,0.0049949438677,27.9499199779
51,0.02,0.03,0.01,0.01,0.01,0.03,0.04,0.02,0.03,0.03,0.01,0.1,0.03,0.01,0.04,0.02,0.01,0.02,0.29,0.03,0.03,0.03,0.09,0.03,0.03,0.148199990269,0.00483111267778,30.676160991
52,0.02,0.05,0.02,0.01,0.03,0.04,0.06,0.11,0.04,0.04,0.03,0.1,0.06,0.06,0.02,0.04,0.02,0.02,0.06,0.01,0.02,0.02,0.07,0.02,0.03,0.159064405435,0.00614631565012,25.8796349699
53,0.04,0.03,0.11,0.02,0.01,0.02,0.01,0.01,0.09,0.05,0.02,0.04,0.08,0.01,0.01,0.05,0.05,0.05,0.1,0.02,0.03,0.02,0.11,0.01,0.01,0.136558481516,0.00576291775342,23.6960663606
54,0.02,0.04,0.01,0.01,0.03,0.06,0.03,0.03,0.06,0.02,0.09,0.04,0.05,0.03,0.02,0.06,0.02,0.08,0.02,0.09,0.07,0.02,0.04,0.02,0.04,0.11056593977,0.00604500685233,18.2904573098
55,0.02,0.1,0.02,0.03,0.14,0.01,0.01,0.07,0.09,0.02,0.01,0.03,0.01,0.06,0.02,0.04,0.04,0.02,0.01,0.03,0.05,0.04,0.03,0.09,0.01,0.106895394866,0.00674212294641,15.8548569518
56,0.03,0.01,0.02,0.12,0.04,0.08,0.04,0.01,0.03,0.07,0.05,0.03,0.03,0.01,0.04,0.03,0.02,0.01,0.05,0.01,0.08,0.08,0.01,0.07,0.03,0.115136105767,0.00562476079374,20.4695115026
57,0.11,0.02,0.03,0.03,0.06,0.02,0.14,0.03,0.01,0.01,0.04,0.02,0.01,0.02,0.02,0.02,0.01,0.03,0.03,0.09,0.08,0.04,0.04,0.04,0.05,0.163998370495,0.00540403010815,30.3474198353
58,0.01,0.19,0.05,0.01,0.01,0.02,0.02,0.03,0.06,0.06,0.02,0.01,0.03,0.04,0.05,0.01,0.01,0.02,0.03,0.04,0.09,0.05,0.05,0.07,0.02,0.116773501655,0.00602617625324,19.3777109642
59,0.09,0.03,0.04,0.04,0.03,0.03,0.1,0.06,0.01,0.01,0.14,0.01,0.02,0.05,0.02,0.06,0.01,0.02,0.07,0.05,0.01,0.03,0.03,0.01,0.03,0.181060496711,0.00638544558616,28.3551859096
60,0.01,0.03,0.01,0.05,0.05,0.01,0.06,0.17,0.09,0.03,0.1,0.01,0.01,0.05,0.04,0.02,0.04,0.01,0.01,0.03,0.06,0.03,0.02,0.04,0.02,0.110797129775,0.00702059532003,15.7817285749
61,0.05,0.02,0.03,0.02,0.02,0.02,0.04,0.01,0.02,0.01,0.15,0.01,0.11,0.03,0.07,0.01,0.01,0.1,0.01,0.02,0.01,0.01,0.06,0.13,0.03,0.145645640283,0.00667861765047,21.8077524281
62,0.07,0.06,0.01,0.04,0.05,0.13,0.05,0.04,0.01,0.13,0.05,0.07,0.01,0.03,0.08,0.04,0.01,0.01,0.03,0.01,0.02,0.02,0.01,0.01,0.01,0.172868786815,0.00605356531369,28.5565246028
63,0.01,0.03,0.04,0.01,0.04,0.05,0.04,0.03,0.01,0.01,0.04,0.04,0.09,0.01,0.04,0.01,0.05,0.03,0.04,0.08,0.03,0.06,0.08,0.12,0.01,0.094378666945,0.00581495822186,16.2303258844
64,0.01,0.05,0.04,0.03,0.02,0.04,0.04,0.03,0.03,0.01,0.01,0.11,0.04,0.02,0.03,0.13,0.01,0.03,0.11,0.05,0.04,0.01,0.07,0.02,0.02,0.124390282481,0.00585665896114,21.239120001
65,0.04,0.06,0.04,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.08,0.07,0.01,0.09,0.01,0.08,0.01,0.01,0.01,0.15,0.08,0.134083593338,0.00587213772295,22.8338638608
66,0.1,0.02,0.06,0.06,0.01,0.01,0.05,0.03,0.04,0.1,0.03,0.08,0.01,0.03,0.02,0.03,0.01,0.05,0.01,0.12,0.01,0.03,0.01,0.01,0.07,0.165195857719,0.0053170426609,31.0691239952
67,0.03,0.1,0.02,0.04,0.05,0.04,0.01,0.02,0.08,0.01,0.1,0.08,0.01,0.01,0.04,0.03,0.01,0.02,0.03,0.06,0.02,0.02,0.02,0.13,0.02,0.114305243063,0.00638330988406,17.9068923708
68,0.05,0.04,0.08,0.03,0.05,0.04,0.02,0.03,0.13,0.02,0.05,0.02,0.03,0.04,0.01,0.03,0.02,0.06,0.06,0.07,0.04,0.05,0.01,0.01,0.01,0.136181819663,0.00582441789666,23.3811896878
69,0.02,0.1,0.03,0.02,0.04,0.02,0.12,0.01,0.01,0.02,0.05,0.1,0.01,0.02,0.04,0.03,0.04,0.08,0.02,0.01,0.08,0.05,0.01,0.01,0.06,0.106080116043,0.00557435223583,19.030034622
70,0.01,0.07,0.02,0.02,0.02,0.01,0.03,0.14,0.03,0.03,0.01,0.03,0.03,0.05,0.03,0.03,0.07,0.03,0.06,0.06,0.06,0.02,0.08,0.05,0.01,0.12079664865,0.0062657264444,19.2789534816
71,0.21,0.02,0.02,0.05,0.01,0.01,0.03,0.02,0.06,0.01,0.01,0.04,0.03,0.04,0.07,0.01,0.1,0.01,0.08,0.04,0.05,0.01,0.01,0.03,0.03,0.230388513518,0.00573078726692,40.2018959677
72,0.05,0.02,0.01,0.01,0.01,0.04,0.01,0.12,0.02,0.01,0.01,0.02,0.14,0.06,0.04,0.02,0.05,0.02,0.12,0.06,0.01,0.03,0.03,0.03,0.06,0.166651360335,0.00600821842867,27.7372339761
73,0.01,0.03,0.03,0.05,0.03,0.02,0.01,0.07,0.01,0.01,0.03,0.03,0.01,0.23,0.1,0.03,0.06,0.01,0.01,0.01,0.01,0.07,0.09,0.01,0.03,0.161758891451,0.00632495332259,25.5747170296
74,0.03,0.03,0.03,0.04,0.05,0.01,0.02,0.12,0.06,0.02,0.03,0.04,0.08,0.03,0.02,0.02,0.09,0.02,0.01,0.02,0.02,0.18,0.01,0.01,0.01,0.0918556391733,0.00642221611041,14.3027947976
75,0.02,0.08,0.03,0.07,0.06,0.03,0.01,0.09,0.03,0.02,0.04,0.02,0.02,0.02,0.1,0.04,0.1,0.03,0.04,0.02,0.05,0.04,0.01,0.01,0.02,0.0856636136771,0.00634262951153,13.5060093801
76,0.01,0.03,0.03,0.03,0.08,0.09,0.1,0.03,0.03,0.04,0.01,0.04,0.04,0.09,0.05,0.02,0.03,0.02,0.01,0.02,0.05,0.1,0.02,0.01,0.02,0.120835251929,0.00573855626078,21.0567338609
77,0.04,0.17,0.03,0.04,0.02,0.01,0.01,0.07,0.04,0.02,0.02,0.01,0.12,0.06,0.05,0.05,0.04,0.02,0.01,0.04,0.01,0.06,0.03,0.01,0.02,0.144267905485,0.00640178947639,22.5355591616
78,0.04,0.1,0.03,0.01,0.05,0.01,0.01,0.02,0.06,0.01,0.1,0.03,0.12,0.06,0.03,0.01,0.1,0.02,0.05,0.03,0.05,0.01,0.02,0.02,0.01,0.122705806575,0.00698633451167,17.5636889946
79,0.01,0.02,0.06,0.06,0.07,0.01,0.01,0.03,0.01,0.01,0.02,0.05,0.01,0.07,0.01,0.03,0.01,0.08,0.04,0.06,0.06,0.09,0.02,0.11,0.05,0.112800461545,0.00569828684797,19.7955042551
80,0.01,0.15,0.03,0.02,0.02,0.02,0.02,0.06,0.01,0.01,0.01,0.02,0.03,0.04,0.12,0.03,0.01,0.02,0.18,0.02,0.05,0.01,0.03,0.06,0.02,0.136088956621,0.00541420918592,25.1355187706
81,0.07,0.02,0.1,0.04,0.02,0.05,0.01,0.03,0.01,0.02,0.01,0.09,0.07,0.03,0.01,0.02,0.03,0.06,0.02,0.03,0.08,0.09,0.02,0.03,0.04,0.158416221188,0.00558613661103,28.3588161583
82,0.07,0.03,0.03,0.04,0.01,0.01,0.04,0.03,0.08,0.08,0.07,0.02,0.01,0.01,0.02,0.03,0.06,0.12,0.04,0.01,0.02,0.07,0.02,0.07,0.01,0.135721710918,0.005843718672,23.2252301208
83,0.07,0.04,0.04,0.01,0.01,0.02,0.09,0.01,0.18,0.02,0.02,0.01,0.07,0.03,0.04,0.02,0.01,0.01,0.03,0.02,0.16,0.01,0.03,0.01,0.04,0.141665988963,0.0059163424921,23.9448593708
84,0.05,0.11,0.03,0.02,0.06,0.06,0.03,0.02,0.08,0.08,0.14,0.01,0.03,0.03,0.01,0.02,0.01,0.03,0.01,0.01,0.02,0.05,0.04,0.01,0.04,0.140593536341,0.00675048363463,20.8271797919
85,0.01,0.01,0.03,0.02,0.01,0.04,0.04,0.01,0.02,0.03,0.02,0.03,0.03,0.04,0.11,0.04,0.08,0.12,0.01,0.19,0.01,0.03,0.01,0.02,0.04,0.0616555497513,0.00527633279211,11.6853034448
86,0.02,0.02,0.28,0.05,0.03,0.01,0.02,0.02,0.01,0.01,0.04,0.03,0.01,0.06,0.06,0.01,0.08,0.09,0.02,0.04,0.01,0.01,0.05,0.01,0.01,0.120840433825,0.00601957916565,20.0745650982
87,0.14,0.03,0.08,0.03,0.01,0.02,0.08,0.02,0.04,0.04,0.12,0.02,0.03,0.02,0.01,0.04,0.01,0.03,0.03,0.04,0.01,0.02,0.04,0.08,0.01,0.207519202334,0.00663533535447,31.2748627233
88,0.01,0.09,0.04,0.06,0.01,0.09,0.09,0.03,0.03,0.08,0.01,0.07,0.04,0.07,0.04,0.02,0.02,0.02,0.01,0.02,0.04,0.02,0.01,0.05,0.03,0.146978770068,0.00564723536822,26.0266768576
89,0.01,0.01,0.07,0.05,0.02,0.02,0.01,0.04,0.15,0.02,0.03,0.07,0.06,0.03,0.09,0.02,0.08,0.05,0.01,0.03,0.02,0.07,0.02,0.01,0.01,0.0773230073161,0.00572674293983,13.5020915254
90,0.04,0.1,0.07,0.04,0.15,0.02,0.01,0.02,0.04,0.01,0.06,0.02,0.07,0.05,0.01,0.02,0.03,0.01,0.08,0.02,0.01,0.06,0.01,0.03,0.02,0.131397176925,0.00656392260446,20.0180874826
91,0.04,0.04,0.06,0.01,0.01,0.01,0.04,0.04,0.03,0.03,0.03,0.01,0.01,0.08,0.01,0.04,0.12,0.01,0.13,0.01,0.07,0.04,0.03,0.06,0.04,0.12697624948,0.00619537174062,20.4953398757
92,0.04,0.03,0.05,0.01,0.04,0.02,0.02,0.13,0.05,0.05,0.02,0.06,0.01,0.11,0.04,0.01,0.08,0.02,0.05,0.01,0.05,0.01,0.04,0.04,0.01,0.161521939515,0.00656018602649,24.6215486669
93,0.02,0.02,0.06,0.01,0.1,0.06,0.01,0.02,0.01,0.01,0.01,0.05,0.06,0.03,0.02,0.09,0.01,0.01,0.01,0.12,0.07,0.11,0.04,0.01,0.04,0.0833395697205,0.00604385868454,13.7891327495
94,0.05,0.01,0.01,0.02,0.06,0.02,0.01,0.01,0.05,0.03,0.06,0.02,0.04,0.01,0.06,0.06,0.02,0.05,0.02,0.18,0.01,0.01,0.03,0.15,0.01,0.0939780623312,0.00611318147828,15.3730201966
95,0.01,0.01,0.02,0.03,0.05,0.01,0.02,0.01,0.11,0.06,0.08,0.13,0.1,0.01,0.01,0.06,0.02,0.08,0.05,0.02,0.04,0.03,0.01,0.02,0.01,0.105953307073,0.00624866586993,16.9561486049
96,0.03,0.01,0.04,0.06,0.01,0.03,0.06,0.01,0.03,0.08,0.06,0.02,0.02,0.06,0.1,0.02,0.01,0.04,0.06,0.01,0.01,0.02,0.04,0.02,0.15,0.127082251626,0.00507621387923,25.0348497226
97,0.01,0.02,0.01,0.03,0.06,0.02,0.04,0.05,0.01,0.08,0.01,0.07,0.01,0.06,0.07,0.12,0.11,0.01,0.01,0.02,0.01,0.05,0.07,0.02,0.03,0.0765261854429,0.00656004581738,11.6654955733
98,0.01,0.02,0.01,0.02,0.02,0.03,0.03,0.08,0.01,0.15,0.1,0.02,0.02,0.08,0.04,0.06,0.03,0.03,0.01,0.08,0.04,0.03,0.01,0.06,0.01,0.114590133333,0.00672210239509,17.0467699833
99,0.04,0.06,0.06,0.01,0.04,0.07,0.02,0.01,0.08,0.01,0.06,0.03,0.01,0.01,0.02,0.05,0.01,0.05,0.07,0.07,0.01,0.01,0.01,0.15,0.04,0.128228254955,0.00630685687385,20.3315625389
100,0.02,0.04,0.01,0.03,0.06,0.12,0.03,0.06,0.02,0.03,0.04,0.01,0.03,0.01,0.05,0.03,0.04,0.02,0.02,0.1,0.12,0.04,0.04,0.02,0.01,0.0977800679472,0.00596217930028,16.4000549166
101,0.1,0.06,0.05,0.01,0.02,0.01,0.05,0.04,0.07,0.04,0.01,0.01,0.01,0.05,0.04,0.02,0.05,0.04,0.01,0.05,0.04,0.07,0.1,0.02,0.03,0.16179468353,0.00551442544211,29.3402613252
102,0.02,0.03,0.09,0.06,0.01,0.06,0.03,0.03,0.06,0.02,0.06,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.03,0.13,0.03,0.05,0.04,0.03,0.115466888407,0.00596110805952,19.370037794
103,0.06,0.02,0.02,0.04,0.04,0.14,0.12,0.04,0.02,0.02,0.06,0.04,0.05,0.01,0.08,0.02,0.01,0.01,0.01,0.03,0.02,0.06,0.02,0.04,0.02,0.149813337496,0.00565366495508,26.4984463506
104,0.01,0.07,0.03,0.13,0.09,0.04,0.01,0.03,0.05,0.02,0.02,0.08,0.04,0.05,0.04,0.01,0.01,0.02,0.01,0.01,0.07,0.01,0.03,0.07,0.05,0.125919784262,0.00591094181706,21.3028292546
105,0.02,0.09,0.08,0.04,0.01,0.09,0.01,0.02,0.04,0.01,0.03,0.04,0.01,0.01,0.07,0.08,0.03,0.03,0.02,0.04,0.02,0.11,0.04,0.02,0.04,0.0978787265791,0.00549891385806,17.7996471859
106,0.02,0.07,0.04,0.01,0.03,0.03,0.07,0.03,0.02,0.02,0.03,0.01,0.01,0.04,0.1,0.01,0.03,0.03,0.17,0.02,0.04,0.05,0.01,0.03,0.08,0.116904421532,0.00494923006096,23.6207288996
107,0.06,0.05,0.03,0.01,0.02,0.06,0.02,0.03,0.08,0.02,0.01,0.02,0.07,0.02,0.11,0.02,0.02,0.07,0.06,0.02,0.04,0.01,0.03,0.01,0.11,0.141461709716,0.00507680203082,27.8643344485
108,0.07,0.01,0.03,0.05,0.07,0.05,0.02,0.03,0.06,0.04,0.03,0.07,0.04,0.03,0.06,0.03,0.06,0.01,0.03,0.03,0.05,0.01,0.04,0.05,0.03,0.137125238425,0.0059002966258,23.2403974108
109,0.04,0.05,0.04,0.01,0.02,0.01,0.02,0.06,0.01,0.03,0.02,0.03,0.01,0.01,0.11,0.03,0.05,0.17,0.08,0.03,0.06,0.02,0.01,0.06,0.02,0.122378976852,0.00538839798037,22.7115698021
