,prev_date,curr_date,ticker,prev_value,curr_value,change_pct
1189,2017-08-02,2017-08-03,b,60.176979,59.948017,-0.00380481047412
1190,2017-08-02,2017-08-03,c,68.804146,67.838295,-0.0140376860429
1191,2017-08-02,2017-08-03,d,76.420395,76.950409,0.00693550458618
1192,2017-08-02,2017-08-03,f,10.865086,10.795945,-0.00636359436087
1193,2017-08-02,2017-08-03,g,28.754147,29.86965,0.038794508493
1194,2017-08-02,2017-08-03,l,48.992592,48.842983,-0.00305370656854
1195,2017-08-02,2017-08-03,m,22.449907,22.856853,0.0181268456925
1196,2017-08-02,2017-08-03,p,8.38,8.37,-0.00119331742243
1197,2017-08-02,2017-08-03,s,8.79,8.54,-0.028441410694
1198,2017-08-02,2017-08-03,w,73.830002,77.330002,0.0474062021561
1199,2017-08-03,2017-08-04,a,60.245876,60.006371,-0.00397545883473
1200,2017-08-03,2017-08-04,b,59.948017,60.15707,0.00348723795151
1201,2017-08-03,2017-08-04,c,67.838295,68.684662,0.0124762422169
1202,2017-08-03,2017-08-04,d,76.950409,76.63633,-0.0040815767464
1203,2017-08-03,2017-08-04,f,10.795945,10.815699,0.00182976108159
1204,2017-08-03,2017-08-04,g,29.86965,29.24218,-0.0210069418289
1205,2017-08-03,2017-08-04,l,48.842983,49.012543,0.00347153244101
1206,2017-08-03,2017-08-04,m,22.856853,22.575867,-0.0122932933943
1207,2017-08-03,2017-08-04,p,8.37,8.48,0.0131421744325
1208,2017-08-03,2017-08-04,s,8.54,8.7,0.0187353629977
1209,2017-08-03,2017-08-04,w,77.330002,80.360001,0.0391827094483
1210,2017-08-04,2017-08-07,a,60.006371,60.744846,0.0123066099098
1211,2017-08-04,2017-08-07,b,60.15707,59.948017,-0.00347511938331
1212,2017-08-04,2017-08-07,c,68.684662,68.744408,0.000869859416357
1213,2017-08-04,2017-08-07,d,76.63633,76.479286,-0.00204921086383
1214,2017-08-04,2017-08-07,f,10.815699,10.786067,-0.00273972121451
1215,2017-08-04,2017-08-07,g,29.24218,29.351736,0.00374650590346
1216,2017-08-04,2017-08-07,l,49.012543,48.892849,-0.00244210956367
1217,2017-08-04,2017-08-07,m,22.575867,22.827787,0.0111588183967
1218,2017-08-04,2017-08-07,p,8.48,8.6,0.0141509433962
1219,2017-08-04,2017-08-07,s,8.7,8.62,-0.00919540229885
