,USD,GOOGL,AAPL,ACN,XLV,EWO,ICLR,MSFT,PPA,SONVY,PCLN,AMT,GRMN,SAFM,IAI,INTC,LPX,PYPL,IXG,AMGN,ANTM,FXI,EWT,RHHBY,EZU,EBAY,UL,SH
PCLN,0.000107756528414,5.37180177116e-05,4.82825843405e-05,2.47088577086e-05,2.19304487047e-05,3.22901515329e-05,3.25042224079e-05,4.45715965627e-05,2.78760089772e-05,7.83354267488e-06,0.000116316524012,1.40042948653e-05,1.14152187371e-05,3.51236236495e-06,2.56184437962e-05,3.38806967777e-05,1.72653255066e-05,5.55460409514e-05,3.05952705737e-05,3.33755102248e-05,1.46435084219e-05,3.16186160057e-05,3.00099235517e-05,1.75221420106e-05,3.27741816746e-05,5.16651650795e-05,1.85768708873e-05,-2.27169393308e-05
AMT,1.88109169972e-05,8.97293781589e-06,1.52411187121e-05,1.60917143708e-05,7.78220780582e-06,9.92278350223e-06,6.27743577529e-07,1.61727508491e-05,7.51938511063e-06,1.0115776406e-05,1.40042948653e-05,7.85845920426e-05,8.27121455097e-06,2.62616379848e-07,-1.28192811757e-05,8.87947918124e-06,-8.55396679459e-06,2.0885549595e-05,-3.45103950008e-06,-1.76044113596e-06,1.00935481391e-05,9.71890753783e-06,8.09851100461e-06,1.72000825974e-05,9.6919339066e-06,8.63067889083e-06,1.5056525348e-05,-4.53950489373e-06
GRMN,7.17141208307e-05,1.66703381417e-05,3.98353191813e-05,1.86528313294e-05,1.55609312788e-05,1.84546013646e-05,2.00330694518e-05,2.70117842416e-05,2.50489313439e-05,9.0279060359e-06,1.14152187371e-05,8.27121455097e-06,9.45099723529e-05,1.42704679933e-05,3.64880007219e-05,2.34162168655e-05,3.68959666121e-05,2.23406104371e-05,2.78805795974e-05,1.90241577925e-05,2.41153751611e-05,2.24000339264e-05,1.73550857284e-05,-4.89766626115e-06,2.18887360517e-05,1.95948917596e-05,9.43100357278e-06,-2.26140381632e-05
SAFM,2.98755075552e-05,-6.24529810404e-06,8.48524897737e-06,9.70993577877e-06,9.67291461117e-06,1.20382401498e-05,2.36469152834e-05,8.15883810324e-06,1.25878399735e-05,3.89038905695e-06,3.51236236495e-06,2.62616379848e-07,1.42704679933e-05,0.000222466261572,1.93841596828e-05,1.70730385261e-05,6.22051412522e-06,2.70221924768e-05,1.22738835125e-05,1.08346757826e-05,2.51430977672e-07,5.59774215581e-06,1.87519245783e-07,2.68861402468e-06,1.41424024582e-05,1.62722940689e-05,-2.8025696268e-08,-1.10432315629e-05
IAI,7.24477268252e-05,2.8818515646e-05,2.95576078631e-05,1.84237984325e-05,1.76523049527e-05,3.10696645766e-05,1.28919727209e-05,2.27581201389e-05,3.09621411232e-05,2.86359570897e-06,2.56184437962e-05,-1.28192811757e-05,3.64880007219e-05,1.93841596828e-05,8.048951475e-05,2.20775030478e-05,4.07900439803e-05,2.84087540357e-05,5.47103796031e-05,3.6713913146e-05,2.91038271572e-05,3.58138446079e-05,1.92262266692e-05,-4.04203060283e-06,3.07638722286e-05,2.4360248117e-05,9.15894329064e-06,-2.89206384511e-05
INTC,0.000114265958442,2.14217989046e-05,3.62713255671e-05,1.97802316886e-05,1.04645083156e-05,1.69050402452e-05,1.72904701737e-05,3.06732151683e-05,2.39367875564e-05,6.43352565408e-06,3.38806967777e-05,8.87947918124e-06,2.34162168655e-05,1.70730385261e-05,2.20775030478e-05,7.81149618785e-05,1.36295814518e-05,4.34426808558e-05,2.38486666253e-05,1.83542571252e-05,1.16718707213e-05,2.16318491765e-05,1.54149929593e-05,1.52908631906e-05,2.35281551575e-05,3.27077996125e-05,1.56633584398e-05,-1.90780095106e-05
LPX,5.07301369654e-05,1.37352704732e-05,5.26542401055e-06,2.87830026111e-05,2.56960013866e-05,1.29051369586e-05,1.51646972943e-05,1.9777584424e-05,2.60714513788e-05,1.36025864927e-05,1.72653255066e-05,-8.55396679459e-06,3.68959666121e-05,6.22051412522e-06,4.07900439803e-05,1.36295814518e-05,0.000194444930164,8.18923698795e-06,2.69163139733e-05,3.65337533415e-05,2.1282282963e-05,1.7589447135e-05,1.22761770241e-05,2.45218137983e-06,1.64691263302e-05,2.45280921969e-05,9.30425947421e-06,-2.33721753567e-05
PYPL,0.000138764477381,6.35889700452e-05,5.02635765533e-05,3.99498092285e-05,2.39255413032e-05,2.62393739545e-05,7.06003115933e-05,5.49237006922e-05,3.45310026183e-05,1.63841297004e-06,5.55460409514e-05,2.0885549595e-05,2.23406104371e-05,2.70221924768e-05,2.84087540357e-05,4.34426808558e-05,8.18923698795e-06,0.000176541615663,2.83774063946e-05,2.04975353653e-05,1.98372215797e-05,3.50788060924e-05,3.35576591396e-05,1.64860419459e-05,2.90019809789e-05,6.84323971902e-05,2.24423978253e-05,-2.87848527204e-05
IXG,7.12426197206e-05,2.41823358368e-05,3.0249695917e-05,1.81593915546e-05,1.56146759445e-05,3.99687566222e-05,1.17419645285e-05,2.54290901867e-05,2.64435119332e-05,7.42035633059e-06,3.05952705737e-05,-3.45103950008e-06,2.78805795974e-05,1.22738835125e-05,5.47103796031e-05,2.38486666253e-05,2.69163139733e-05,2.83774063946e-05,5.24835015724e-05,2.91635110944e-05,1.94715584088e-05,3.44601834042e-05,2.20101585391e-05,6.69703947174e-06,4.04497889092e-05,2.23598886937e-05,1.32813869143e-05,-2.51264391371e-05
AMGN,5.83664108847e-05,3.24704416993e-05,3.58841743574e-05,1.38352511673e-05,4.12925003097e-05,1.86784013072e-05,4.13398975898e-06,2.32066801569e-05,1.65930781668e-05,9.2310208455e-06,3.33755102248e-05,-1.76044113596e-06,1.90241577925e-05,1.08346757826e-05,3.6713913146e-05,1.83542571252e-05,3.65337533415e-05,2.04975353653e-05,2.91635110944e-05,0.000119994798625,2.82209371509e-05,2.54605493544e-05,2.16345243687e-05,1.14139800987e-05,2.55416880084e-05,3.15400399878e-05,1.89530477679e-05,-2.25474540239e-05
ANTM,3.66239250547e-05,2.76193585456e-05,2.72070177681e-05,9.40037589861e-06,2.60083758244e-05,9.12811559426e-06,8.29597066195e-06,1.73199035355e-05,2.16202314383e-05,7.78199454403e-06,1.46435084219e-05,1.00935481391e-05,2.41153751611e-05,2.51430977672e-07,2.91038271572e-05,1.16718707213e-05,2.1282282963e-05,1.98372215797e-05,1.94715584088e-05,2.82209371509e-05,0.000109401368158,2.12444771104e-05,1.45436278258e-05,-6.34708415885e-06,1.16176143859e-05,1.78539056805e-05,5.00776289142e-06,-1.8086429117e-05
FXI,8.92297702131e-05,3.41440437807e-05,4.9292230658e-05,1.75471315078e-05,1.70572433873e-05,3.13482134504e-05,2.55095403968e-05,3.31245735607e-05,2.3643112022e-05,1.31345472431e-05,3.16186160057e-05,9.71890753783e-06,2.24000339264e-05,5.59774215581e-06,3.58138446079e-05,2.16318491765e-05,1.7589447135e-05,3.50788060924e-05,3.44601834042e-05,2.54605493544e-05,2.12444771104e-05,8.42475068071e-05,4.94160337834e-05,3.35601407979e-06,3.0246810112e-05,4.71732206478e-05,2.90634336427e-05,-2.37982993761e-05
EWT,6.93735179109e-05,3.10900121351e-05,4.30198956762e-05,1.06692546237e-05,1.62476796284e-05,2.58053504006e-05,2.77415359792e-05,2.84376777887e-05,1.58727208219e-05,1.01452409084e-05,3.00099235517e-05,8.09851100461e-06,1.73550857284e-05,1.87519245783e-07,1.92262266692e-05,1.54149929593e-05,1.22761770241e-05,3.35576591396e-05,2.20101585391e-05,2.16345243687e-05,1.45436278258e-05,4.94160337834e-05,5.83251488786e-05,-3.4438530544e-06,2.5075556749e-05,3.54408616348e-05,2.11926303848e-05,-1.7940885044e-05
RHHBY,2.32664187465e-05,1.49767614842e-05,1.23141627037e-05,1.18710675126e-05,1.03878488102e-05,1.96348356859e-05,7.8080310983e-06,5.15253618622e-06,7.79823755237e-06,3.39064797097e-05,1.75221420106e-05,1.72000825974e-05,-4.89766626115e-06,2.68861402468e-06,-4.04203060283e-06,1.52908631906e-05,2.45218137983e-06,1.64860419459e-05,6.69703947174e-06,1.14139800987e-05,-6.34708415885e-06,3.35601407979e-06,-3.4438530544e-06,0.000108998773688,2.68182259299e-05,1.72063916432e-05,2.4190239257e-05,-6.88048393938e-06
EZU,7.22927802997e-05,2.76880020804e-05,2.99378598296e-05,1.75619765375e-05,1.77829567546e-05,5.4685662482e-05,8.82562108117e-06,2.85368567601e-05,2.07108486801e-05,3.3195234087e-05,3.27741816746e-05,9.6919339066e-06,2.18887360517e-05,1.41424024582e-05,3.07638722286e-05,2.35281551575e-05,1.64691263302e-05,2.90019809789e-05,4.04497889092e-05,2.55416880084e-05,1.16176143859e-05,3.0246810112e-05,2.5075556749e-05,2.68182259299e-05,6.15031346926e-05,2.82043627987e-05,3.26530422905e-05,-2.08368621293e-05
EBAY,0.000127428351981,6.08454892615e-05,5.87460939479e-05,2.05285752081e-05,2.35108059892e-05,2.7526144992e-05,2.02096035857e-05,5.31389209633e-05,2.61752494684e-05,1.91645525112e-05,5.16651650795e-05,8.63067889083e-06,1.95948917596e-05,1.62722940689e-05,2.4360248117e-05,3.27077996125e-05,2.45280921969e-05,6.84323971902e-05,2.23598886937e-05,3.15400399878e-05,1.78539056805e-05,4.71732206478e-05,3.54408616348e-05,1.72063916432e-05,2.82043627987e-05,0.000133403583663,3.10902017278e-05,-2.47006643928e-05
UL,4.92626969227e-05,2.31658324387e-05,3.2667328792e-05,1.44344925594e-05,1.17376496291e-05,3.2231883834e-05,1.23153015278e-05,1.99123881232e-05,9.79614364127e-06,2.85944233378e-05,1.85768708873e-05,1.5056525348e-05,9.43100357278e-06,-2.8025696268e-08,9.15894329064e-06,1.56633584398e-05,9.30425947421e-06,2.24423978253e-05,1.32813869143e-05,1.89530477679e-05,5.00776289142e-06,2.90634336427e-05,2.11926303848e-05,2.4190239257e-05,3.26530422905e-05,3.10902017278e-05,8.39601157874e-05,-1.27855527544e-05
SH,-6.14709610228e-05,-2.45894331194e-05,-2.86012331422e-05,-1.70764844994e-05,-1.56970398802e-05,-1.8690505926e-05,-1.64648736811e-05,-2.4265595386e-05,-1.98183764024e-05,-6.73010003001e-06,-2.27169393308e-05,-4.53950489373e-06,-2.26140381632e-05,-1.10432315629e-05,-2.89206384511e-05,-1.90780095106e-05,-2.33721753567e-05,-2.87848527204e-05,-2.51264391371e-05,-2.25474540239e-05,-1.8086429117e-05,-2.37982993761e-05,-1.7940885044e-05,-6.88048393938e-06,-2.08368621293e-05,-2.47006643928e-05,-1.27855527544e-05,1.93378062673e-05
