Date,A,AAL,AAP,AAPL,MAR,MON,NOV
2015-06-26,39.17947,40.538059,163.660034,121.396149,73.53936,99.841522,47.143238
2015-06-29,37.926357,38.884846,158.3302,119.269913,71.420815,98.009995,46.341774
2015-06-30,37.769711,39.070705,158.688843,120.131905,71.96254,101.633293,46.065079
2015-07-01,38.435432,37.955517,162.036179,121.252487,72.542961,102.653542,44.796093
2015-07-02,38.748714,38.180508,161.498215,121.099236,72.359169,103.311447,45.24453
2015-07-06,38.533333,38.865276,162.803268,120.677834,71.885147,102.691666,42.992805
2015-07-07,38.954304,39.784813,162.912842,120.380928,72.978279,102.787025,43.097752
2015-07-08,37.936142,38.454414,159.38623,117.392715,71.54657,101.051659,42.13409
2015-07-09,38.10257,38.806583,161.458359,114.998314,71.759392,101.557014,42.534828
2015-07-10,38.572491,40.313061,163.490677,118.072723,73.490982,103.750061,42.926014
2015-07-13,39.120731,41.496727,168.671021,120.352196,74.468025,103.626099,43.603436
2015-07-14,39.639599,41.144566,166.578979,120.304298,74.738899,102.787025,43.431702
2015-07-15,39.287159,40.63588,167.834213,121.463196,74.835625,102.329346,41.714275
2015-07-16,39.492748,40.489147,168.720856,123.081818,75.696587,102.806091,41.494835
2015-07-17,39.110939,40.498928,169.05957,124.14492,75.164513,102.10051,41.036842
2015-07-20,39.218628,39.667431,168.053375,126.491463,75.290291,102.024223,41.151344
2015-07-21,38.738918,40.009811,166.897736,125.227188,74.100426,101.423531,41.43758
2015-07-22,39.482964,40.528275,167.585175,119.930779,74.419655,100.450951,39.987312
2015-07-23,39.40464,41.68259,167.754532,119.873306,72.185043,99.211411,40.950977
2015-07-24,38.484383,38.767456,167.674835,119.241196,71.604599,98.076752,40.283089
2015-07-27,38.778088,39.26635,167.704712,117.584259,71.488533,96.741852,39.739243
2015-07-28,39.600437,40.27393,169.657303,118.168503,72.156013,96.894417,40.960514
2015-07-29,39.551487,39.843513,172.406921,117.794968,74.487366,97.256744,41.876472
2015-07-30,40.109516,39.39352,171.888855,117.201164,70.269646,98.229301,41.399418
2015-07-31,40.089943,39.227219,173.552567,116.176353,70.240631,97.151855,40.197216
2015-08-03,40.138889,40.802174,173.154037,113.437157,70.201927,97.52372,39.090439
2015-08-04,39.766865,41.809757,174.439194,109.797668,69.86335,97.619064,38.785122
2015-08-05,39.864769,42.024975,174.608566,110.525574,68.392952,97.981392,38.5275
2015-08-06,39.277374,41.358223,172.088104,110.76609,68.615448,97.428368,38.737415
2015-08-07,39.150097,40.681664,173.094299,111.141319,69.041092,96.541611,37.907322
2015-08-10,39.620018,40.867966,173.004623,115.182114,70.182579,98.391411,39.023651
2015-08-11,38.592072,41.868092,171.271194,109.188248,69.785957,97.7621,38.632462
2015-08-12,38.073204,41.691597,171.350876,110.871918,69.911705,98.448608,39.109516
2015-08-13,37.750134,41.838665,187.081299,110.785339,69.940735,98.515358,38.002735
2015-08-14,37.838242,42.044586,186.324173,111.564629,69.505432,98.37233,37.735577
2015-08-17,38.004677,43.093739,183.993011,112.719162,70.55986,98.639305,37.697422
2015-08-18,38.200474,42.779972,185.068924,112.084152,70.258942,98.02906,37.907322
2015-08-19,37.593494,42.681919,187.131104,110.650642,69.802719,97.590462,37.296688
2015-08-20,36.722187,41.162125,183.753906,108.380096,67.948677,95.492767,36.657425
2015-08-21,35.469074,38.975567,176.86998,101.751259,67.298317,92.937393,35.50293
2015-08-24,33.951626,36.887062,173.094299,99.211334,64.735695,89.199684,35.541096
2015-08-25,33.638348,36.769402,170.573837,99.807816,64.609482,85.261734,35.636509
2015-08-26,34.871883,38.093094,170.812943,105.532295,67.871033,92.565536,37.239437
2015-08-27,35.870457,38.269592,175.564926,108.639862,69.026154,93.824135,39.462543
2015-08-28,35.743187,37.86758,175.813965,108.995834,69.482376,93.805077,39.739243
2015-08-31,35.54739,38.22057,174.588623,108.485931,68.589333,93.109032,40.388046
2015-09-01,34.020157,38.436283,171.968552,103.636963,67.065338,91.345055,39.453003
2015-09-02,34.783768,40.701275,174.588623,108.081833,68.841713,92.689484,38.985477
2015-09-03,34.999153,40.093353,172.586212,106.186516,68.987335,92.46064,39.090439
2015-09-04,34.323643,39.809002,171.480408,105.128212,67.968094,91.297379,38.584747
2015-09-08,35.44949,40.005104,174.658386,108.052979,70.297768,90.820641,38.756496
2015-09-09,34.793568,40.201214,174.259888,105.974854,69.103813,88.904099,37.444023
2015-09-10,35.106838,40.407124,174.220047,108.303116,70.152168,89.399925,37.878296
2015-09-11,35.204739,41.328808,174.180191,109.880959,70.870483,88.188972,37.289616
2015-09-14,34.803349,41.46608,174.339569,110.939262,70.851059,85.948257,37.222061
2015-09-15,35.390751,41.809265,176.182617,111.872498,70.123039,86.653854,37.328213
2015-09-16,35.752979,42.221081,177.976395,111.997581,70.656921,86.18663,38.602085
2015-09-17,35.635506,43.132965,177.667465,109.601952,70.045387,85.910118,38.187115
2015-09-18,34.989365,42.642704,173.103241,109.149773,67.638062,84.00312,36.72023
2015-09-21,34.940414,42.387764,174.149582,110.843056,68.162239,83.593109,36.025402
2015-09-22,34.313854,40.387508,173.840668,109.101662,66.055832,82.477524,36.170155
2015-09-23,34.21595,40.436535,175.265747,109.986801,65.735497,80.456108,35.784134
2015-09-24,33.82436,39.465828,174.199417,110.641022,66.201439,80.046112,35.629723
2015-09-25,33.82436,39.45602,176.232422,110.362015,66.492638,80.580063,36.141201
2015-09-28,32.763969,38.318623,170.811127,108.178062,64.230911,79.245178,35.436718
2015-09-29,33.127251,38.416672,169.944092,104.926178,63.522301,79.712379,35.784134
2015-09-30,33.706532,38.073494,188.87883,106.119179,66.201439,81.371468,36.334217
2015-10-01,33.127251,38.436283,191.380203,105.42646,68.055458,81.791016,34.790134
2015-10-02,34.040356,37.877384,191.031418,106.196136,69.365906,82.963821,36.72023
2015-10-05,34.698196,39.406986,190.513168,106.580978,70.6278,83.631248,38.505585
2015-10-06,34.266182,37.387127,190.44342,107.090881,69.802719,83.984055,39.267971
2015-10-07,34.894562,38.544136,189.696014,106.580978,71.996483,84.482933,39.055656
2015-10-08,35.356026,38.965767,186.706314,105.349495,74.316429,85.624596,39.345173
2015-10-09,35.572025,41.593536,188.868835,107.870178,74.229095,86.056313,39.37413
2015-10-12,35.336391,42.985882,190.622818,107.369888,74.170845,85.902817,37.878296
2015-10-13,34.982925,42.564262,190.19429,107.552696,73.073959,85.557449,37.318565
2015-10-14,34.413456,42.946659,186.427277,106.032578,71.996483,86.574364,38.023056
2015-10-15,34.933834,43.5938,189.895309,107.620049,72.646843,87.006104,38.273968
2015-10-16,35.130196,42.85841,190.144455,106.831116,71.666443,86.315353,38.023056
2015-10-19,35.572025,43.584,190.742386,107.494957,71.229622,87.140404,37.617729
2015-10-20,35.660393,43.917374,192.924866,109.457634,72.695381,87.495377,38.042351
2015-10-21,35.248024,43.446724,191.489807,109.448021,71.68586,87.898315,37.830044
2015-10-22,35.43457,45.093994,191.210785,111.122078,74.617363,87.572144,37.617729
2015-10-23,36.436047,44.780224,191.280533,114.566376,73.093361,87.64888,37.453674
2015-10-26,36.161137,45.564648,191.788788,110.910416,74.364967,87.629684,36.228058
2015-10-27,36.377132,45.554832,192.605957,110.208076,75.704529,87.696854,34.693623
2015-10-28,36.8386,44.96653,193.612503,114.749161,74.636772,88.752167,35.436718
2015-10-29,37.015335,44.96653,196.801529,115.961411,74.724144,89.922615,35.1665
2015-10-30,37.074242,45.319515,197.748245,114.970459,74.529999,89.433334,36.324562
2015-11-02,37.889168,45.564648,199.691544,116.586769,75.190079,89.366165,37.492271
2015-11-03,37.574982,45.692379,198.017319,117.924095,74.462044,91.764603,38.544186
2015-11-04,37.643707,44.837498,198.655121,117.375694,74.762955,91.04509,38.49593
2015-11-05,37.604435,44.808014,199.651672,116.834602,74.471756,90.143265,38.119553
2015-11-06,37.447342,44.552528,198.037231,116.969872,74.43293,89.69236,38.399429
2015-11-09,37.231335,43.874516,194.230377,116.496429,73.539894,90.440666,37.569481
2015-11-10,37.290245,43.717297,193.443085,112.824814,74.277611,89.087952,37.463322
2015-11-11,36.976063,43.619026,194.001175,112.187119,73.248672,89.730728,36.450016
2015-11-12,36.809143,43.137539,164.074341,111.810295,72.33622,89.10714,36.141201
2015-11-13,36.102219,42.695358,161.064713,108.544479,70.608398,89.970589,36.025402
2015-11-16,36.652058,42.086124,163.655792,110.322327,71.559677,91.467216,36.450016
2015-11-17,37.682983,41.565327,163.526215,109.848885,70.877869,90.574989,35.745533
2015-11-18,38.625549,41.024883,163.875031,113.327248,70.351906,92.225121,37.000103
2015-11-19,37.800804,41.565327,161.812119,114.766914,70.683067,91.937309,36.285965
2015-11-20,38.566635,41.467064,162.260605,115.269348,70.429832,92.186745,35.95784
2015-11-23,39.303017,41.565327,162.061264,113.771706,70.517494,91.400047,36.025402
2015-11-24,39.931393,40.513905,162.629333,114.863525,69.134415,91.678284,37.260666
2015-11-25,40.589226,40.592525,163.735535,114.042252,69.972046,91.716652,36.749187
2015-11-27,41.207783,40.965919,164.273636,113.829681,69.621414,91.553558,36.044701
2015-11-30,41.060505,40.543396,162.170898,114.303123,69.066231,91.294525,36.035046
2015-12-01,40.314316,42.508656,161.782242,113.375557,70.381134,93.357185,36.401768
2015-12-02,39.685936,43.058929,157.38736,112.351372,69.825951,93.165314,36.225914
2015-12-03,39.420834,42.518482,154.248215,111.307861,66.991615,92.628067,36.196598
2015-12-04,40.353588,44.188957,155.294601,115.008461,69.192848,93.875244,35.7472
2015-12-07,39.960846,44.984886,150.700424,114.283798,67.692902,93.70256,33.842113
2015-12-08,40.422318,43.776249,149.365051,114.235489,67.770813,92.829536,32.728374
2015-12-09,40.235764,42.891888,152.683609,111.713676,66.251373,92.685631,33.070309
2015-12-10,40.500854,43.324242,151.238556,112.245087,66.455917,92.186745,33.021461
2015-12-11,39.460106,41.358974,148.338593,109.356125,65.111801,89.826668,32.523209
2015-12-14,39.519016,41.044529,147.102829,108.679771,64.702713,89.941803,32.786995
2015-12-15,40.068851,41.860119,155.633438,106.756989,64.887787,91.73584,33.861656
2015-12-16,40.677597,42.449699,160.267471,107.57827,65.41375,93.146126,33.529484
2015-12-17,40.039391,41.722546,152.544098,105.298019,64.31311,91.850952,32.894455
2015-12-18,39.37175,40.376347,149.056122,102.44767,63.417042,90.987503,32.50367
2015-12-21,40.088493,41.663597,149.135849,103.703766,63.475475,91.553558,33.11916
2015-12-22,40.471401,42.154907,147.381195,103.607155,66.709145,93.357185,33.549026
2015-12-23,41.011417,42.538136,148.607437,104.940506,67.059799,95.525398,34.516224
2015-12-24,41.374699,43.049103,148.677261,104.380112,66.981873,95.237572,33.998428
2015-12-28,41.02124,42.479176,150.092926,103.210999,67.059799,94.844246,33.3634
2015-12-29,41.590702,42.744488,151.737915,105.066116,66.962395,95.247177,33.451328
2015-12-30,41.404148,42.056644,150.940338,103.694107,66.251373,94.873016,32.962852
2015-12-31,41.162949,41.614456,150.05304,101.703697,65.29686,94.518044,32.718605
2016-01-04,40.060272,40.199471,151.777802,101.790649,63.680023,93.817688,33.812809
2016-01-05,39.922443,39.816242,150.740952,99.239845,63.884556,93.3284,32.845604
2016-01-06,40.099655,40.513905,146.753098,97.29776,61.965778,91.852356,30.618122
2016-01-07,38.396423,39.747463,148.378143,93.191338,60.212582,90.279854,30.031944
2016-01-08,37.992779,39.66885,145.118103,93.68412,61.021008,89.517708,29.250374
2016-01-11,37.352833,40.36652,146.603561,95.201073,61.517742,89.025696,29.260143
2016-01-12,37.598965,41.270538,147.620453,96.582756,62.647579,89.257233,29.729088
2016-01-13,36.289547,39.403534,141.728409,94.099594,58.702888,87.974129,28.410181
2016-01-14,37.027943,39.845722,140.890961,96.157608,59.160675,88.900276,29.807241
2016-01-15,36.535679,38.086807,143.851913,93.848373,58.00161,87.665421,29.260143
2016-01-19,36.62429,38.185081,144.180939,93.394257,56.862034,87.655769,28.849817
2016-01-20,36.683357,38.381603,142.954651,93.519867,58.254848,86.642792,29.035437
2016-01-21,36.653824,39.098927,143.363419,93.046417,60.047012,87.916237,29.963556
2016-01-22,37.392216,39.462498,143.991516,97.993423,60.835941,88.630157,30.510658
2016-01-25,37.027943,38.204727,144.280609,96.080322,58.556789,84.240616,29.006132
2016-01-26,36.929489,38.951527,151.010132,96.61174,60.329468,85.379005,29.729088
2016-01-27,36.476608,39.000656,151.059982,90.263725,59.063271,84.520393,30.383652
2016-01-28,35.551159,37.477581,148.108978,90.911087,57.670448,84.703682,30.344574
2016-01-29,37.067326,38.312824,151.588379,94.05127,59.68663,87.40493,31.790483
2016-02-01,37.106701,38.696045,154.419739,93.172028,59.822983,86.951515,31.253155
2016-02-02,36.4963,36.386856,151.398941,91.28791,57.534088,84.279198,29.963556
2016-02-03,36.614441,36.858521,147.49086,93.094734,57.845768,86.343742,27.355057
2016-02-04,36.840889,37.54636,147.401123,93.842743,59.131443,91.958473,27.921698
2016-02-05,35.482243,36.111725,143.503006,91.336388,58.449646,91.244583,27.814234
2016-02-08,34.261433,35.027874,141.020538,92.298134,57.89447,88.032021,27.745844
2016-02-09,34.822613,35.658474,141.070389,92.278694,59.189888,88.466141,26.925192
2016-02-10,35.295177,36.57481,138.149307,91.579254,59.784031,84.491447,26.075233
2016-02-11,34.78323,35.954079,137.989792,91.025528,59.988564,82.668091,25.733295
2016-02-12,35.659458,37.264534,140.342621,91.307251,62.141102,83.960838,26.915421
2016-02-16,36.506145,38.042934,145.556747,93.881607,63.368343,84.838753,27.413675
2016-02-17,37.283916,38.762215,142.974609,95.319359,64.94622,86.478798,28.439491
2016-02-18,36.614441,38.959278,142.884888,93.512459,63.251461,86.748917,28.673964
2016-02-19,36.860577,39.176041,143.193939,93.298737,64.001442,85.398285,28.625114
2016-02-22,37.441444,40.240181,147.421066,94.114754,65.053368,86.314789,28.722811
2016-02-23,36.594746,39.786945,147.10202,91.987267,64.789375,84.85804,27.990086
2016-02-24,36.899952,40.062824,149.963318,93.357018,65.53241,85.446541,27.589529
2016-02-25,37.047634,40.752544,149.624359,93.998184,66.774048,86.671738,27.02289
2016-02-26,37.008255,40.269737,149.594452,94.143906,66.627388,87.385643,28.1464
2016-02-29,36.771969,40.397831,147.989334,93.930183,66.627388,86.816437,28.595804
2016-03-01,37.992779,41.215641,152.884415,97.660561,67.389954,89.228279,28.830276
2016-03-02,38.43581,40.979172,151.708008,97.874298,67.292198,82.291855,29.797474
2016-03-03,38.593338,41.264908,153.412827,98.602882,67.145546,81.944542,31.028454
2016-03-04,38.731167,41.018581,151.907394,100.069786,67.438843,82.861053,31.751406
2016-03-07,38.819775,41.511234,151.059982,98.962318,67.986336,85.359695,34.125439
2016-03-08,37.500519,40.171211,149.225555,98.146294,66.881577,85.735947,30.774437
2016-03-09,37.539902,41.038288,153.303146,98.233734,67.057549,85.591248,31.11153
2016-03-10,37.392216,41.018581,155.675934,98.282295,66.441628,85.851707,31.230507
2016-03-11,38.622871,41.846245,158.088593,99.341187,67.350853,87.742592,33.104336
2016-03-14,38.416119,41.964481,158.856232,99.593773,69.345284,86.72963,33.153908
2016-03-15,37.697422,41.491531,158.098557,101.594978,68.836891,86.025368,32.826725
2016-03-16,38.37674,41.688595,158.537399,102.945305,69.648346,87.511063,32.777161
2016-03-17,38.681946,41.481674,157.520096,102.780144,70.195839,89.64312,33.699203
2016-03-18,39.568012,42.801994,157.051331,102.896729,71.525459,89.72995,32.30127
2016-03-21,39.036373,42.831554,158.188309,102.887009,70.684662,88.089897,32.291348
2016-03-22,39.262817,42.131981,157.769424,103.673882,69.335495,87.192696,31.746056
2016-03-23,38.859154,41.304314,160.661713,103.100731,68.044991,86.893623,31.11153
2016-03-24,38.819775,39.905178,161.389786,102.653854,67.10643,86.922577,30.883499
2016-03-28,38.908386,40.309151,161.329941,102.187561,69.746101,87.433884,31.220591
2016-03-29,39.538479,40.742691,162.596558,104.606491,69.120407,87.462837,31.052046
2016-03-30,39.499092,40.772251,163.354523,106.432831,69.951424,87.877647,30.833927
2016-03-31,39.233273,40.407681,159.913696,105.879097,69.589691,84.645798,30.833927
