Date,XRX,XYL,YUM,ZBH,ZION,ZTS
2017-09-13,32.720001,63.009998,77.129997,115.889999,43.049999,65.279999
2017-09-14,32.810001,63.009998,77.160004,115.989998,42.66,65.25
2017-09-15,32.639999,63.299999,75.25,115.470001,43.279999,65.199997
2017-09-18,32.290001,63.66,75.709999,116.300003,43.959999,65.199997
2017-09-19,32.439999,63.830002,75.760002,115.480003,44.41,64.779999
2017-09-20,32.880001,64.040001,76.370003,116.220001,45.110001,64.480003
2017-09-21,32.93,63.93,76.480003,113.059998,45.360001,64.239998
2017-09-22,33.130001,64.75,75.970001,114.400002,45.119999,64.160004
2017-09-25,33.25,64.459999,73.949997,114.370003,45.450001,63.669998
2017-09-26,33.709999,63.34,73.400002,114.75,45.84,63.330002
2017-09-27,33.950001,63.0,73.099998,116.25,46.59,63.209999
2017-09-28,33.860001,62.450001,73.5,115.660004,46.939999,63.32
2017-09-29,33.404999,62.709999,73.695,116.415001,47.25,63.57
