,a,portfolioreturn,portfoliostandarddeviation,s,returnoverrisk
94,0.0205,0.000540960905972,0.00112973181251,0.0405,0.478840110529
95,0.0255,0.00252924654539,0.00100000679161,0.0345,2.52922936786
96,0.0325,0.0054999065995,0.00079317613473,0.0245,6.93402935197
97,0.0165,-0.000897681226452,0.00120359418592,0.044,-0.745833800924
98,0.0135,0.00218834852497,0.000349204513237,0.011,6.26666735971
99,0.042,0.00660035079,0.00112940272337,0.036,5.84410737941
100,0.0195,0.000809705594205,0.00100980923145,0.036,0.801840158506
101,0.032,0.00624807009004,0.000615934766004,0.017,10.1440451731
102,0.024,0.00483219331668,0.000434379771073,0.0115,11.1243516353
103,0.0145,-0.00147086154352,0.00120891501816,0.0445,-1.21667902327
104,0.0245,0.00244725343567,0.000957074886976,0.033,2.55701353047
105,0.0265,0.00565096723741,0.000422687359567,0.01,13.369141777
106,0.049,0.00939564194512,0.000976141569963,0.0275,9.6252861616
107,0.0195,-0.000651701897282,0.00133187078179,0.0485,-0.489313157247
108,0.0385,0.00686870975273,0.000868152719408,0.026,7.91186803794
109,0.0295,0.00466936427373,0.000786344836682,0.025,5.93806184757
110,0.0225,0.00187407311861,0.000959878300854,0.0335,1.95240700508
111,0.0345,0.00449476682576,0.00112271510999,0.0375,4.00347940965
112,0.0405,0.0087279286623,0.000630193212375,0.0145,13.8496075345
113,0.048,0.0105996874279,0.000704135001259,0.015,15.0534874832
114,0.0145,-0.00094475484658,0.00109223556727,0.04,-0.864973523016
115,0.0425,0.00702131329265,0.00107218375769,0.0335,6.54861001419
116,0.01,-0.000349194895955,0.000686325686041,0.025,-0.508788907448
117,0.048,0.0110088815255,0.00064032825256,0.0115,17.1925594123
118,0.0165,-0.00154070052271,0.00134613840801,0.0495,-1.14453351419
119,0.0355,0.00796722531573,0.000500253895605,0.01,15.9263633641
120,0.0245,0.00507778692035,0.000416824210488,0.0105,12.1820825004
