,USD,GOOGL,AAPL,ACN,XLV,EWO,ICLR,MSFT,PPA,SONVY,PCLN,AMT,GRMN,SAFM,IAI,INTC,LPX,PYPL,IXG,AMGN,ANTM,FXI,EWT,RHHBY,EZU,EBAY,UL,SH
PCLN,0.000117659894051,5.77496895105e-05,5.1895182824e-05,2.72052230875e-05,2.38729264992e-05,3.63194220939e-05,3.62713738023e-05,4.78387843813e-05,2.92737190258e-05,8.02504142535e-06,0.000125055434615,1.53426492327e-05,1.25756152259e-05,7.15559845802e-06,2.62819818144e-05,3.36852106053e-05,1.81698216084e-05,5.76410135273e-05,3.34150298216e-05,3.678904477e-05,1.62868635861e-05,3.12816919801e-05,3.23493683979e-05,2.08126593598e-05,3.77833386438e-05,5.43182321487e-05,1.89829523354e-05,-2.41469767021e-05
AMT,2.52059438612e-05,9.17963645395e-06,1.88982802666e-05,1.51185321453e-05,8.18420915795e-06,1.33534385548e-05,8.48165593083e-07,1.64027852961e-05,7.80003117599e-06,1.0147204387e-05,1.53426492327e-05,8.1116050892e-05,7.96943317903e-06,9.72607912146e-07,-1.31526511031e-05,1.3030752519e-05,-1.25806800741e-05,1.91411104134e-05,-2.55771518024e-06,-7.63929531127e-07,1.13969162537e-05,1.05950981759e-05,8.69174420527e-06,1.95869240505e-05,1.21602188349e-05,1.15168095502e-05,1.84058273192e-05,-5.05794029694e-06
GRMN,7.95612362361e-05,2.01609994707e-05,4.50624355715e-05,1.96085915811e-05,1.71554975007e-05,2.04222148967e-05,2.28450506473e-05,2.90880901656e-05,2.74104090762e-05,8.64031148173e-06,1.25756152259e-05,7.96943317903e-06,0.000100720859518,1.05827207466e-05,3.97636830344e-05,2.5490107384e-05,3.99259646275e-05,2.31811474112e-05,3.04507530319e-05,2.12785288754e-05,2.91213431906e-05,2.24116430031e-05,1.79903006198e-05,-3.23211427288e-06,2.46059388559e-05,2.20507380896e-05,1.14463383889e-05,-2.4591360239e-05
SAFM,4.00190437895e-05,2.1318798092e-06,1.55366991853e-05,1.33042227372e-05,7.18356276235e-06,1.32464920665e-05,2.23375161117e-05,1.37788134394e-05,1.50326899531e-05,-7.03967607668e-06,7.15559845802e-06,9.72607912146e-07,1.05827207466e-05,0.000194287499179,2.06256216541e-05,1.93679005891e-05,1.15623937968e-05,3.74945846642e-05,1.70334423209e-05,3.06392499872e-06,-7.83715336341e-06,5.44802401659e-06,3.29475274634e-06,-1.30457680323e-06,1.57641409405e-05,1.36781360412e-05,-4.78862988349e-06,-1.35368880995e-05
IAI,7.84711260789e-05,2.99239289862e-05,3.07204625685e-05,2.17784935094e-05,2.04338910453e-05,3.34811794803e-05,1.14497060697e-05,2.45806441389e-05,3.28247388403e-05,3.94126473383e-06,2.62819818144e-05,-1.31526511031e-05,3.97636830344e-05,2.06256216541e-05,8.47737836429e-05,2.18973305223e-05,4.7422416388e-05,2.55256662514e-05,5.89673301073e-05,4.25152661128e-05,3.08339180086e-05,3.39636593648e-05,2.01900359237e-05,-1.96706024582e-06,3.36638298398e-05,2.32714806516e-05,8.08143209505e-06,-3.09328966167e-05
INTC,0.000122420784924,2.5792667451e-05,3.93437870848e-05,2.30015857464e-05,1.1178726812e-05,1.85201782606e-05,2.17976705932e-05,3.349742918e-05,2.4688617898e-05,4.07348888954e-06,3.36852106053e-05,1.3030752519e-05,2.5490107384e-05,1.93679005891e-05,2.18973305223e-05,7.83775855823e-05,1.50043732804e-05,4.80928628656e-05,2.55315375338e-05,2.04866449212e-05,1.24345104365e-05,2.04057268266e-05,1.72326131579e-05,1.89722198782e-05,2.76920587902e-05,3.31137651977e-05,1.84236099225e-05,-2.04274189128e-05
LPX,5.69704385786e-05,1.71375277469e-05,6.54369325598e-06,3.04702149464e-05,2.69931877214e-05,1.67218689725e-05,1.97040870095e-05,2.29023975474e-05,2.7993626162e-05,1.07195259777e-05,1.81698216084e-05,-1.25806800741e-05,3.99259646275e-05,1.15623937968e-05,4.7422416388e-05,1.50043732804e-05,0.000205240263514,1.17170386958e-05,3.04076128184e-05,3.86251302838e-05,2.62539614369e-05,2.157134283e-05,1.35573146766e-05,-1.19041187072e-06,1.97331129009e-05,3.0363078958e-05,1.07613228078e-05,-2.58234197447e-05
PYPL,0.00015466491041,6.11274287195e-05,5.5998342154e-05,4.07389018302e-05,2.65501361039e-05,2.97201917905e-05,8.00420552051e-05,5.42178281319e-05,3.33331617797e-05,1.15102534571e-05,5.76410135273e-05,1.91411104134e-05,2.31811474112e-05,3.74945846642e-05,2.55256662514e-05,4.80928628656e-05,1.17170386958e-05,0.000161051551849,2.87391585307e-05,2.82896298794e-05,1.9062614565e-05,3.14613504602e-05,3.2844909308e-05,2.82381709818e-05,3.30703486106e-05,6.81924248681e-05,2.78383475017e-05,-2.91197362176e-05
IXG,7.79702960261e-05,2.56030179991e-05,3.2863022644e-05,2.09619533965e-05,1.75165318872e-05,4.30720034174e-05,1.28405116736e-05,2.80551199336e-05,2.8858246859e-05,9.88870407367e-06,3.34150298216e-05,-2.55771518024e-06,3.04507530319e-05,1.70334423209e-05,5.89673301073e-05,2.55315375338e-05,3.04076128184e-05,2.87391585307e-05,5.63793995129e-05,3.26784694881e-05,2.22498021371e-05,3.52326319631e-05,2.36190963661e-05,8.83788833151e-06,4.41860709894e-05,2.26936396275e-05,1.52150233383e-05,-2.70675597516e-05
AMGN,6.76638789926e-05,3.63610284614e-05,3.94371206628e-05,1.72807741639e-05,4.31918667379e-05,2.03828438558e-05,7.02151491039e-06,2.80304327003e-05,1.95080339676e-05,6.35796461796e-06,3.678904477e-05,-7.63929531127e-07,2.12785288754e-05,3.06392499872e-06,4.25152661128e-05,2.04866449212e-05,3.86251302838e-05,2.82896298794e-05,3.26784694881e-05,0.000124968220652,2.95954684438e-05,2.70267866505e-05,2.53556806496e-05,7.17616903075e-06,2.8232144973e-05,3.16650424418e-05,1.53487072033e-05,-2.50994319303e-05
ANTM,4.44806651845e-05,3.09188822598e-05,3.35678485887e-05,1.34078376861e-05,2.52060459223e-05,1.23642545557e-05,8.23308672918e-06,2.08755481972e-05,2.34531601072e-05,6.76468123552e-06,1.62868635861e-05,1.13969162537e-05,2.91213431906e-05,-7.83715336341e-06,3.08339180086e-05,1.24345104365e-05,2.62539614369e-05,1.9062614565e-05,2.22498021371e-05,2.95954684438e-05,0.000104713565264,2.40186119784e-05,1.8700748738e-05,-5.26964737204e-06,1.3407828271e-05,2.16470798798e-05,1.2646660543e-05,-2.00465491072e-05
FXI,9.74469919701e-05,3.34779521124e-05,4.98025565947e-05,2.14632310248e-05,1.97624018091e-05,3.25223931925e-05,2.77027957475e-05,3.58526000517e-05,2.46237827326e-05,1.03366605858e-05,3.12816919801e-05,1.05950981759e-05,2.24116430031e-05,5.44802401659e-06,3.39636593648e-05,2.04057268266e-05,2.157134283e-05,3.14613504602e-05,3.52326319631e-05,2.70267866505e-05,2.40186119784e-05,7.85806320612e-05,5.28926798522e-05,4.68049444708e-06,3.25441909052e-05,4.50137571301e-05,2.27812465792e-05,-2.45556112789e-05
EWT,7.61079537543e-05,3.15238416132e-05,4.66027478943e-05,1.13444631208e-05,1.80878903825e-05,2.77525694629e-05,2.97753915543e-05,3.03779372677e-05,1.7063898993e-05,1.17772099552e-05,3.23493683979e-05,8.69174420527e-06,1.79903006198e-05,3.29475274634e-06,2.01900359237e-05,1.72326131579e-05,1.35573146766e-05,3.2844909308e-05,2.36190963661e-05,2.53556806496e-05,1.8700748738e-05,5.28926798522e-05,6.19782608249e-05,-3.17680144819e-06,2.72463469031e-05,3.88892254693e-05,2.10218696714e-05,-1.91138134533e-05
RHHBY,2.82832283388e-05,1.69005000385e-05,1.19200812396e-05,1.49616024826e-05,1.03198132997e-05,2.1376250754e-05,8.78649954439e-06,9.01944268154e-06,1.02683529553e-05,3.1012598654e-05,2.08126593598e-05,1.95869240505e-05,-3.23211427288e-06,-1.30457680323e-06,-1.96706024582e-06,1.89722198782e-05,-1.19041187072e-06,2.82381709818e-05,8.83788833151e-06,7.17616903075e-06,-5.26964737204e-06,4.68049444708e-06,-3.17680144819e-06,0.000111319773522,2.87833144255e-05,1.88448904913e-05,1.55120662114e-05,-8.56781483284e-06
EZU,8.04420582286e-05,2.95492380208e-05,3.28705341511e-05,2.09900433511e-05,2.03377263344e-05,5.91901286094e-05,8.57327862485e-06,3.29174985218e-05,2.37970115859e-05,3.69052996103e-05,3.77833386438e-05,1.21602188349e-05,2.46059388559e-05,1.57641409405e-05,3.36638298398e-05,2.76920587902e-05,1.97331129009e-05,3.30703486106e-05,4.41860709894e-05,2.8232144973e-05,1.3407828271e-05,3.25441909052e-05,2.72463469031e-05,2.87833144255e-05,6.67150950497e-05,3.06494467583e-05,3.34874525961e-05,-2.32319548884e-05
EBAY,0.000141731279648,6.43393064954e-05,6.38676354129e-05,2.34179007718e-05,2.64520582638e-05,2.80614084119e-05,2.35360894908e-05,5.8219243286e-05,2.73959898776e-05,2.24887861741e-05,5.43182321487e-05,1.15168095502e-05,2.20507380896e-05,1.36781360412e-05,2.32714806516e-05,3.31137651977e-05,3.0363078958e-05,6.81924248681e-05,2.26936396275e-05,3.16650424418e-05,2.16470798798e-05,4.50137571301e-05,3.88892254693e-05,1.88448904913e-05,3.06494467583e-05,0.000136617752324,2.61765752184e-05,-2.62964167086e-05
UL,5.35896251637e-05,2.01783566411e-05,2.6493053035e-05,1.84226139285e-05,1.5701708605e-05,3.15395525209e-05,9.87263060152e-06,2.38376980522e-05,1.20534203117e-05,2.4412242014e-05,1.89829523354e-05,1.84058273192e-05,1.14463383889e-05,-4.78862988349e-06,8.08143209505e-06,1.84236099225e-05,1.07613228078e-05,2.78383475017e-05,1.52150233383e-05,1.53487072033e-05,1.2646660543e-05,2.27812465792e-05,2.10218696714e-05,1.55120662114e-05,3.34874525961e-05,2.61765752184e-05,5.48629784323e-05,-1.46798503235e-05
SH,-6.79992051786e-05,-2.61895814822e-05,-3.11907377318e-05,-1.88826363389e-05,-1.70222464239e-05,-2.06534419141e-05,-1.80261719003e-05,-2.62186353477e-05,-2.13164771862e-05,-8.30848890533e-06,-2.41469767021e-05,-5.05794029694e-06,-2.4591360239e-05,-1.35368880995e-05,-3.09328966167e-05,-2.04274189128e-05,-2.58234197447e-05,-2.91197362176e-05,-2.70675597516e-05,-2.50994319303e-05,-2.00465491072e-05,-2.45556112789e-05,-1.91138134533e-05,-8.56781483284e-06,-2.32319548884e-05,-2.62964167086e-05,-1.46798503235e-05,2.07645266136e-05
