Date,AAL,AAPL,AMZN,BAC,MSFT,PCLN,PEP
2016-11-02,39.357342,109.655731,765.559998,16.232569,58.031898,1445.329956,103.760017
2016-11-03,39.128811,108.480354,767.030029,16.232569,57.81707,1438.099976,103.682228
2016-11-04,39.486515,107.502518,755.049988,16.301519,57.328835,1424.280029,102.884888
2016-11-07,41.225353,109.053238,784.929993,16.754612,58.998608,1480.329956,104.003105
2016-11-08,41.43401,109.695236,787.75,16.744762,59.047428,1578.130005,105.714447
2016-11-09,42.139481,109.517456,771.880005,17.700199,58.754486,1570.26001,104.285088
2016-11-10,42.030182,106.465424,742.380005,18.478338,57.319069,1554.319946,100.395668
2016-11-11,42.656166,107.097557,739.01001,18.734436,57.631542,1540.650024,100.337334
2016-11-14,43.123169,104.41098,719.070007,19.778522,56.752712,1489.180054,98.58709
2016-11-15,44.474487,105.793777,743.23999,19.857319,57.873413,1497.449951,99.03437
2016-11-16,44.16647,108.638382,746.48999,19.453474,58.640213,1503.22998,98.898247
2016-11-17,45.53767,108.598877,756.400024,19.778522,59.613453,1512.900024,98.81073
2016-11-18,45.964924,108.707527,760.159973,19.699722,59.328362,1507.349976,98.5093
2016-11-21,45.786072,110.35701,780.0,20.024765,59.829727,1524.180054,99.433037
2016-11-22,45.786072,110.426147,785.330017,19.995214,60.085323,1535.420044,100.045624
2016-11-23,46.044415,109.863159,780.119995,20.251312,59.377514,1520.98999,98.723221
2016-11-25,46.521351,110.416275,780.369995,20.54681,59.50531,1521.680054,99.345528
2016-11-28,46.203392,110.198975,766.77002,19.995214,59.583958,1525.069946,99.948395
2016-11-29,46.590904,110.090332,762.52002,19.985369,60.055836,1520.27002,99.705307
2016-11-30,46.143776,109.16188,750.570007,20.880087,59.239883,1503.680054,98.052795
2016-12-01,45.458176,108.144531,743.650024,21.25577,58.197826,1479.660034,97.004684
2016-12-02,45.805943,108.5495,740.340027,20.988836,58.246979,1473.0,98.542572
2016-12-05,45.428371,107.769203,759.359985,21.591906,59.200565,1499.76001,98.650322
2016-12-06,46.133842,108.598877,764.719971,21.908272,58.935135,1504.819946,99.473145
2016-12-07,48.33968,109.665604,770.419983,22.313614,60.331097,1527.040039,100.707382
2016-12-08,47.743504,110.742218,767.330017,22.689299,59.977184,1548.670044,100.060883
