Date,BAC,C,JPM,MS
2014-11-07,17.360001,53.75,61.470001,35.66
2014-11-10,17.370001,53.889999,61.93,35.880001
2014-11-11,17.32,53.810001,61.369999,35.790001
2014-11-12,17.290001,53.419998,60.560001,35.970001
2014-11-13,17.219999,53.439999,60.23,35.84
2014-11-14,17.139999,53.380001,60.279999,35.689999
2014-11-17,17.09,53.57,60.380001,35.599998
2014-11-18,17.139999,53.810001,60.529999,35.470001
2014-11-19,17.059999,53.66,60.599998,35.48
2014-11-20,17.0,53.52,60.119999,35.389999
2014-11-21,17.120001,53.66,60.450001,35.529999
2014-11-24,17.18,54.400002,60.959999,35.619999
2014-11-25,17.1,54.330002,60.299999,35.299999
2014-11-26,17.110001,54.130001,60.34,35.119999
2014-11-28,17.040001,53.970001,60.16,35.18
2014-12-01,16.790001,53.349998,60.0,35.099998
2014-12-02,17.15,54.360001,61.080002,35.77
2014-12-03,17.290001,55.209999,61.540001,36.52
2014-12-04,17.209999,55.18,61.380001,36.790001
2014-12-05,17.68,56.080002,62.700001,37.240002
2014-12-08,17.66,56.369999,62.669998,38.0
2014-12-09,17.559999,55.849998,62.450001,38.099998
2014-12-10,17.379999,54.470001,60.68,37.389999
2014-12-11,17.469999,54.509998,61.139999,37.400002
2014-12-12,17.129999,53.400002,60.040001,36.25
2014-12-15,16.85,52.790001,59.16,35.93
2014-12-16,16.719999,51.169998,58.43,35.52
2014-12-17,17.26,52.450001,59.77,36.73
2014-12-18,17.530001,54.099998,61.48,38.099998
2014-12-19,17.620001,54.009998,61.93,38.509998
2014-12-22,17.709999,53.959999,61.939999,38.57
2014-12-23,17.93,54.419998,62.48,38.950001
2014-12-24,17.98,54.540001,62.48,38.810001
2014-12-26,17.98,54.43,62.549999,38.720001
2014-12-29,18.110001,54.73,62.959999,38.959999
2014-12-30,18.129999,54.84,63.150002,39.0
2014-12-31,17.889999,54.110001,62.580002,38.799999
2015-01-02,17.9,54.259998,62.490002,38.709999
2015-01-05,17.379999,52.549999,60.549999,37.5
2015-01-06,16.860001,50.700001,58.98,36.419998
2015-01-07,16.940001,51.169998,59.07,36.939999
2015-01-08,17.290001,51.939999,60.389999,37.490002
2015-01-09,16.98,50.779999,59.34,36.880001
2015-01-12,16.68,50.380001,58.830002,36.369999
2015-01-13,16.450001,50.02,58.84,36.029999
2015-01-14,16.040001,49.049999,56.810001,35.209999
2015-01-15,15.2,47.23,54.990002,34.580002
2015-01-16,15.38,47.610001,55.93,34.889999
2015-01-20,15.26,47.259998,55.709999,34.75
2015-01-21,15.41,47.740002,55.889999,34.73
2015-01-22,16.09,49.57,57.59,35.529999
2015-01-23,15.73,48.619999,56.68,35.150002
2015-01-26,15.85,48.889999,56.77,35.110001
2015-01-27,15.63,48.310001,56.200001,34.66
2015-01-28,15.2,47.110001,54.75,33.77
2015-01-29,15.43,47.619999,55.669998,34.369999
2015-01-30,15.15,46.950001,54.380001,33.810001
2015-02-02,15.46,47.720001,55.470001,34.419998
2015-02-03,15.89,48.880001,56.720001,35.040001
2015-02-04,15.79,48.400002,56.380001,34.77
2015-02-05,15.97,48.540001,56.77,34.93
2015-02-06,16.49,49.139999,57.889999,35.790001
2015-02-09,16.35,49.209999,57.82,35.630001
2015-02-10,16.42,49.389999,58.459999,36.16
2015-02-11,16.360001,49.68,58.369999,36.369999
2015-02-12,16.67,50.889999,59.57,36.900002
2015-02-13,16.610001,51.200001,59.669998,36.779999
2015-02-17,16.629999,51.689999,60.099998,36.919998
2015-02-18,16.299999,51.419998,59.369999,36.369999
2015-02-19,16.209999,51.119999,59.23,36.330002
2015-02-20,16.379999,51.779999,59.799999,36.740002
2015-02-23,16.200001,51.32,59.349998,36.27
2015-02-24,16.379999,51.900002,60.82,36.740002
2015-02-25,16.49,52.09,61.139999,36.59
2015-02-26,16.040001,52.41,61.580002,36.060001
2015-02-27,15.81,52.419998,61.279999,35.790001
2015-03-02,16.01,53.490002,61.77,36.240002
2015-03-03,16.040001,53.73,61.970001,35.82
2015-03-04,15.84,53.669998,62.130001,35.09
2015-03-05,16.0,53.560001,62.0,35.52
2015-03-06,16.219999,53.060001,60.889999,35.529999
