Date,AAL,AAPL,AMZN,BAC,CSCO,KO,MSFT,PCLN,PEP
2017-04-20,45.220001,142.440002,902.059998,23.07,32.830002,43.09,65.5,1760.800049,113.589996
2017-04-21,45.150002,142.270004,898.530029,22.709999,32.82,43.07,66.400002,1752.01001,113.43
2017-04-24,46.439999,143.639999,907.409973,23.629999,33.279999,43.279999,67.529999,1798.619995,114.32
2017-04-25,46.610001,144.529999,907.619995,23.98,33.419998,43.110001,67.919998,1799.089966,114.160004
2017-04-26,46.400002,143.679993,909.289978,23.889999,33.400002,43.240002,67.830002,1804.119995,113.330002
2017-04-27,43.98,143.789993,918.380005,23.65,33.75,43.009998,68.269997,1835.869995,112.639999
2017-04-28,42.619999,143.649994,924.98999,23.34,34.07,43.150002,68.459999,1846.819946,113.279999
2017-05-01,42.080002,146.580002,948.22998,23.610001,33.970001,43.220001,69.410004,1869.920044,112.279999
2017-05-02,43.869999,147.509995,946.940002,23.530001,34.240002,43.389999,69.300003,1880.52002,112.290001
2017-05-03,43.919998,147.059998,941.030029,23.77,34.25,43.32,69.080002,1876.790039,111.790001
2017-05-04,43.91,146.529999,937.530029,23.85,34.18,43.66,68.809998,1910.410034,112.959999
2017-05-05,44.509998,148.960007,934.150024,23.74,34.389999,43.689999,69.0,1903.650024,113.220001
2017-05-08,44.939999,153.009995,949.039978,23.959999,34.290001,43.889999,68.940002,1903.910034,113.220001
2017-05-09,47.080002,153.990005,952.820007,23.98,33.900002,43.509998,69.040001,1911.130005,112.720001
2017-05-10,47.299999,153.259995,948.950012,24.15,33.740002,43.57,69.309998,1824.77002,112.839996
2017-05-11,46.540001,153.949997,947.619995,24.07,33.630001,43.669998,68.459999,1813.560059,113.040001
2017-05-12,45.830002,156.100006,961.349976,24.0,33.450001,43.59,68.379997,1818.180054,112.910004
2017-05-15,46.68,155.699997,957.969971,24.059999,34.23,43.73,68.43,1813.810059,113.940002
2017-05-16,46.939999,155.470001,966.070007,23.99,34.299999,43.849998,69.410004,1829.800049,113.790001
2017-05-17,44.919998,150.25,944.76001,22.57,33.82,43.93,67.480003,1795.689941,113.739998
2017-05-18,44.650002,152.539993,958.48999,22.74,31.379999,43.799999,67.709999,1796.030029,114.029999
2017-05-19,45.220001,153.059998,959.840027,23.049999,31.209999,43.900002,67.690002,1808.280029,113.690002
2017-05-22,46.209999,153.990005,970.669983,23.040001,31.59,44.18,68.449997,1828.420044,114.699997
2017-05-23,46.66,153.800003,971.539978,23.389999,31.76,44.389999,68.68,1827.939941,115.050003
2017-05-24,46.77,153.339996,980.349976,23.360001,31.49,45.029999,68.769997,1848.73999,116.059998
2017-05-25,48.02,153.869995,993.380005,23.25,31.440001,45.41,69.620003,1860.430054,117.529999
2017-05-26,48.740002,153.610001,995.780029,23.24,31.5,45.389999,69.959999,1863.900024,117.910004
2017-05-30,47.959999,153.669998,996.700012,22.91,31.68,45.43,70.410004,1857.449951,118.010002
2017-05-31,48.41,152.759995,994.619995,22.41,31.530001,45.470001,69.839996,1877.089966,116.870003
2017-06-01,49.049999,153.179993,995.950012,22.629999,31.82,45.790001,70.099998,1890.819946,117.230003
2017-06-02,49.52,155.449997,1006.72998,22.450001,31.98,45.889999,71.760002,1895.959961,117.669998
2017-06-05,49.740002,153.929993,1011.340027,22.41,31.76,45.990002,72.279999,1891.579956,117.879997
2017-06-06,49.740002,154.449997,1003.0,22.23,31.559999,45.98,72.519997,1889.859985,117.699997
2017-06-07,50.860001,155.369995,1010.070007,22.6,31.610001,45.509998,72.389999,1890.369995,117.050003
2017-06-08,51.43,154.990005,1010.27002,22.969999,31.610001,45.130001,71.949997,1892.380005,115.889999
2017-06-09,50.27,148.979996,978.309998,23.67,31.370001,45.32,70.32,1842.119995,115.940002
2017-06-12,49.48,145.419998,964.909973,23.780001,31.25,45.330002,69.779999,1812.98999,116.230003
2017-06-13,49.450001,146.589996,980.789978,23.77,31.700001,45.029999,70.650002,1843.52002,116.32
2017-06-14,49.389999,145.160004,976.469971,23.76,31.6,45.299999,70.269997,1831.609985,117.370003
2017-06-15,49.110001,144.289993,964.169983,23.540001,31.58,45.25,69.900002,1809.199951,117.209999
2017-06-16,48.790001,142.270004,987.710022,23.43,31.629999,45.310001,70.0,1802.609985,116.860001
2017-06-19,49.66,146.339996,995.169983,23.91,31.99,45.380001,70.870003,1851.599976,117.290001
2017-06-20,48.029999,145.009995,992.590027,23.49,31.85,45.610001,69.910004,1850.640015,117.949997
2017-06-21,48.43,145.869995,1002.22998,23.129999,31.84,45.220001,70.269997,1867.780029,117.419998
2017-06-22,48.970001,145.630005,1001.299988,22.93,31.85,45.07,70.260002,1862.930054,116.150002
2017-06-23,48.630001,146.279999,1003.73999,22.82,32.09,45.25,71.209999,1874.280029,116.959999
2017-06-26,48.779999,145.820007,993.97998,22.889999,32.240002,45.43,70.529999,1876.339966,117.120003
2017-06-27,48.5,143.729996,976.780029,23.27,31.76,45.049999,69.209999,1858.25,115.940002
2017-06-28,49.25,145.830002,990.330017,23.879999,32.080002,45.32,69.800003,1890.209961,116.379997
2017-06-29,49.619999,143.679993,975.929993,24.32,31.41,44.830002,68.489998,1876.98999,115.18
2017-06-30,50.32,144.020004,968.0,24.26,31.299999,44.849998,68.93,1870.52002,115.489998
2017-07-03,50.389999,143.5,953.659973,24.68,31.33,44.759998,68.169998,1843.130005,115.440002
2017-07-05,51.259998,144.089996,971.400024,24.92,31.110001,44.82,69.080002,1866.01001,115.300003
2017-07-06,52.049999,142.729996,965.140015,24.709999,30.719999,44.400002,68.57,1872.300049,115.129997
2017-07-07,53.029999,144.179993,978.76001,24.83,30.9,44.389999,69.459999,1918.5,115.510002
